,state_abbr,STATEFP,COUNTYFP,county_name,fips_class_code,dem_votes,rep_votes,ind_votes,tot_votes,GEOID
0,AL,01,001,autauga,H1,5908.0,18110.0,105.0,24661.0,01001
1,AL,01,003,baldwin,H1,18409.0,72780.0,453.0,94090.0,01003
2,AL,01,005,barbour,H1,4848.0,5431.0,18.0,10390.0,01005
3,AL,01,007,bibb,H1,1874.0,6733.0,17.0,8748.0,01007
4,AL,01,009,blount,H1,2150.0,22808.0,89.0,25384.0,01009
5,AL,01,011,bullock,H1,3530.0,1139.0,10.0,4701.0,01011
6,AL,01,013,butler,H1,3716.0,4891.0,13.0,8685.0,01013
7,AL,01,015,calhoun,H1,13197.0,32803.0,262.0,47376.0,01015
8,AL,01,017,chambers,H1,5763.0,7803.0,44.0,13778.0,01017
9,AL,01,019,cherokee,H1,1524.0,8809.0,25.0,10503.0,01019
10,AL,01,021,chilton,H1,2909.0,15068.0,52.0,18255.0,01021
11,AL,01,023,choctaw,H1,3109.0,4102.0,6.0,7268.0,01023
12,AL,01,025,clarke,H1,5712.0,7109.0,17.0,12936.0,01025
13,AL,01,027,clay,H1,1234.0,5230.0,16.0,6572.0,01027
14,AL,01,029,cleburne,H1,684.0,5738.0,20.0,6532.0,01029
15,AL,01,031,coffee,H1,4194.0,15825.0,102.0,20513.0,01031
16,AL,01,033,colbert,H1,7296.0,16718.0,106.0,24626.0,01033
17,AL,01,035,conecuh,H1,3069.0,3413.0,10.0,6543.0,01035
18,AL,01,037,coosa,H1,1780.0,3376.0,14.0,5223.0,01037
19,AL,01,039,covington,H1,2379.0,13222.0,36.0,15818.0,01039
20,AL,01,041,crenshaw,H1,1663.0,4511.0,14.0,6252.0,01041
21,AL,01,043,cullman,H1,3730.0,32734.0,132.0,37278.0,01043
22,AL,01,045,dale,H1,4408.0,13798.0,62.0,18617.0,01045
23,AL,01,047,dallas,H1,12826.0,5784.0,24.0,18730.0,01047
24,AL,01,049,dekalb,H1,3682.0,21779.0,156.0,26086.0,01049
25,AL,01,051,elmore,H1,8436.0,27619.0,112.0,36905.0,01051
26,AL,01,053,escambia,H1,4698.0,10282.0,38.0,15213.0,01053
27,AL,01,055,etowah,H1,10350.0,32132.0,163.0,43474.0,01055
28,AL,01,057,fayette,H1,1358.0,6705.0,24.0,8196.0,01057
29,AL,01,059,franklin,H1,2197.0,9466.0,54.0,11955.0,01059
30,AL,01,061,geneva,H1,1522.0,9967.0,23.0,11659.0,01061
31,AL,01,063,greene,H1,4006.0,838.0,5.0,4862.0,01063
32,AL,01,065,hale,H1,4772.0,3172.0,12.0,8010.0,01065
33,AL,01,067,henry,H1,2286.0,5623.0,17.0,8017.0,01067
34,AL,01,069,houston,H1,10547.0,30567.0,144.0,42030.0,01069
35,AL,01,071,jackson,H1,3663.0,16643.0,90.0,20785.0,01071
36,AL,01,073,jefferson,H1,151581.0,130614.0,1509.0,290111.0,01073
37,AL,01,075,lamar,H1,1035.0,5819.0,15.0,6931.0,01075
38,AL,01,077,lauderdale,H1,9877.0,27735.0,220.0,38813.0,01077
39,AL,01,079,lawrence,H1,3611.0,10732.0,31.0,14623.0,01079
40,AL,01,081,lee,H1,20987.0,34321.0,362.0,57668.0,01081
41,AL,01,083,limestone,H1,9340.0,28824.0,200.0,39400.0,01083
42,AL,01,085,lowndes,H1,4882.0,1751.0,11.0,6676.0,01085
43,AL,01,087,macon,H1,7237.0,1394.0,48.0,8748.0,01087
44,AL,01,089,madison,H1,62435.0,89199.0,1248.0,159473.0,01089
45,AL,01,091,marengo,H1,5607.0,5224.0,13.0,10948.0,01091
46,AL,01,093,marion,H1,1432.0,11273.0,26.0,12912.0,01093
47,AL,01,095,marshall,H1,4913.0,29217.0,158.0,34965.0,01095
48,AL,01,097,mobile,H1,68429.0,91087.0,758.0,163387.0,01097
49,AL,01,099,monroe,H1,4310.0,5771.0,16.0,10185.0,01099
50,AL,01,101,montgomery,H1,58669.0,33928.0,489.0,94572.0,01101
51,AL,01,103,morgan,H1,11216.0,37392.0,218.0,49991.0,01103
52,AL,01,105,perry,H1,3823.0,1403.0,6.0,5255.0,01105
53,AL,01,107,pickens,H1,3972.0,5454.0,19.0,9494.0,01107
54,AL,01,109,pike,H1,5039.0,7681.0,48.0,13025.0,01109
55,AL,01,111,randolph,H1,2290.0,7697.0,19.0,10130.0,01111
56,AL,01,113,russell,H1,9577.0,9210.0,68.0,19136.0,01113
57,AL,01,115,clair,H1,5550.0,31579.0,130.0,37937.0,01115
58,AL,01,117,shelby,H1,22927.0,72846.0,479.0,99208.0,01117
59,AL,01,119,sumter,H1,4739.0,1581.0,14.0,6391.0,01119
60,AL,01,121,talladega,H1,12108.0,20596.0,105.0,33218.0,01121
61,AL,01,123,tallapoosa,H1,5271.0,12967.0,49.0,18504.0,01123
62,AL,01,125,tuscaloosa,H1,31746.0,47701.0,390.0,81708.0,01125
63,AL,01,127,walker,H1,4486.0,24208.0,95.0,29243.0,01127
64,AL,01,129,washington,H1,2366.0,6031.0,22.0,8492.0,01129
65,AL,01,131,wilcox,H1,4329.0,1737.0,7.0,6095.0,01131
66,AL,01,133,winston,H1,871.0,9225.0,29.0,10255.0,01133
67,AK,02,013,aleutianseastborough,H1,3207.0,4497.0,142.0,8502.0,02013
68,AK,02,016,aleutianswestcensusarea,H5,3207.0,4497.0,142.0,8502.0,02016
69,AK,02,020,anchoragemunicipality,H6,3207.0,4497.0,142.0,8502.0,02020
70,AK,02,050,bethelcensusarea,H5,3207.0,4497.0,142.0,8502.0,02050
71,AK,02,060,bristolbayborough,H1,3207.0,4497.0,142.0,8502.0,02060
72,AK,02,068,denaliborough,H1,3207.0,4497.0,142.0,8502.0,02068
73,AK,02,070,dillinghamcensusarea,H5,3207.0,4497.0,142.0,8502.0,02070
74,AK,02,090,fairbanksnorthstarborough,H1,3207.0,4497.0,142.0,8502.0,02090
75,AK,02,100,hainesborough,H1,3207.0,4497.0,142.0,8502.0,02100
76,AK,02,105,hoonah-angooncensusarea,H5,3207.0,4497.0,142.0,8502.0,02105
77,AK,02,110,juneaucityandborough,H6,3207.0,4497.0,142.0,8502.0,02110
78,AK,02,122,kenaipeninsulaborough,H1,3207.0,4497.0,142.0,8502.0,02122
79,AK,02,130,ketchikangatewayborough,H1,3207.0,4497.0,142.0,8502.0,02130
80,AK,02,150,kodiakislandborough,H1,3207.0,4497.0,142.0,8502.0,02150
81,AK,02,164,lakeandpeninsulaborough,H1,3207.0,4497.0,142.0,8502.0,02164
82,AK,02,170,matanuska-susitnaborough,H1,3207.0,4497.0,142.0,8502.0,02170
83,AK,02,180,nomecensusarea,H5,3207.0,4497.0,142.0,8502.0,02180
84,AK,02,185,northslopeborough,H1,3207.0,4497.0,142.0,8502.0,02185
85,AK,02,188,northwestarcticborough,H1,3207.0,4497.0,142.0,8502.0,02188
86,AK,02,195,petersburgcensusarea,H5,3207.0,4497.0,142.0,8502.0,02195
87,AK,02,198,princeofwales-hydercensusarea,H5,3207.0,4497.0,142.0,8502.0,02198
88,AK,02,220,sitkacityandborough,H6,3207.0,4497.0,142.0,8502.0,02220
89,AK,02,230,skagwaymunicipality,H1,3207.0,4497.0,142.0,8502.0,02230
90,AK,02,240,southeastfairbankscensusarea,H5,3207.0,4497.0,142.0,8502.0,02240
91,AK,02,261,valdez-cordovacensusarea,H5,3207.0,4497.0,142.0,8502.0,02261
92,AK,02,270,wadehamptoncensusarea,H5,3207.0,4497.0,142.0,8502.0,02270
93,AK,02,275,wrangellcityandborough,H1,3207.0,4497.0,142.0,8502.0,02275
94,AK,02,282,yakutatcityandborough,H1,3207.0,4497.0,142.0,8502.0,02282
95,AK,02,290,yukon-koyukukcensusarea,H5,3207.0,4497.0,142.0,8502.0,02290
96,AZ,04,001,apache,H1,12196.0,5315.0,326.0,18659.0,04001
97,AZ,04,003,cochise,H1,15291.0,25036.0,798.0,43147.0,04003
98,AZ,04,005,coconino,H1,25308.0,16573.0,931.0,44929.0,04005
99,AZ,04,007,gila,H1,6746.0,13672.0,204.0,21398.0,04007
100,AZ,04,009,graham,H1,3301.0,8025.0,116.0,11939.0,04009
101,AZ,04,011,greenlee,H1,1092.0,1892.0,59.0,3243.0,04011
102,AZ,04,012,lapaz,H1,1318.0,3381.0,55.0,4931.0,04012
103,AZ,04,013,maricopa,H1,549040.0,590465.0,13697.0,1201934.0,04013
104,AZ,04,015,mohave,H1,16485.0,54656.0,662.0,74189.0,04015
105,AZ,04,017,navajo,H1,15362.0,18165.0,634.0,35409.0,04017
106,AZ,04,019,pima,H1,195649.0,147019.0,5029.0,360762.0,04019
107,AZ,04,021,pinal,H1,35737.0,53857.0,965.0,93805.0,04021
108,AZ,04,023,santacruz,H1,10684.0,3650.0,197.0,14926.0,04023
109,AZ,04,025,yavapai,H1,29705.0,58862.0,1144.0,92780.0,04025
110,AZ,04,027,yuma,H1,18336.0,20586.0,438.0,40759.0,04027
111,AR,05,001,arkansas,H1,1939.0,3825.0,64.0,6167.0,05001
112,AR,05,003,ashley,H1,2408.0,5338.0,34.0,8027.0,05003
113,AR,05,005,baxter,H1,4163.0,14655.0,138.0,19572.0,05005
114,AR,05,007,benton,H1,27894.0,60751.0,815.0,94262.0,05007
115,AR,05,009,boone,H1,2925.0,12225.0,134.0,15912.0,05009
116,AR,05,011,bradley,H1,1317.0,2163.0,16.0,3617.0,05011
117,AR,05,013,calhoun,H1,636.0,1554.0,3.0,2250.0,05013
118,AR,05,015,carroll,H1,3334.0,6773.0,102.0,10656.0,05015
119,AR,05,017,chicot,H1,2350.0,1716.0,15.0,4149.0,05017
120,AR,05,019,clark,H1,3606.0,4398.0,68.0,8365.0,05019
121,AR,05,021,clay,H1,1999.0,3779.0,35.0,5978.0,05021
122,AR,05,023,cleburne,H1,2101.0,9454.0,63.0,11968.0,05023
123,AR,05,025,cleveland,H1,723.0,2460.0,8.0,3299.0,05025
124,AR,05,027,columbia,H1,3140.0,5456.0,40.0,8837.0,05027
125,AR,05,029,conway,H1,2655.0,4844.0,43.0,7837.0,05029
126,AR,05,031,craighead,H1,10474.0,22798.0,303.0,34968.0,05031
127,AR,05,033,crawford,H1,4476.0,16655.0,173.0,22155.0,05033
128,AR,05,035,crittenden,H1,8368.0,6953.0,95.0,15798.0,05035
129,AR,05,037,cross,H1,1995.0,4577.0,24.0,6831.0,05037
130,AR,05,039,dallas,H1,1165.0,1507.0,12.0,2741.0,05039
131,AR,05,041,desha,H1,2227.0,1915.0,4.0,4226.0,05041
132,AR,05,043,drew,H1,2364.0,3967.0,43.0,6552.0,05043
133,AR,05,045,faulkner,H1,14525.0,29170.0,507.0,46364.0,05045
134,AR,05,047,franklin,H1,1376.0,5034.0,34.0,6698.0,05047
135,AR,05,049,fulton,H1,1067.0,3470.0,41.0,4744.0,05049
136,AR,05,051,garland,H1,12283.0,26053.0,387.0,40337.0,05051
137,AR,05,053,grant,H1,1407.0,5160.0,30.0,6855.0,05053
138,AR,05,055,greene,H1,3056.0,10698.0,97.0,14422.0,05055
139,AR,05,057,hempstead,H1,2371.0,4391.0,22.0,6984.0,05057
140,AR,05,059,hotspring,H1,3137.0,8153.0,112.0,11815.0,05059
141,AR,05,061,howard,H1,1350.0,3155.0,22.0,4634.0,05061
142,AR,05,063,independence,H1,2878.0,9925.0,85.0,13443.0,05063
143,AR,05,065,izard,H1,1111.0,4042.0,45.0,5396.0,05065
144,AR,05,067,jackson,H1,1583.0,3262.0,26.0,5093.0,05067
145,AR,05,069,jefferson,H1,15721.0,9231.0,156.0,25683.0,05069
146,AR,05,071,johnson,H1,2421.0,6072.0,90.0,8997.0,05071
