,state_abbr,STATEFP,electoral_votes,dem_votes,rep_votes,ind_votes,votes_total,el_votes_per_pop_vote,min_counties_for_state_win,rep_margin,rep_margin_as_frac_of_min_county_votes,el_vote_per_county_frac,el_vote_per_county_frac_per_diff,el_vote_per_county_frac_per_frac,lost_votes,dem_lost,rep_lost,ind_lost,win_margin,allStateMajInNatMaj,dem_votesInTop5,rep_votesInTop5,ind_votesInTop5
0,AL,01,9,718084.0,1306925.0,9287.0,2078165.0,4.3307437089932703e-06,0.11940298507462686,588841.0,0.56607515547236775,75.375,0.00012800569253839321,133.15369747520978,727371.0,718084.0,0,9287.0,0.28334660626081182,False,130614.0,151581.0,1509.0
1,AK,02,3,93003.0,130413.0,4118.0,246558.0,1.2167522449078918e-05,0.5172413793103449,37410.0,0.29334274288402723,5.7999999999999998,0.00015503875968992249,19.772093023255817,97121.0,93003.0,0,4118.0,0.15172900494001412,False,0.0,0.0,0.0
2,AZ,04,11,936250.0,1021154.0,25255.0,2062810.0,5.3325318376389487e-06,0.06666666666666667,84904.0,0.070639486028350976,165.0,0.00194337133703948,2335.8040846132103,961505.0,936250.0,0,25255.0,0.041159389376627026,True,737484.0,744689.0,18726.0
3,AR,05,6,378729.0,677904.0,8684.0,1108615.0,5.4121584138767742e-06,0.12,299175.0,0.52049353591131375,50.0,0.00016712626389237068,96.062672348959651,387413.0,378729.0,0,8684.0,0.26986374891193066,False,0.0,0.0,0.0
4,CA,06,55,7362490.0,3916209.0,52900.0,11954317.0,4.6008483797108609e-06,0.08620689655172414,-3446281.0,-0.56509388467744803,638.0,-0.00018512709787739306,-1129.0159339879715,3969109.0,0,3916209.0,52900.0,0.28828757008869682,True,2980822.0,6112121.0,43496.0
5,CO,08,9,1212209.0,1137455.0,21793.0,2564185.0,3.5098871571278985e-06,0.078125,-74754.0,-0.056178643788590214,115.2,-0.0015410546592824464,-2050.6013002648692,1159248.0,0,1137455.0,21793.0,0.029153122727104325,True,642816.0,739883.0,13769.0
6,CT,09,7,884432.0,668266.0,22793.0,1623542.0,4.3115607726809653e-06,0.375,-216166.0,-0.18235593344733075,18.666666666666668,-8.6353388907907199e-05,-102.36391168515556,691059.0,0,668266.0,22793.0,0.13314469228390766,True,461742.0,676113.0,15246.0
7,DC,11,3,260223.0,11553.0,3995.0,280272.0,1.0703887651995204e-05,1.0,-248670.0,-0.88724524747388256,3.0,-1.2064181445288937e-05,-3.3812522620340206,15548.0,0,11553.0,3995.0,0.88724524747388256,True,11553.0,260223.0,3995.0
8,DE,10,3,235581.0,185103.0,6100.0,441535.0,6.7944783539243777e-06,0.3333333333333333,-50478.0,-0.19305612923952453,9.0,-0.00017829549506715798,-46.618566504219665,191203.0,0,185103.0,6100.0,0.11432389278313157,True,85507.0,162905.0,3955.0
9,FL,12,29,4485745.0,4605515.0,25423.0,9386750.0,3.0894612086185315e-06,0.11940298507462686,119770.0,0.024716937716495052,242.875,0.0020278450363196126,9826.2577179176769,4511168.0,4485745.0,0,25423.0,0.012759474791594535,True,2820821.0,3377838.0,17360.0
