,state_abbr,STATEFP,electoral_votes,dem_votes,rep_votes,ind_votes,votes_total
0,AL,01,9,793620,1252453,18626,2064699
1,AK,02,3,122640,164676,13179,300495
2,AZ,04,11,900081,1107130,34308,2041519
3,AR,05,6,391953,643717,27161,1062831
4,CA,06,55,6241648,4046524,250484,10538656
5,CO,08,9,1238490,1125391,55817,2419698
6,CT,09,7,912531,631432,18224,1562187
7,DE,10,3,242547,165476,5821,413844
8,DC,11,3,222332,17337,3679,243348
9,FL,12,29,4235270,4162081,72854,8470205
10,GA,13,16,1761761,2070221,45056,3877038
11,HI,15,4,303090,119494,6910,429494
12,ID,16,4,212560,420750,18561,651871
13,IL,17,20,2934826,2094526,84374,5113726
14,IN,18,11,1140425,1412620,49838,2602883
15,IA,19,6,816429,727928,21611,1565968
16,KS,20,6,427918,678719,24607,1131244
17,KY,21,8,679340,1087127,30269,1796736
18,LA,22,8,808496,1152460,32599,1993555
19,ME,23,4,397754,290437,22547,710738
20,MD,24,10,1527686,904970,43300,2475956
21,MA,25,11,1901276,1178245,50210,3129731
22,MI,26,16,2561911,2112673,43144,4717728
23,MN,27,10,1547668,1321575,59699,2928942
24,MS,28,6,528260,674302,11442,1214004
25,MO,29,10,1215031,1478961,50943,2744935
26,MT,30,3,200489,264974,13923,479386
27,NE,31,5,289154,462972,12957,765083
28,NV,32,6,528801,462422,19882,1011105
29,NH,33,4,368529,327870,9475,705874
30,NJ,34,14,1960744,1383233,34849,3378826
31,NM,35,5,408312,331915,32102,772329
32,NY,36,29,3875826,2226637,86519,6188982
33,NC,37,15,2178388,2275853,44798,4499039
34,ND,38,3,124490,187586,7749,319825
35,OH,39,18,2697260,2593779,88051,5379090
36,OK,40,7,442647,889372,0,1332019
37,OR,41,7,932459,732288,48950,1713697
38,PA,42,20,2907448,2619583,69468,5596499
39,RI,44,4,274342,155355,7683,437380
40,SC,45,9,845756,1049507,26100,1921363
41,SD,46,3,144988,210541,8166,363695
42,TN,47,11,953043,1453097,36664,2442804
43,TX,48,38,3294440,4555799,112560,7962799
44,UT,49,6,229463,671747,22091,923301
45,VT,50,3,199259,92700,5315,297274
46,VA,51,13,1904303,1788091,52666,3745060
47,WA,53,12,1588309,1183614,68383,2840306
48,WV,54,5,234925,412406,14312,661643
49,WI,55,10,1613950,1408746,33917,3056613
50,WY,56,3,68780,170265,6740,245785
