State,raceYear,AreaNumber,RepVotes,RepStatus,DemVotes,DemStatus,Dem Vote %,Winner
Alabama,1972,1,"104,606",Incumbent,"24,357",Challenger,0.188868125,R
Alabama,1972,2,"80,362",Incumbent,"60,769",Challenger,0.430585768,R
Alabama,1972,3,"27,253",Challenger,"100,045",Incumbent,0.785911798,D
Alabama,1972,4,"46,551",Challenger,"108,039",Incumbent,0.698874442,D
Alabama,1972,5,"33,352",Challenger,"101,303",Challenger,0.752315176,D
Alabama,1972,6,"91,499",Incumbent,"54,497",Challenger,0.37327735,R
Alabama,1972,7,0,0,"95,060",Incumbent,1,D
Alabama,1974,1,"60,710",Incumbent,"37,718",Challenger,0.383203966,R
Alabama,1974,2,"54,089",Incumbent,"27,729",Challenger,0.338910753,R
Alabama,1974,3,0,0,"63,582",Incumbent,1,D
Alabama,1974,4,0,0,"77,925",Incumbent,1,D
Alabama,1974,5,0,0,"56,375",Incumbent,1,D
Alabama,1974,6,"54,505",Incumbent,"39,444",Challenger,0.419844809,R
Alabama,1974,7,0,0,"73,203",Incumbent,1,D
Alabama,1976,1,"98,257",Incumbent,"58,906",Challenger,0.37480832,R
Alabama,1976,2,"90,069",Incumbent,"66,288",Challenger,0.423952877,R
Alabama,1976,3,0,0,"106,935",Incumbent,1,D
Alabama,1976,4,"34,531",Challenger,"141,490",Incumbent,0.803824544,D
Alabama,1976,5,0,0,"113,553",Challenger,1,D
Alabama,1976,6,"92,113",Incumbent,"69,384",Challenger,0.429630272,R
Alabama,1976,7,0,0,"110,496",Incumbent,1,D
Alabama,1978,1,"71,711",Incumbent,"40,450",Challenger,0.360642291,R
Alabama,1978,2,"57,924",Incumbent,"49,341",Challenger,0.45999161,R
Alabama,1978,3,0,0,"74,895",Incumbent,1,D
Alabama,1978,4,0,0,"87,380",Incumbent,1,D
Alabama,1978,5,0,0,"68,985",Incumbent,1,D
Alabama,1978,6,"65,700",Incumbent,"40,771",Challenger,0.382930563,R
Alabama,1978,7,"1,841",Challenger,"77,742",Challenger,0.976866919,D
Alabama,1980,1,"111,089",Incumbent,0,0,0,R
Alabama,1980,2,"104,796",Incumbent,"63,447",Challenger,0.377115244,R
Alabama,1980,3,0,0,"107,654",Incumbent,1,D
Alabama,1980,4,0,0,"129,365",Incumbent,1,D
Alabama,1980,5,0,0,"117,626",Incumbent,1,D
Alabama,1980,6,"95,019",Challenger,"81,536",Challenger,0.461816431,R
Alabama,1980,7,"43,320",Challenger,"122,505",Incumbent,0.738760742,D
Alabama,1982,1,87901,Incumbent,54315,Challenger,0.381919053,R
Alabama,1982,2,83290,Incumbent,81904,Challenger,0.495804932,R
Alabama,1982,3,0,0,100864,Incumbent,1,D
Alabama,1982,4,0,0,118595,Incumbent,1,D
Alabama,1982,5,24593,Challenger,108807,Incumbent,0.815644678,D
Alabama,1982,6,76726,Incumbent,88029,Challenger,0.534302449,D
Alabama,1982,7,0,0,124070,Incumbent,1,D
Alabama,1984,1,102479,Challenger,98455,Challenger,0.489986762,R
Alabama,1984,2,118153,Incumbent,75506,Challenger,0.38989151,R
Alabama,1984,3,0,0,120357,Incumbent,1,D
Alabama,1984,4,0,0,120106,Incumbent,1,D
Alabama,1984,5,0,0,140542,Incumbent,1,D
Alabama,1984,6,87550,Challenger,130973,Incumbent,0.599355674,D
Alabama,1984,7,0,0,135834,Incumbent,1,D
Alabama,1986,1,96469,Incumbent,0,0,0,R
Alabama,1986,2,115302,Incumbent,57568,Challenger,0.333013247,R
Alabama,1986,3,27769,Challenger,115127,Incumbent,0.805669858,D
Alabama,1986,4,38588,Challenger,132881,Incumbent,0.774956406,D
Alabama,1986,5,33528,Challenger,125406,Incumbent,0.789044509,D
Alabama,1986,6,51924,Challenger,139608,Incumbent,0.728901698,D
Alabama,1986,7,72777,Challenger,108126,Challenger,0.597701531,D
Alabama,1988,1,115173,Incumbent,77670,Challenger,0.402762869,R
Alabama,1988,2,120408,Incumbent,0,0,0,R
Alabama,1988,3,0,0,117514,Incumbent,1,D
Alabama,1988,4,0,0,131880,Incumbent,1,D
Alabama,1988,5,64491,Challenger,120142,Incumbent,0.650707078,D
Alabama,1988,6,68788,Challenger,138920,Incumbent,0.668823541,D
Alabama,1988,7,63372,Challenger,136074,Incumbent,0.68225986,D
Alabama,1990,1,82185,Incumbent,0,0,0,R
Alabama,1990,2,87649,Incumbent,83243,Challenger,0.487108817,R
Alabama,1990,3,36317,Challenger,101923,Challenger,0.73729022,D
Alabama,1990,4,0,0,129872,Incumbent,1,D
Alabama,1990,5,55326,Challenger,113047,Challenger,0.671408124,D
Alabama,1990,6,0,0,134412,Incumbent,1,D
Alabama,1990,7,53258,Challenger,127490,Incumbent,0.705346671,D
Alabama,1992,1,"128,874",Incumbent,"78,742",Challenger,0.379267494,R
Alabama,1992,2,"112,906",Challenger,"109,335",Challenger,0.491965929,R
Alabama,1992,3,"73,800",Challenger,"119,175",Incumbent,0.617567042,D
Alabama,1992,4,"66,934",Challenger,"157,907",Incumbent,0.702305185,D
Alabama,1992,5,"77,951",Challenger,"160,060",Incumbent,0.672489927,D
Alabama,1992,6,"146,599",Challenger,"126,062",Incumbent,0.462339682,R
Alabama,1992,7,"36,086",Challenger,"144,320",Challenger,0.799973393,D
