,State,year,contestedFrac,avgTurnout
0,AL,1972,0.8571428571428571,138772.16666666666
1,AL,1974,0.42857142857142855,91398.333333333328
2,AL,1976,0.5714285714285714,162759.5
3,AL,1978,0.5714285714285714,101370.0
4,AL,1980,0.42857142857142855,170207.66666666666
5,AL,1982,0.5714285714285714,151391.25
6,AL,1984,0.42857142857142855,204372.0
7,AL,1986,0.8571428571428571,169767.33333333334
8,AL,1988,0.5714285714285714,196157.5
9,AL,1990,0.5714285714285714,164563.25
10,AL,1992,1.0,219821.57142857142
11,AL,1994,0.8571428571428571,165525.83333333334
12,AL,1996,1.0,205937.14285714287
13,AL,1998,0.7142857142857143,192357.39999999999
14,AL,2000,0.42857142857142855,212524.66666666666
15,AL,2002,0.5714285714285714,182528.0
16,AL,2004,0.8571428571428571,253877.16666666666
17,AL,2006,0.5714285714285714,172287.0
18,AL,2008,0.5714285714285714,279797.5
19,AL,2010,0.5714285714285714,207834.25
20,AL,2012,0.8571428571428571,288458.0
21,AL,2014,0.5714285714285714,163610.25
22,AL,2016,0.5714285714285714,292647.75
23,AK,1972,1.0,95401.0
24,AK,1974,1.0,95921.0
25,AK,1976,1.0,117916.0
26,AK,1978,1.0,123987.0
27,AK,1980,1.0,154011.0
28,AK,1982,1.0,180285.0
29,AK,1984,1.0,199634.0
30,AK,1986,1.0,175852.0
31,AK,1988,1.0,192476.0
32,AK,1990,1.0,190680.0
33,AK,1992,1.0,214227.0
34,AK,1994,1.0,186709.0
35,AK,1996,1.0,223948.0
36,AK,1998,1.0,216908.0
37,AK,2000,1.0,236234.0
38,AK,2002,1.0,209042.0
39,AK,2004,1.0,280290.0
40,AK,2006,1.0,226622.0
41,AK,2008,1.0,301499.0
42,AK,2010,1.0,252990.0
43,AK,2012,1.0,268223.0
44,AK,2014,1.0,257174.0
45,AK,2016,1.0,266107.0
46,AZ,1972,1.0,148476.75
47,AZ,1974,1.0,133901.5
48,AZ,1976,1.0,174056.25
49,AZ,1978,0.75,126763.33333333333
50,AZ,1980,1.0,207074.75
51,AZ,1982,1.0,139073.0
52,AZ,1984,0.6,216135.66666666666
53,AZ,1986,0.8,163405.5
54,AZ,1988,0.8,220419.5
55,AZ,1990,0.8,199821.75
56,AZ,1992,1.0,220394.0
57,AZ,1994,1.0,177083.83333333334
58,AZ,1996,1.0,220377.0
59,AZ,1998,1.0,163414.16666666666
60,AZ,2000,1.0,235427.33333333334
61,AZ,2002,1.0,144257.125
62,AZ,2004,0.75,223537.16666666666
63,AZ,2006,0.875,178043.42857142858
64,AZ,2008,1.0,259637.875
65,AZ,2010,1.0,201543.375
66,AZ,2012,0.8888888888888888,246771.0
67,AZ,2014,0.7777777777777778,173166.57142857142
68,AZ,2016,0.7777777777777778,277878.57142857142
69,AR,1972,0.25,187052.0
70,AR,1974,0.75,141252.0
71,AR,1976,0.5,168190.5
72,AR,1978,0.5,146629.5
73,AR,1980,0.25,201426.0
74,AR,1982,1.0,189809.5
75,AR,1984,0.25,194006.0
76,AR,1986,1.0,163740.75
77,AR,1988,0.75,201973.33333333334
78,AR,1990,1.0,166267.75
79,AR,1992,1.0,220524.25
80,AR,1994,1.0,177253.0
81,AR,1996,1.0,212884.75
82,AR,1998,0.5,166805.5
83,AR,2000,0.75,210837.33333333334
84,AR,2002,0.5,195797.5
85,AR,2004,0.75,261406.66666666666
86,AR,2006,1.0,190752.75
87,AR,2008,0.0,189551.0
88,AR,2010,1.0,188349.25
89,AR,2012,0.75,251964.66666666666
90,AR,2014,0.75,204258.33333333334
91,AR,2016,0.25,287819.0
92,CA,1972,0.9767441860465116,186269.59523809524
93,CA,1974,0.8837209302325582,138576.65789473685
94,CA,1976,0.9767441860465116,173371.11904761905
95,CA,1978,0.9534883720930233,151966.19512195123
96,CA,1980,1.0,182421.95348837209
97,CA,1982,0.9555555555555556,166337.6976744186
98,CA,1984,0.9333333333333333,196622.47619047618
99,CA,1986,0.9777777777777777,158357.88636363635
100,CA,1988,0.9333333333333333,207375.09523809524
101,CA,1990,0.9333333333333333,155734.90476190476
102,CA,1992,0.9423076923076923,192339.04081632654
103,CA,1994,0.9615384615384616,158645.26000000001
104,CA,1996,1.0,173047.42307692306
105,CA,1998,0.8269230769230769,153265.67441860464
106,CA,2000,0.9230769230769231,195335.16666666666
107,CA,2002,0.9622641509433962,132073.78431372548
108,CA,2004,0.9056603773584906,217931.95833333334
109,CA,2006,0.8490566037735849,162395.15555555557
110,CA,2008,0.8301886792452831,238095.40909090909
111,CA,2010,0.9622641509433962,177148.43137254901
112,CA,2012,0.7735849056603774,238443.85365853659
113,CA,2014,0.7924528301886793,139772.52380952382
114,CA,2016,0.8301886792452831,263517.72727272729
115,CO,1972,1.0,181663.60000000001
116,CO,1974,1.0,155561.20000000001
117,CO,1976,1.0,198576.79999999999
118,CO,1978,1.0,154345.79999999999
119,CO,1980,1.0,225023.0
120,CO,1982,1.0,155540.33333333334
121,CO,1984,0.8333333333333334,208862.79999999999
122,CO,1986,1.0,169319.83333333334
123,CO,1988,1.0,218760.0
124,CO,1990,1.0,165145.83333333334
125,CO,1992,1.0,241524.16666666666
126,CO,1994,0.8333333333333334,182557.39999999999
127,CO,1996,1.0,238223.0
128,CO,1998,1.0,208186.16666666666
129,CO,2000,0.6666666666666666,250572.0
130,CO,2002,1.0,191780.14285714287
131,CO,2004,1.0,283874.0
132,CO,2006,0.8571428571428571,221204.33333333334
133,CO,2008,1.0,321519.71428571426
134,CO,2010,1.0,241446.57142857142
135,CO,2012,0.8571428571428571,337435.16666666669
136,CO,2014,1.0,276659.14285714284
137,CO,2016,1.0,364619.14285714284
138,CT,1972,1.0,224684.0
139,CT,1974,1.0,176706.0
140,CT,1976,1.0,222163.33333333334
141,CT,1978,1.0,169311.66666666666
142,CT,1980,1.0,222572.0
143,CT,1982,1.0,177138.5
144,CT,1984,1.0,238219.16666666666
145,CT,1986,1.0,163152.5
146,CT,1988,1.0,222862.83333333334
147,CT,1990,1.0,172492.83333333334
148,CT,1992,1.0,223929.83333333334
149,CT,1994,1.0,170401.0
150,CT,1996,1.0,211764.66666666666
151,CT,1998,1.0,156270.5
152,CT,2000,1.0,215677.83333333334
153,CT,2002,1.0,195003.60000000001
