,State,cycle,AreaNumber,avgDemVote,avgRepVote
0,AL,1970,1,40357.75,83821.0
1,AL,1970,2,53514.800000000003,77448.0
2,AL,1970,3,100045.0,27253.0
3,AL,1970,4,124764.5,40541.0
4,AL,1970,5,101303.0,33352.0
5,AL,1970,6,57126.400000000001,79767.199999999997
6,AL,1970,7,100123.5,22580.5
7,AL,1980,1,76813.333333333328,101851.0
8,AL,1980,2,74555.25,101098.5
9,AL,1980,3,108525.0,32043.0
10,AL,1980,4,132881.0,38588.0
11,AL,1980,5,116850.5,44484.5
12,AL,1980,6,124382.5,71247.0
13,AL,1980,7,123896.66666666667,63135.666666666664
14,AL,1990,1,66146.333333333328,121503.66666666667
15,AL,1990,2,70288.0,130638.39999999999
16,AL,1990,3,94695.25,81910.25
17,AL,1990,4,106405.5,103995.25
18,AL,1990,5,124503.5,77534.25
19,AL,1990,6,74335.25,159297.0
20,AL,1990,7,136341.0,42294.0
21,AL,2000,1,71405.0,127371.0
22,AL,2000,2,86348.0,136968.79999999999
23,AL,2000,3,89486.800000000003,120056.2
24,AL,2000,4,61579.0,172111.66666666666
25,AL,2000,5,149386.0,100198.5
26,AL,2000,6,64087.199999999997,152660.79999999999
27,AL,2000,7,160052.0,56454.5
28,AL,2010,1,48278.0,103758.0
29,AL,2010,2,89957.666666666672,142860.0
30,AL,2010,3,81835.333333333328,157009.33333333334
31,AL,2010,4,69706.0,199071.0
32,AL,2010,5,102003.0,197416.0
33,AL,2010,6,71422.333333333328,200173.33333333334
34,AL,2010,7,232520.0,73835.0
35,AK,1970,1,45444.599999999999,72002.600000000006
36,AK,1980,1,75134.800000000003,112650.60000000001
37,AK,1990,1,75653.600000000006,139951.60000000001
38,AK,2000,1,84095.199999999997,169993.39999999999
39,AK,2010,1,102849.33333333333,160985.33333333334
40,AZ,1970,1,50884.800000000003,91753.199999999997
41,AZ,1970,2,96755.0,65437.800000000003
42,AZ,1970,3,87986.5,76803.5
43,AZ,1970,4,72625.600000000006,97577.0
44,AZ,1980,1,52355.25,140885.75
45,AZ,1980,2,81787.75,32206.0
46,AZ,1980,3,72956.75,141654.0
47,AZ,1980,4,66823.666666666672,119800.66666666667
48,AZ,1980,5,82282.800000000003,123938.0
49,AZ,1990,1,88528.600000000006,114545.2
50,AZ,1990,2,75295.199999999997,33891.599999999999
51,AZ,1990,3,80127.600000000006,163103.60000000001
52,AZ,1990,4,67306.0,133329.60000000001
53,AZ,1990,5,80176.600000000006,155733.60000000001
54,AZ,1990,6,104169.39999999999,123828.60000000001
55,AZ,2000,1,103044.2,112533.60000000001
56,AZ,2000,2,93359.199999999997,154971.20000000001
57,AZ,2000,3,80282.0,118713.75
58,AZ,2000,4,65875.199999999997,23396.200000000001
59,AZ,2000,5,101308.39999999999,117935.8
60,AZ,2000,6,79142.333333333328,159108.33333333334
61,AZ,2000,7,90943.399999999994,55769.599999999999
62,AZ,2000,8,126571.0,138352.0
63,AZ,2010,1,120794.66666666667,107687.33333333333
64,AZ,2010,2,130918.0,144798.0
65,AZ,2010,3,78330.0,54424.0
66,AZ,2010,4,65209.666666666664,162984.66666666666
67,AZ,2010,5,86375.0,171173.66666666666
68,AZ,2010,6,96910.0,170287.33333333334
69,AZ,2010,7,119465.0,39286.0
70,AZ,2010,8,95635.0,172809.0
71,AZ,2010,9,126515.0,95940.333333333328
72,AR,1970,1,110232.0,31693.0
73,AR,1970,2,82373.5,75822.5
74,AR,1970,3,53753.0,121327.0
75,AR,1970,4,79185.199999999997,80528.800000000003
76,AR,1980,1,110338.66666666667,60811.666666666664
77,AR,1980,2,117452.0,66027.600000000006
78,AR,1980,3,53729.25,142633.75
79,AR,1980,4,119117.0,46607.25
80,AR,1990,1,117598.5,78909.5
81,AR,1990,2,118931.60000000001,79485.600000000006
82,AR,1990,3,94217.333333333328,130729.33333333333
83,AR,1990,4,86603.199999999997,104559.39999999999
84,AR,2000,1,124483.25,73937.0
85,AR,2000,2,122130.66666666667,106392.66666666667
86,AR,2000,3,78528.333333333328,144749.66666666666
87,AR,2000,4,116782.66666666667,64263.333333333336
88,AR,2010,1,80078.0,131469.5
89,AR,2010,2,109326.66666666667,152573.33333333334
90,AR,2010,3,89971.666666666672,151586.66666666666
91,AR,2010,4,91377.5,132469.0
92,CA,1970,1,117800.5,107260.0
93,CA,1970,2,105030.39999999999,107219.0
94,CA,1970,3,137965.20000000001,64053.199999999997
95,CA,1970,4,103124.75,65600.25
96,CA,1970,5,104794.0,57996.599999999999
97,CA,1970,6,91510.0,49867.599999999999
98,CA,1970,7,121750.2,65517.199999999997
99,CA,1970,8,104548.0,74558.199999999997
100,CA,1970,9,102302.2,46934.199999999997
101,CA,1970,10,92705.600000000006,58415.800000000003
102,CA,1970,11,101377.2,59329.800000000003
103,CA,1970,12,52712.800000000003,120075.8
104,CA,1970,13,100300.60000000001,85930.399999999994
105,CA,1970,14,108257.0,71494.399999999994
106,CA,1970,15,89229.0,38737.0
107,CA,1970,16,115151.0,64676.800000000003
108,CA,1970,17,73072.199999999997,87505.0
109,CA,1970,18,56712.0,98234.0
110,CA,1970,19,63710.400000000001,107657.60000000001
111,CA,1970,20,66616.199999999997,139254.39999999999
112,CA,1970,21,86752.399999999994,43012.599999999999
113,CA,1970,22,73803.199999999997,92951.199999999997
114,CA,1970,23,114351.8,75962.199999999997
115,CA,1970,24,87157.399999999994,64930.0
116,CA,1970,25,52812.5,44922.25
117,CA,1970,26,80307.0,94700.0
118,CA,1970,27,84342.600000000006,107192.0
119,CA,1970,28,100377.25,54563.5
120,CA,1970,29,80170.0,20559.0
121,CA,1970,30,73729.600000000006,27050.0
122,CA,1970,31,68527.5,39861.75
123,CA,1970,32,80644.0,61852.5
124,CA,1970,33,59223.0,102141.8
125,CA,1970,34,83595.600000000006,90424.399999999994
126,CA,1970,35,84741.800000000003,68546.399999999994
127,CA,1970,36,80460.199999999997,58809.199999999997
128,CA,1970,37,67639.399999999994,107653.2
129,CA,1970,38,83385.0,58262.400000000001
130,CA,1970,39,69625.399999999994,129669.2
131,CA,1970,40,74245.800000000003,156422.20000000001
132,CA,1970,41,93006.800000000003,99072.399999999994
133,CA,1970,42,79416.800000000003,66301.399999999994
134,CA,1970,43,72450.0,174714.79999999999
135,CA,1980,1,131848.60000000001,84727.199999999997
136,CA,1980,2,76426.0,131386.79999999999
137,CA,1980,3,158107.33333333334,66903.0
138,CA,1980,4,123009.75,70538.5
139,CA,1980,5,123962.2,44694.199999999997
140,CA,1980,6,143157.39999999999,66464.199999999997
141,CA,1980,7,140103.60000000001,71166.600000000006
142,CA,1980,8,134101.79999999999,83905.199999999997
143,CA,1980,9,120399.8,58493.800000000003
144,CA,1980,10,86461.75,44583.75
