,State,cycle,avgDemVoteInMostPartisanDem,avgRepVoteInMostPartisanDem,avgDemVoteInMostPartisanRep,avgRepVoteInMostPartisanRep,
0,AL,01,1970,96245.199999999997,32290.0,42977.800000000003,86691.8
1,AL,01,1980,118580.8,47920.199999999997,69660.399999999994,104835.6
2,AL,01,1990,136036.60000000001,45542.400000000001,62995.800000000003,154258.6
3,AL,01,2000,137003.20000000001,81341.199999999997,64087.199999999997,152660.8
4,AL,01,2010,132475.0,104093.0,65235.333333333336,193443.0
5,AK,02,1970,45444.599999999999,72002.600000000006,45444.599999999999,72002.6
6,AK,02,1980,75134.800000000003,112650.60000000001,75134.800000000003,112650.6
7,AK,02,1990,75653.600000000006,139951.60000000001,75653.600000000006,139951.6
8,AK,02,2000,84095.199999999997,169993.39999999999,84095.199999999997,169993.4
9,AK,02,2010,102849.33333333333,160985.33333333334,102849.33333333333,160985.333333
10,AZ,04,1970,99497.399999999994,60876.199999999997,51704.800000000003,96812.6
11,AZ,04,1980,87404.399999999994,48979.800000000003,57596.800000000003,141804.4
12,AZ,04,1990,75295.199999999997,33891.599999999999,70500.600000000006,160563.8
13,AZ,04,2000,65875.199999999997,23396.200000000001,83558.800000000003,154992.0
14,AZ,04,2010,102180.66666666667,56596.666666666664,65209.666666666664,162984.666667
15,AR,05,1970,79185.199999999997,80528.800000000003,63950.800000000003,115138.8
16,AR,05,1980,123802.8,50617.400000000001,63616.400000000001,132275.2
17,AR,05,1990,115681.2,73412.199999999997,82705.800000000003,113025.6
18,AR,05,2000,130701.0,65199.75,88804.5,128038.25
19,AR,05,2010,109326.66666666667,152573.33333333334,89971.666666666672,151586.666667
20,CA,06,1970,82305.800000000003,14834.4,44634.0,158842.6
21,CA,06,1980,93811.600000000006,16251.6,46095.599999999999,139390.2
22,CA,06,1990,143383.0,20998.400000000001,54650.599999999999,142396.6
23,CA,06,2000,187652.20000000001,24378.799999999999,54305.0,131485.0
24,CA,06,2010,222882.33333333334,28078.333333333332,63883.0,147423.666667
25,CO,08,1970,99409.399999999994,60055.400000000001,60537.800000000003,122784.8
26,CO,08,1980,125486.8,56052.800000000003,51780.400000000001,139129.0
27,CO,08,1990,130821.0,67897.600000000006,66388.399999999994,170629.2
28,CO,08,2000,158094.79999999999,60223.400000000001,76836.399999999994,156144.6
29,CO,08,2010,226038.0,92976.333333333328,107067.66666666667,203581.0
30,CT,09,1970,130352.60000000001,70737.199999999997,71199.800000000003,118201.6
31,CT,09,1980,141301.0,59139.0,58774.599999999999,128003.8
32,CT,09,1990,145646.0,55554.199999999997,57539.199999999997,127363.4
33,CT,09,2000,169273.60000000001,60198.599999999999,108641.0,127371.8
34,CT,09,2010,190543.33333333334,79655.333333333328,146304.66666666666,122068.333333
35,DE,10,1970,79048.199999999997,114254.2,79048.199999999997,114254.2
36,DE,10,1980,124313.2,75157.199999999997,124313.2,75157.2
37,DE,10,1990,79283.199999999997,161636.20000000001,79283.199999999997,161636.2
38,DE,10,2000,116853.8,183071.79999999999,116853.8,183071.8
39,DE,10,2010,206912.66666666666,129068.0,206912.66666666666,129068.0
