,State,cycle,AreaNumber,alpha,beta,alphaCen,betaCen,alphaCenR,betaCenR,mean,std,meanCen,stdCen
0,AL,1970,1,11.293675158177223,23.256165203566177,12.240599643814445,39.63439392680209,12.240599643814445,39.63439392680209,0.32688067556695766,0.078672296080085635,0.23596339587303325,0.058392119291289846
1,AL,1970,2,33.445925714151556,48.9106346800544,24.992079993730986,57.214219248157114,24.992079993730986,57.214219248157114,0.40611125032492962,0.053790448656163781,0.30401660486130128,0.050427796117945067
2,AL,1970,3,124.19892347929948,33.832707819129958,111.18573964466202,47.640215172512853,111.18573964466202,47.640215172512853,0.785911797903043,0.032526813139548826,0.70004767024790326,0.036246516377547042
3,AL,1970,4,64.251291971952284,21.263229000096327,86.040041124122482,44.466064254146957,86.040041124122482,44.466064254146957,0.75134949294697617,0.046469839201212886,0.65927981587326567,0.041329567708454848
4,AL,1970,5,131.74772605600796,43.375321125935891,108.94936655022217,56.406106399251094,108.94936655022217,56.406106399251094,0.75231517596384012,0.032526813139548826,0.65887971294130199,0.036756850797488298
5,AL,1970,6,47.443119098267069,67.292388224738701,33.307885684186914,74.071870780285252,33.307885684186914,74.071870780285252,0.41349988512888364,0.045776062932516834,0.31018775587563574,0.044432800774929407
6,AL,1970,7,14.694429628142858,2.4356621320772072,11.171197002866384,2.811692074907532,11.171197002866384,2.811692074907532,0.85781383041196757,0.082021026138624165,0.79891908894730679,0.10354736195967533
7,AL,1980,1,43.332799223594897,58.65323002017292,32.074326756822856,73.890298575854374,32.074326756822856,73.890298575854374,0.42488956129491517,0.048710714405353066,0.30268900263767384,0.044421323237285204
8,AL,1980,2,21.444034670830742,28.840411384909242,16.475586804716041,37.504048786072502,16.475586804716041,37.504048786072502,0.42645462668635481,0.06906014266500414,0.30521856297095024,0.062105297490270536
9,AL,1980,3,88.38257209269166,26.179785494664909,81.355397865740031,41.04452928135396,81.355397865740031,41.04452928135396,0.77148003894121864,0.039058559379849957,0.6646686788299413,0.042499342906436595
10,AL,1980,4,126.96835523794863,36.870996564503116,138.67371727640838,68.702621337929656,138.67371727640838,68.702621337929656,0.7749564060228944,0.032526813139548826,0.66870559198319479,0.032606210563664764
11,AL,1980,5,27.084608871483603,9.9313379072015966,20.469032578674167,12.643746185623492,20.469032578674167,12.643746185623492,0.7317010971898108,0.07186102308770316,0.61816112517696542,0.08318257625989714
12,AL,1980,6,26.961705645702541,15.642201847492634,20.377807366816093,19.961907991504511,20.377807366816093,19.961907991504511,0.63284584049031056,0.072997920169520475,0.50515496169986973,0.077761240574336671
13,AL,1980,7,62.566265562186373,31.977649479337455,49.292712212667112,42.842809356311136,49.292712212667112,42.842809356311136,0.66176935379402446,0.048401440464688146,0.53500225942459767,0.051682742837651216
14,AL,1990,1,59.016674385196183,109.50510862217939,41.071226153326556,70.598926193341299,41.071226153326556,70.598926193341299,0.35020205300470408,0.036638337213924642,0.36779054465534705,0.045428284051689909
15,AL,1990,2,10.121453952852791,19.27185549158078,30.515930430302575,54.574396206746229,30.515930430302575,54.574396206746229,0.3443455039313229,0.086187787925603568,0.35862984238464268,0.051689271250223726
16,AL,1990,3,16.95891679225317,14.494175329333402,20.074064176163702,15.974243668524993,20.074064176163702,15.974243668524993,0.53918122665638002,0.087499268377781964,0.55686564436398045,0.081612885874874974
17,AL,1990,4,9.2527122700922941,9.1519373388323952,20.638743643626739,18.842729927030256,20.638743643626739,18.842729927030256,0.50273775739829984,0.11350384960924148,0.52274501879194424,0.078504044147251692
18,AL,1990,5,23.990434619530369,15.278989704178889,32.993381317453839,19.502103772301705,32.993381317453839,19.502103772301705,0.61091892821677896,0.07682881447905511,0.62849940830230511,0.066065332712126057
19,AL,1990,6,7.7952887265128092,17.532065186110412,22.725735542061361,48.30512955103989,22.725735542061361,48.30512955103989,0.30778141109433532,0.089957880875308677,0.3199416973490945,0.05496031086184526
20,AL,1990,7,82.932731781375708,25.623891590761598,83.232913818836067,23.877443142444847,83.232913818836067,23.877443142444847,0.76395828467396532,0.040570455548180395,0.77707624341989401,0.040029147571155652
21,AL,2000,1,53.166366052679237,95.726524100819105,77.621958284769889,109.52139825022851,77.621958284769889,109.52139825022851,0.35707793701813678,0.039135434195316246,0.41477271607156146,0.035918891804699933
22,AL,2000,2,7.9069766137819224,13.098344321883713,8.2267046534956716,10.766997307540516,8.2267046534956716,10.766997307540516,0.37642731753535852,0.10328095704995324,0.43312802687817209,0.11081639789652097
23,AL,2000,3,38.57258528689789,51.803875890646054,64.096057188072564,67.498761858212092,64.096057188072564,67.498761858212092,0.42679902249239776,0.051742570712845722,0.48707128177689613,0.04340717198803485
24,AL,2000,4,38.74390043122829,106.45640679734949,35.717248827244688,76.715169898937788,35.717248827244688,76.715169898937788,0.26683070560062055,0.03658018468214113,0.31767749223851843,0.043713892036203669
25,AL,2000,5,8.10004597697991,5.3049543824870513,10.627617735521996,5.5011970755382205,10.627617735521996,5.5011970755382205,0.6042555583565834,0.12884308120909624,0.65892118298947699,0.11454613813203908
26,AL,2000,6,59.626143152661214,138.32263948160278,62.569892221394483,113.55843711694587,62.569892221394483,113.55843711694587,0.30122005479987329,0.032526813139548826,0.35525172160804691,0.035959958180849239
27,AL,2000,7,126.37646875643361,44.957523732534646,112.75831008443939,31.42456491945098,112.75831008443939,31.42456491945098,0.73760301105789416,0.033512381341864642,0.78205064284782033,0.034263958762735677
28,AL,2010,1,38.708008180848459,83.190387306425052,56.771654119262983,74.594175214125244,56.771654119262983,74.594175214125244,0.31754321314991935,0.041991935198224389,0.43216454695523909,0.043057407551697457
