,State,raceYear,AreaNumber,RepVotes,RepStatus,DemVotes,DemStatus,Dem Vote %,Winner,imputedRep,imputedDem,centeredRep,centeredDem
0,Alabama,1972,1,104606.0,Incumbent,24357.0,Challenger,0.188868125,R,104606.0,24357.0,123009.750312,21187.1460301
1,Alabama,1972,2,80362.0,Incumbent,60769.0,Challenger,0.430585768,R,80362.0,60769.0,94500.4068084,52860.4375375
2,Alabama,1972,3,27253.0,Challenger,100045.0,Incumbent,0.785911798,D,27253.0,100045.0,32047.7288613,87025.0040883
3,Alabama,1972,4,46551.0,Challenger,108039.0,Incumbent,0.698874442,D,46551.0,108039.0,54740.9028812,93978.6537727
4,Alabama,1972,5,33352.0,Challenger,101303.0,Challenger,0.752315176,D,33352.0,101303.0,39219.7502286,88119.2862127
5,Alabama,1972,6,91499.0,Incumbent,54497.0,Challenger,0.37327735,R,91499.0,54497.0,107596.783586,47404.68437
6,Alabama,1972,7,0.0,0,95060.0,Incumbent,1.0,D,22580.5,100123.5,26553.1773218,87093.2879887
7,Alabama,1974,1,60710.0,Incumbent,37718.0,Challenger,0.383203966,R,60710.0,37718.0,85374.3924694,29263.7849187
8,Alabama,1974,2,54089.0,Incumbent,27729.0,Challenger,0.338910753,R,54089.0,27729.0,76063.5070709,21513.7465404
9,Alabama,1974,3,0.0,0,63582.0,Incumbent,1.0,D,27253.0,100045.0,38324.9599402,77620.6416615
10,Alabama,1974,4,0.0,0,77925.0,Incumbent,1.0,D,40541.0,124764.5,57011.4189607,96799.4457152
11,Alabama,1974,5,0.0,0,56375.0,Incumbent,1.0,D,33352.0,101303.0,46901.7746276,78596.6701208
12,Alabama,1974,6,54505.0,Incumbent,39444.0,Challenger,0.419844809,R,54505.0,39444.0,76648.5136146,30602.9145854
13,Alabama,1974,7,0.0,0,73203.0,Incumbent,1.0,D,22580.5,100123.5,31754.1833167,77681.5464581
14,Alabama,1976,1,98257.0,Incumbent,58906.0,Challenger,0.37480832,R,98257.0,58906.0,127794.647587,47846.9566748
15,Alabama,1976,2,90069.0,Incumbent,66288.0,Challenger,0.423952877,R,90069.0,66288.0,117145.202007,53843.0561244
16,Alabama,1976,3,0.0,0,106935.0,Incumbent,1.0,D,27253.0,100045.0,35445.6937491,81262.4992451
17,Alabama,1976,4,34531.0,Challenger,141490.0,Incumbent,0.803824544,D,34531.0,141490.0,44911.5785729,114926.593215
18,Alabama,1976,5,0.0,0,113553.0,Challenger,1.0,D,33352.0,101303.0,43378.1520537,82284.3216656
19,Alabama,1976,6,92113.0,Incumbent,69384.0,Challenger,0.429630272,R,92113.0,69384.0,119803.661553,56357.8114611
20,Alabama,1976,7,0.0,0,110496.0,Incumbent,1.0,D,22580.5,100123.5,29368.5644773,81326.261614
21,Alabama,1978,1,71711.0,Incumbent,40450.0,Challenger,0.360642291,R,71711.0,40450.0,100087.339475,31515.0003087
22,Alabama,1978,2,57924.0,Incumbent,49341.0,Challenger,0.45999161,R,57924.0,49341.0,80844.7665174,38442.0674965
23,Alabama,1978,3,0.0,0,74895.0,Incumbent,1.0,D,27253.0,100045.0,38037.124886,77946.0619503
24,Alabama,1978,4,0.0,0,87380.0,Incumbent,1.0,D,40541.0,124764.5,56583.2414782,97205.2720895
25,Alabama,1978,5,0.0,0,68985.0,Incumbent,1.0,D,33352.0,101303.0,46549.5244266,78926.1823554
26,Alabama,1978,6,65700.0,Incumbent,40771.0,Challenger,0.382930563,R,65700.0,40771.0,91697.7618982,31765.0946252
27,Alabama,1978,7,1841.0,Challenger,77742.0,Challenger,0.976866919,D,1841.0,77742.0,2569.49131894,60569.5711744
28,Alabama,1980,1,111089.0,Incumbent,0.0,0,0.0,R,83821.0,40357.75,103973.997103,33805.3507896
29,Alabama,1980,2,104796.0,Incumbent,63447.0,Challenger,0.377115244,R,104796.0,63447.0,129991.994851,53145.8788349
30,Alabama,1980,3,0.0,0,107654.0,Incumbent,1.0,D,27253.0,100045.0,33805.4108521,83801.9047084
31,Alabama,1980,4,0.0,0,129365.0,Incumbent,1.0,D,40541.0,124764.5,50288.2310702,104507.9988
32,Alabama,1980,5,0.0,0,117626.0,Incumbent,1.0,D,33352.0,101303.0,41370.7871699,84855.6584805
33,Alabama,1980,6,95019.0,Challenger,81536.0,Challenger,0.461816431,R,95019.0,81536.0,117864.320763,68297.9869289
34,Alabama,1980,7,43320.0,Challenger,122505.0,Incumbent,0.738760742,D,43320.0,122505.0,53735.3831914,102615.346457
35,Alabama,1982,1,87901.0,Incumbent,54315.0,Challenger,0.381919053,R,87901.0,54315.0,119497.956074,42956.6514973
36,Alabama,1982,2,83290.0,Incumbent,81904.0,Challenger,0.495804932,R,83290.0,81904.0,113229.482729,64776.2420002
37,Alabama,1982,3,0.0,0,100864.0,Incumbent,1.0,D,32043.0,108525.0,43561.1996049,85830.2605864
38,Alabama,1982,4,0.0,0,118595.0,Incumbent,1.0,D,38588.0,132881.0,52458.8699671,105092.935793
39,Alabama,1982,5,24593.0,Challenger,108807.0,Incumbent,0.815644678,D,24593.0,108807.0,33433.2172981,86053.2887687
40,Alabama,1982,6,76726.0,Incumbent,88029.0,Challenger,0.534302449,D,76726.0,88029.0,104305.982614,69620.3824848
41,Alabama,1982,7,0.0,0,124070.0,Incumbent,1.0,D,63135.6666667,123896.666667,85830.4583796,97987.4055359
42,Alabama,1984,1,102479.0,Challenger,98455.0,Challenger,0.489986762,R,102479.0,98455.0,134149.04573,79650.9266879
43,Alabama,1984,2,118153.0,Incumbent,75506.0,Challenger,0.38989151,R,118153.0,75506.0,154666.928836,61084.9918287
44,Alabama,1984,3,0.0,0,120357.0,Incumbent,1.0,D,32043.0,108525.0,41945.5485742,87797.6417531
45,Alabama,1984,4,0.0,0,120106.0,Incumbent,1.0,D,38588.0,132881.0,50513.2112592,107501.851498
46,Alabama,1984,5,0.0,0,140542.0,Incumbent,1.0,D,44484.5,116850.5,58231.961912,94533.0415819
47,Alabama,1984,6,87550.0,Challenger,130973.0,Incumbent,0.599355674,D,87550.0,130973.0,114606.396956,105958.26338
48,Alabama,1984,7,0.0,0,135834.0,Incumbent,1.0,D,63135.6666667,123896.666667,82647.0733991,100233.449937
49,Alabama,1986,1,96469.0,Incumbent,0.0,0,0.0,R,101851.0,76813.3333333,138026.048208,60862.0787574
50,Alabama,1986,2,115302.0,Incumbent,57568.0,Challenger,0.333013247,R,115302.0,57568.0,156254.522886,45613.2808962
51,Alabama,1986,3,27769.0,Challenger,115127.0,Incumbent,0.805669858,D,27769.0,115127.0,37631.8870966,91219.4307556
52,Alabama,1986,4,38588.0,Challenger,132881.0,Incumbent,0.774956406,D,38588.0,132881.0,52293.5380923,105286.589403
53,Alabama,1986,5,33528.0,Challenger,125406.0,Incumbent,0.789044509,D,33528.0,125406.0,45436.3466662,99363.8671497
54,Alabama,1986,6,51924.0,Challenger,139608.0,Incumbent,0.728901698,D,51924.0,139608.0,70366.1675107,110616.643263
55,Alabama,1986,7,72777.0,Challenger,108126.0,Challenger,0.597701531,D,72777.0,108126.0,98625.6562076,85672.2764415
56,Alabama,1988,1,115173.0,Incumbent,77670.0,Challenger,0.402762869,R,115173.0,77670.0,151520.977244,62642.7838203
57,Alabama,1988,2,120408.0,Incumbent,0.0,0,0.0,R,101098.5,74555.25,133004.641,60130.660595
58,Alabama,1988,3,0.0,0,117514.0,Incumbent,1.0,D,32043.0,108525.0,42155.5978731,87528.1075588
59,Alabama,1988,4,0.0,0,131880.0,Incumbent,1.0,D,38588.0,132881.0,50766.1645516,107171.826404
60,Alabama,1988,5,64491.0,Challenger,120142.0,Incumbent,0.650707078,D,64491.0,120142.0,84844.0115605,96897.5065499
61,Alabama,1988,6,68788.0,Challenger,138920.0,Incumbent,0.668823541,D,68788.0,138920.0,90497.1215708,112042.429874
62,Alabama,1988,7,63372.0,Challenger,136074.0,Incumbent,0.68225986,D,63372.0,136074.0,83371.8611994,109747.060198
63,Alabama,1990,1,82185.0,Incumbent,0.0,0,0.0,R,101851.0,76813.3333333,138023.726849,60862.6772434
64,Alabama,1990,2,87649.0,Incumbent,83243.0,Challenger,0.487108817,R,87649.0,83243.0,118777.838554,65957.1928716
65,Alabama,1990,3,36317.0,Challenger,101923.0,Challenger,0.73729022,D,36317.0,101923.0,49215.1052809,80758.201519
66,Alabama,1990,4,0.0,0,129872.0,Incumbent,1.0,D,38588.0,132881.0,52292.6586056,105287.624737
67,Alabama,1990,5,55326.0,Challenger,113047.0,Challenger,0.671408124,D,55326.0,113047.0,74975.2158706,89572.2497093
68,Alabama,1990,6,0.0,0,134412.0,Incumbent,1.0,D,71247.0,124382.5,96550.6128246,98553.8789129
69,Alabama,1990,7,53258.0,Challenger,127490.0,Incumbent,0.705346671,D,53258.0,127490.0,72172.7586819,101016.091674
70,Alabama,1992,1,128874.0,Incumbent,78742.0,Challenger,0.379267494,R,128874.0,78742.0,154166.987774,67644.1469148
71,Alabama,1992,2,112906.0,Challenger,109335.0,Challenger,0.491965929,R,112906.0,109335.0,135065.086221,93925.3867431
72,Alabama,1992,3,73800.0,Challenger,119175.0,Incumbent,0.617567042,D,73800.0,119175.0,88284.0890927,102378.542691
73,Alabama,1992,4,66934.0,Challenger,157907.0,Incumbent,0.702305185,D,66934.0,157907.0,80070.5585276,135651.676448
74,Alabama,1992,5,77951.0,Challenger,160060.0,Incumbent,0.672489927,D,77951.0,160060.0,93249.7700389,137501.233842
75,Alabama,1992,6,146599.0,Challenger,126062.0,Incumbent,0.462339682,R,146599.0,126062.0,175370.720554,108294.892794
76,Alabama,1992,7,36086.0,Challenger,144320.0,Challenger,0.799973393,D,36086.0,144320.0,43168.2877913,123979.620568
77,Alabama,1994,1,103431.0,Incumbent,50227.0,Challenger,0.326875268,R,103431.0,50227.0,93960.5331551,55856.9297538
78,Alabama,1994,2,124465.0,Incumbent,44694.0,Challenger,0.264212959,R,124465.0,44694.0,113068.594127,49703.7374005
79,Alabama,1994,3,53757.0,Challenger,93924.0,Incumbent,0.635992443,D,53757.0,93924.0,48834.8404329,104451.913716
