,State,year,contestedFrac
0,AL,1972,0.8571428571428571
1,AL,1974,0.42857142857142855
2,AL,1976,0.5714285714285714
3,AL,1978,0.5714285714285714
4,AL,1980,0.42857142857142855
5,AL,1982,0.5714285714285714
6,AL,1984,0.42857142857142855
7,AL,1986,0.8571428571428571
8,AL,1988,0.5714285714285714
9,AL,1990,0.5714285714285714
10,AL,1992,1.0
11,AL,1994,0.8571428571428571
12,AL,1996,1.0
13,AL,1998,0.7142857142857143
14,AL,2000,0.42857142857142855
15,AL,2002,0.5714285714285714
16,AL,2004,0.8571428571428571
17,AL,2006,0.5714285714285714
18,AL,2008,0.5714285714285714
19,AL,2010,0.5714285714285714
20,AL,2012,0.8571428571428571
21,AL,2014,0.5714285714285714
22,AL,2016,0.5714285714285714
23,AK,1972,1.0
24,AK,1974,1.0
25,AK,1976,1.0
26,AK,1978,1.0
27,AK,1980,1.0
28,AK,1982,1.0
29,AK,1984,1.0
30,AK,1986,1.0
31,AK,1988,1.0
32,AK,1990,1.0
33,AK,1992,1.0
34,AK,1994,1.0
35,AK,1996,1.0
36,AK,1998,1.0
37,AK,2000,1.0
38,AK,2002,1.0
39,AK,2004,1.0
40,AK,2006,1.0
41,AK,2008,1.0
42,AK,2010,1.0
43,AK,2012,1.0
44,AK,2014,1.0
45,AK,2016,1.0
46,AZ,1972,1.0
47,AZ,1974,1.0
48,AZ,1976,1.0
49,AZ,1978,0.75
50,AZ,1980,1.0
51,AZ,1982,1.0
52,AZ,1984,0.6
53,AZ,1986,0.8
54,AZ,1988,0.8
55,AZ,1990,0.8
56,AZ,1992,1.0
57,AZ,1994,1.0
58,AZ,1996,1.0
59,AZ,1998,1.0
60,AZ,2000,1.0
61,AZ,2002,1.0
62,AZ,2004,0.75
63,AZ,2006,0.875
64,AZ,2008,1.0
65,AZ,2010,1.0
66,AZ,2012,0.8888888888888888
67,AZ,2014,0.7777777777777778
68,AZ,2016,0.7777777777777778
69,AR,1972,0.25
70,AR,1974,0.75
71,AR,1976,0.5
72,AR,1978,0.5
73,AR,1980,0.25
74,AR,1982,1.0
75,AR,1984,0.25
76,AR,1986,1.0
77,AR,1988,0.75
78,AR,1990,1.0
79,AR,1992,1.0
80,AR,1994,1.0
81,AR,1996,1.0
82,AR,1998,0.5
83,AR,2000,0.75
84,AR,2002,0.5
85,AR,2004,0.75
86,AR,2006,1.0
87,AR,2008,0.0
88,AR,2010,1.0
89,AR,2012,0.75
90,AR,2014,0.75
91,AR,2016,0.25
92,CA,1972,0.9767441860465116
93,CA,1974,0.8837209302325582
94,CA,1976,0.9767441860465116
95,CA,1978,0.9534883720930233
