,State,cycle,meanPopVote,expSA,expGA,expMM,expEG,expTA,expWA,stdSA,stdGA,stdMM,stdEG,stdTA,stdWA,prOp_SA_GA,prOp_SA_MM,prOp_SA_EG,prOp_SA_TA,prOp_SA_WA,prOp_GA_MM,prOp_GA_EG,prOp_GA_TA,prOp_GA_WA,prOp_MM_EG,prOp_MM_TA,prOp_MM_WA,prOp_EG_TA,prOp_EG_WA,prOp_TA_WA,corr_SA_GA,corr_SA_MM,corr_SA_EG,corr_SA_TA,corr_SA_WA,corr_GA_MM,corr_GA_EG,corr_GA_TA,corr_GA_WA,corr_MM_EG,corr_MM_TA,corr_MM_WA,corr_EG_TA,corr_EG_WA,corr_TA_WA,MI_SA_GA,MI_SA_MM,MI_SA_EG,MI_SA_TA,MI_SA_WA,MI_GA_MM,MI_GA_EG,MI_GA_TA,MI_GA_WA,MI_MM_EG,MI_MM_TA,MI_MM_WA,MI_EG_TA,MI_EG_WA,MI_TA_WA,ndist
0,AL,1970,0.6109067181145432,-0.39384999999999998,-0.49199999999999999,-0.12977360338294067,0.131552722361928,0.081801219368965936,-0.18380377575442222,0.32491188693771628,0.094535145260209633,0.037022277098471432,0.056735248779806145,0.023321555547221918,0.10972934892979394,0.0354,0.0354,0.7198,0.7499,0.0216,0.0,0.9614,0.9915,0.0365,0.9614,0.9915,0.0365,0.0303,0.9283,0.9582,0.17096610279453375,0.56525647126685641,0.56178874073701746,-0.30932370834090767,0.46636533335242597,0.41800771556361455,0.044417942777412893,-0.098212905639409653,0.17407439430326943,0.012061570505850685,-0.39756003282772595,0.85530453683490071,-0.18663813771050575,-0.1605747353872897,-0.2528235062072044,0.012092937760084861,0.38291343324977856,0.36154376083578521,0.11467811057195583,0.44970327348382916,0.071056804988975764,0.0041414150643529143,0.011182199595019704,0.031085307477496178,-0.010095371569288566,0.18384585583912874,4.404738661753278,0.023150009410741267,0.083111364891170381,0.1234574857288184,7.0
1,AZ,1970,0.4786053581850821,0.076200000000000004,0.13589999999999999,0.0056317930609959387,0.031440607179346013,0.071418404051668022,0.020287180071285577,0.58174513555359786,0.64843907757300712,0.047449948424526489,0.15918752972080186,0.040334802894391397,0.10052353357218291,0.0052,0.0109,0.0183,0.249,0.0124,0.0,0.0217,0.1387,0.0063,0.2008,0.4835,0.0436,0.4625,0.2112,0.4879,0.80289927893847801,0.83507198159636153,0.84695773174656419,0.10230878294979651,0.7952789987989991,0.77930295698918894,0.70435734427701779,0.094827093243885829,0.73957016352105542,0.72763077011886657,0.1661198308095555,0.89327031033934634,0.066671360947696615,0.66380567776824095,0.23446097590705844,0.50032478779581369,0.93596155852975138,1.0434620461656747,0.23994193259848218,1.0838118279095825,0.7322426687452942,0.62569620115374747,0.16653751131719835,0.80575564386288512,0.60386562454280945,0.83057844070609388,2.1337578797186034,0.13789297747706161,0.69574648163709563,0.59776427670492138,4.0
2,AR,1970,0.539539899687215,-0.0048999999999999998,0.0011999999999999999,-0.0026856647229373466,0.0096935998792897528,0.1206696420736354,-0.0016456766994804284,0.56427637801265274,0.71697277842084051,0.084600412647564613,0.16312659596086587,0.06180061800140417,0.14621080110348353,0.0044,0.0088,0.0216,0.3244,0.0087,0.0,0.0587,0.253,0.0073,0.2083,0.506,0.035,0.4915,0.2107,0.5166,0.76880729342020182,0.8210834281878151,0.8689610103192521,-0.054832991286502833,0.80501019344606084,0.76486644268442228,0.66340360648171004,-0.036075126845479311,0.73966822249119846,0.71027381265628775,-0.10706694202213239,0.91565406376439074,0.013151152183925981,0.70403380910426105,-0.064008214040774544,0.4459042852005915,0.87860861713272065,1.0301072293441502,0.22182550238585574,0.98008641933334784,0.68752299673850681,0.4391871883709994,0.10705719528000066,0.73121205177355064,0.53712610408456241,0.90925849626181232,2.4752613186324202,0.093081215289420149,0.6083998969328589,0.63162189392503099,4.0
3,CA,1970,0.5265514770273891,-3.0645500000000001,-3.3561000000000001,-0.041122473266395905,-0.064423478236270537,0.058631956082883206,-0.085513655239988065,2.1000236444932572,2.2987216452020047,0.027581252946821309,0.054218939575510751,0.02650572673298876,0.072641405363036093,0.0358,0.0358,0.0606,0.913,0.0209,0.0,0.0984,0.9282,0.0379,0.0984,0.9282,0.0379,0.8838,0.0877,0.9415,0.85403670837396162,0.78439462569717833,0.88380088380227861,-0.75010385531255941,0.7182834579446763,0.76355936587794437,0.7422289292206653,-0.70021618751319314,0.71162899420404802,0.61114723313833952,-0.70635076408107167,0.777428066207144,-0.63956430577823586,0.55436330664114042,-0.65388683423566107,0.63511363596691961,0.74467936529644474,1.1007574072725539,0.68403029362366496,0.91797009628824489,0.82424932075984081,0.61091525821267501,0.56800209741210228,0.88629557088657429,0.38572539668285533,0.57495330908053521,1.1506245208382762,0.41373358288062556,0.47760468049943816,0.6621604483316984,43.0
4,CO,1970,0.4793930231322384,-0.0688,-0.088099999999999998,-0.0083307545785686558,-0.0057014812590984306,0.063975531501434604,-0.013219273542921911,0.62000403264821602,0.69906169879766167,0.057619443905145916,0.14795943068030504,0.031807283486335054,0.097005251667229286,0.0492,0.0492,0.049,0.4405,0.0339,0.0,0.1874,0.5636,0.0799,0.1874,0.5636,0.0799,0.511,0.1865,0.5561,0.79385417388094848,0.76680441987719261,0.86693489435905713,-0.068639573295605022,0.77306537359088601,0.74226437958736324,0.6763659588941896,-0.063932146833173484,0.7312575270140238,0.67074637608172094,-0.11073010529554317,0.91395658253380851,-0.097078108699224161,0.68330486824556058,-0.11691639353010574,0.5000911062219614,0.78969306752102353,1.0905309861033703,0.24653952613877805,0.91184225577370059,1.0197455556953403,0.59463915372056031,0.083213916551087008,0.77413580085522082,0.69708740313588657,0.32683773554164813,2.6807104112043336,0.1197773044690086,0.63175697704199008,0.34253714204739105,5.0
5,CT,1970,0.5375093757715264,-0.14430000000000001,-0.36359999999999998,-0.014400590262296698,-0.065896761517614602,0.056771123761375497,-0.018534219779356337,0.72074923374624167,0.82937556413402858,0.036811664764355004,0.13241347622234156,0.027100707620453655,0.071384556866139537,0.0512,0.086,0.1075,0.4222,0.0721,0.0,0.0774,0.4554,0.0426,0.2018,0.6644,0.1313,0.7082,0.2537,0.5707,0.67136430774409328,0.74463247071084904,0.7420640331105085,-0.060481274884575963,0.70772634342238583,0.79523326595006982,0.58566080246645336,-0.12155211696386162,0.68684053537105105,0.61494490063536156,-0.091352255382542172,0.88363478034550724,0.013249408996772932,0.53983730056342083,-0.14617917343048153,0.34449052821702209,0.63433385208501758,0.69017891543083576,0.27478799032795309,0.67584520069622223,0.84478513637271457,0.37739891662197256,0.20496976340138523,0.63478655374249027,0.38887534611320435,0.52144715695644805,1.6602358821434264,0.066777751838239155,0.36482799241679631,0.61658524058321607,6.0
6,FL,1970,0.5637189109207558,-1.7516,-2.2538,-0.064024486154843935,-0.10692795198020399,0.087879323344490112,-0.11453649831576412,0.83714844666413568,0.96678799532409909,0.027046896143539133,0.061357376919230266,0.026594211647618618,0.075059141887135569,0.0135,0.0135,0.0283,0.9683,0.0049,0.0,0.0437,0.9904,0.0135,0.0437,0.9904,0.0135,0.9641,0.038,0.9953,0.49303299531139227,0.60548196178789659,0.70921250477426356,-0.69205063152424129,0.55333327360334716,0.40964874640510246,0.413318979921935,-0.58624125893140833,0.34343010815160152,0.15577856519721692,-0.63169756472649075,0.60082365136842397,-0.48926493868863141,0.24396744174667626,-0.57494396243724399,0.15160091955231259,0.3568236862801023,0.51129676097075294,0.47108026729032365,0.4362903916243358,0.20402045163377713,0.14566336845304834,0.29134506293531631,0.14185173031124315,0.020429392240085407,0.39493625364115836,0.53841148995969268,0.20108735492696281,0.10475244586818599,0.43370364225904606,15.0
7,GA,1970,0.6934917201537197,-0.39129999999999998,-0.76380000000000003,-0.024476565167428563,-0.012125346525953611,0.069303909586462403,-0.057282885333378428,0.46524827307101263,1.0729047825726412,0.030677221164708567,0.07779680965251741,0.031321519580297712,0.061678120798824128,0.1076,0.1758,0.1469,0.6373,0.0319,0.0,0.3084,0.6069,0.1658,0.4414,0.7896,0.2702,0.5696,0.328,0.8544,0.11645573878209674,0.14188866860989183,0.71346818589848227,-0.44943073517674564,0.6448217894947369,0.76413134951894046,0.091613529672754782,-0.50809916837174218,0.12068641597623087,0.086060385228979075,-0.58120517271977445,0.11015938382995112,-0.31545378447542077,0.50111291220299015,-0.52781845734547361,0.010102835031686909,0.022811455908903211,0.50581275868366293,0.21637986198586656,0.50116357707949577,0.82570204938734015,0.0066387571234742815,0.26582395891319544,0.031696296371976906,0.0030368383178712463,0.40428973530140022,0.026496180305824783,0.083664470160491722,0.26878338770783217,0.35287761426681929,10.0
8,IL,1970,0.5018716599186056,1.21475,1.3304,0.046141524210742281,0.052538487694607637,0.091300545668136904,0.10249200536512167,0.9099122108880352,0.99776519960327037,0.030146382154713616,0.057092725069127437,0.019750616600318432,0.10308957391947557,0.0126,0.0219,0.1006,0.0464,0.0164,0.0,0.0984,0.0301,0.0075,0.1616,0.0725,0.0298,0.1769,0.1576,0.0663,0.80431404638157233,0.71569594572879258,0.66432124141253091,0.31815041449302284,0.61907704767342453,0.67520138246601524,0.54254522667492333,0.31556597864250219,0.59821156678239906,0.49400838408957615,0.30774260821075061,0.73140099130999014,0.2183511393161307,0.43852778345940924,0.28322024255068728,0.57615906703537534,0.60896775083292842,0.4316831782306863,0.091033350324327827,0.70895865056837204,0.56046033174845766,0.28434583393584173,0.066050083116820119,0.64942031438253833,0.25875613070029796,0.078921072447072513,1.3005074087629889,0.040558039273616418,0.28877761551846587,0.081335597847726912,24.0
9,IN,1970,0.5150773499681556,-0.084250000000000005,-0.1163,-0.0034615552299606081,-0.027565130695976967,0.0416654147730929,-0.005542526501670547,0.90937320911897679,1.1047155061982987,0.026759165244064624,0.10918255581055319,0.017035508802863222,0.046376684857847558,0.115,0.115,0.1283,0.4357,0.0716,0.0,0.2617,0.5493,0.1503,0.2617,0.5493,0.1503,0.6142,0.2624,0.5444,0.74427879140956077,0.72836971806132456,0.75868585194142202,-0.11106024958732756,0.76741313621289597,0.77423466595138124,0.56908490411214319,-0.083608792944055377,0.7380216395093947,0.5478923399320248,-0.10461388897540037,0.84076095361805248,-0.058537535943093036,0.58020802889998802,-0.13679777488840922,0.43768402082135971,0.61295012073355803,0.67908553991336529,0.19014482284096657,0.8103741070225049,1.1062994017230328,0.37709575205766477,0.10716696921694191,0.69726761363583223,0.34162628215206414,0.16393091309619975,1.1161905044477904,0.068047673686384882,0.34423306609253534,0.29840270410157482,11.0
