State	District	Population	Winner	PVI	Vote gap	Wasted votes	FV Safe D	FV Lean D	FV Tossup	FV Lean R	FV Safe R	Pop per seats	Compactness	Area	Paired edge length	Unpaired edge length	PRES08_DEM vote %	PRES08_REP vote %	PRES08_DEM votes	PRES08_REP votes	VAP_WHITE %	VAP_BLACK %	VAP_HISPAN %	VAP_ASIAN %	VAP_HAWAII %	VAP_INDIAN %	VAP_MULTI %	VAP_OTHER %	VAP_WHITE pop	VAP_BLACK pop	VAP_HISPAN pop	VAP_ASIAN pop	VAP_HAWAII pop	VAP_INDIAN pop	VAP_MULTI pop	VAP_OTHER pop
Alabama	1	700,535	0,1,	R+15	88038	151048	0.0	0.0	0.0	0.0	1.0	700,535	0.17806498060608006	7.338741387470844E11	7196585.103016395	0.0	0.35428804088766486	0.6457119591123351	107,029	195,067	0.703381911	0.226419796	0.042316834	0.016665062	0.000302074	0.002577071	0.007636816	0.000700435	372,561	119,928	22,414	8,827	160	1,365	4,045	371
Alabama	2	659,333	0,1,	R+14	81248	140531	0.0	0.0	0.0	0.0	1.0	659,333	0.2836080920618481	1.3153913334419246E12	6283244.490570434	1801498.4937925548	0.35546249581942774	0.6445375041805722	99,907	181,155	0.724381415	0.234207490	0.023619514	0.006165497	0.000323664	0.003165154	0.007732189	0.000405076	364,805	117,949	11,895	3,105	163	1,594	3,894	204
Alabama	3	680,988	0,1,	R+11	66567	148923	0.0	0.0	0.0	0.0	1.0	680,988	0.4248204409777499	1.373229184817433E12	3228913.2356316694	4192699.2218790827	0.388252278869882	0.611747721130118	115,639	182,206	0.684154392	0.256891802	0.025082468	0.013060912	0.000378831	0.010729647	0.009000626	0.000701322	352,163	132,233	12,911	6,723	195	5,523	4,633	361
Alabama	4	689,430	0,1,	R+11	59281	139583	0.0	0.0	0.0	0.0	1.0	689,430	0.37178657968363127	2.0951269481367402E12	5559189.724157167	3807982.8749574334	0.3938244407429298	0.6061755592570702	109,942	169,223	0.645714665	0.294369363	0.029648808	0.015206608	0.000606975	0.004389184	0.009571229	0.000493167	340,424	155,193	15,631	8,017	320	2,314	5,046	260
Alabama	5	691,007	0,1,	R+22	126632	146407	0.0	0.0	0.0	0.0	1.0	691,007	0.42726078075430823	1.7527811365598838E12	5252669.112679332	2569726.4230443863	0.28376716960254633	0.7162328303974537	83,091	209,723	0.845950828	0.099413066	0.033282124	0.004314315	0.000264486	0.006799735	0.009724090	0.000251356	450,984	52,998	17,743	2,300	141	3,625	5,184	134
Alabama	6	683,008	0,1,	R+16	84607	132358	0.0	0.0	0.0	0.0	1.0	683,008	0.45893820968037097	1.0218450703925238E12	3992947.530129619	1728829.6632706358	0.3401922822658331	0.6598077177341669	90,054	174,661	0.784651770	0.127036396	0.051236643	0.014346646	0.000626954	0.007702858	0.013783352	0.000615380	406,747	65,853	26,560	7,437	325	3,993	7,145	319
Alabama	7	675,435	1,0,	D+11	70630	158053	1.0	0.0	0.0	0.0	0.0	675,435	0.2203810777148856	2.722403856184788E12	1.0974379002095502E7	1979910.4730997072	0.6117188538022056	0.3882811461977944	193,368	122,738	0.466951103	0.495856401	0.021480631	0.007338223	0.000211310	0.002182257	0.005615085	0.000364990	243,077	258,124	11,182	3,820	110	1,136	2,923	190
Alaska	1	667,047	0,1,	R+1	2872	138486	0.0	0.0	1.0	0.0	0.0	667,047	0.2264219287995333	1.5083765280721478E14	0.0	1.2199423518190756E8	0.4948153603974409	0.5051846396025591	137,050	139,922	0.682767432	0.030848059	0.046737802	0.053328565	0.008598975	0.132700778	0.043645155	0.001373235	356,987	16,129	24,437	27,883	4,496	69,383	22,820	718
Arizona	1	711,619	0,1,	R+2	10424	130082	0.0	0.0	1.0	0.0	0.0	711,619	0.29621755808484007	7.403313614989987E12	1.3651186446388267E7	5427744.5832192805	0.47996648268015557	0.5200335173198444	124,870	135,294	0.715245244	0.011076354	0.084152518	0.017635924	0.000845983	0.158536942	0.011556902	0.000950133	391,448	6,062	46,056	9,652	463	86,766	6,325	520
Arizona	2	714,847	0,1,	R+6	25906	112713	0.0	0.0	0.0	1.0	0.0	714,847	0.42110029397007864	3.4036247180714395E12	6786415.768907369	4389046.309601322	0.44253990222955647	0.5574600977704435	99,760	125,666	0.642168229	0.034296319	0.281866452	0.019515483	0.001290079	0.009254592	0.010682827	0.000926019	343,962	18,370	150,975	10,453	691	4,957	5,722	496
Arizona	3	715,498	0,1,	R+5	27041	126264	0.0	0.0	0.0	1.0	0.0	715,498	0.46755443404908603	3.957527062122117E10	1031337.4512052184	0.0	0.44645919050240174	0.5535408094975983	112,743	139,784	0.666642371	0.041197758	0.229478564	0.028467981	0.001222685	0.018438680	0.013227234	0.001324728	365,848	22,609	125,936	15,623	671	10,119	7,259	727
Arizona	4	718,184	0,1,	R+4	18510	122301	0.0	0.0	1.0	0.0	0.0	718,184	0.3159623229199499	1.7876463698909895E12	7608076.47420756	1098499.7446487276	0.46216302401452153	0.5378369759854784	113,046	131,556	0.598110710	0.055107795	0.246324996	0.041700552	0.003398803	0.040950591	0.013010204	0.001396348	311,831	28,731	128,424	21,741	1,772	21,350	6,783	728
Arizona	5	713,120	0,1,	R+3	14469	125238	0.0	0.0	1.0	0.0	0.0	713,120	0.34279675357843736	3.109414919890388E12	9462091.892339459	1619113.0172908276	0.47111687793192936	0.5288831220680706	118,003	132,472	0.695334267	0.025000367	0.198844473	0.025973693	0.001268440	0.039726735	0.012752222	0.001099804	379,341	13,639	108,480	14,170	692	21,673	6,957	600
Arizona	6	711,295	0,1,	R+5	26885	125579	0.0	0.0	0.0	1.0	0.0	711,295	0.29181126098221744	5.893380631976149E10	1593074.7497903388	0.0	0.4464777011988517	0.5535222988011483	112,136	139,021	0.307383483	0.075987314	0.556440183	0.030372045	0.001542330	0.014819507	0.012027211	0.001427927	145,089	35,867	262,647	14,336	728	6,995	5,677	674
Arizona	7	708,684	0,1,	R+10	53140	131812	0.0	0.0	0.0	0.0	1.0	708,684	0.28531370167923464	6.235374157650238E12	1.2053800837909311E7	6024263.135668339	0.3992125147937972	0.6007874852062027	105,242	158,382	0.812980205	0.015498534	0.117364370	0.024728739	0.001376466	0.014224707	0.012947214	0.000879765	443,562	8,456	64,034	13,492	751	7,761	7,064	480
Arizona	8	688,860	0,1,	R+5	26034	121575	0.0	0.0	0.0	1.0	0.0	688,860	0.34987979189984914	3.415742408319763E10	1107613.035000661	0.0	0.4464651449722394	0.5535348550277607	108,558	134,592	0.664084158	0.038049433	0.219135646	0.042515860	0.003004262	0.017060541	0.014841950	0.001308150	340,634	19,517	112,403	21,808	1,541	8,751	7,613	671
Arizona	9	709,910	1,0,	D+1	6999	135732	0.0	0.0	1.0	0.0	0.0	709,910	0.585779655233904	1.8588114876432039E12	4043516.937529414	3028297.2234408334	0.5128912595823372	0.48710874041766283	139,231	132,232	0.554820823	0.035588109	0.360129629	0.020684488	0.001669071	0.012803702	0.013060338	0.001243842	296,180	18,998	192,248	11,042	891	6,835	6,972	664
Arkansas	1	737,043	0,1,	R+15	76134	123715	0.0	0.0	0.0	0.0	1.0	737,043	0.21472657817889854	2.3785606918413276E12	8585323.131512368	4283958.80211709	0.3461504263832195	0.6538495736167805	85,648	161,782	0.821933641	0.032118409	0.089712432	0.021862064	0.004805893	0.013400626	0.015615499	0.000551436	450,141	17,590	49,132	11,973	2,632	7,339	8,552	302
Arkansas	2	714,007	0,1,	R+7	38858	138038	0.0	0.0	0.0	1.0	0.0	714,007	0.3362437842005128	3.3397121479276606E12	6854614.938205419	5756561.118073926	0.42962445123806486	0.5703755487619351	118,609	157,467	0.641720265	0.301682748	0.037906553	0.005867391	0.000232408	0.003653977	0.008525332	0.000411326	347,908	163,557	20,551	3,181	126	1,981	4,622	223
Arkansas	3	733,720	0,1,	R+9	50317	141977	0.0	0.0	0.0	0.0	1.0	733,720	0.21767420118631559	2.105881825029174E12	9840117.675861282	1581192.0841762465	0.4113990695643293	0.5886009304356707	116,818	167,135	0.828102328	0.089457729	0.049409751	0.014609610	0.000457104	0.005793527	0.011579968	0.000589983	467,400	50,492	27,888	8,246	258	3,270	6,536	333
Arkansas	4	731,148	0,1,	R+10	50418	125033	0.0	0.0	0.0	0.0	1.0	731,148	0.34239910237349813	3.437002498376722E12	5236705.834260697	7992741.165272074	0.399190613677989	0.600809386322011	99,824	150,242	0.805979535	0.149484742	0.024577888	0.006161284	0.000281711	0.004154777	0.009043820	0.000316243	443,458	82,248	13,523	3,390	155	2,286	4,976	174
California	1	691,453	0,1,	R+2	11953	141269	0.0	0.0	1.0	0.0	0.0	691,453	0.24939076644228167	2.0016601635973926E12	8920501.494953707	1496555.4440703464	0.4788470182666341	0.5211529817333659	135,292	147,245	0.728962735	0.023687395	0.167001138	0.044244663	0.003335907	0.008837228	0.021491775	0.002439158	386,125	12,547	88,459	23,436	1,767	4,681	11,384	1,292
California	2	725,706	1,0,	D+21	128453	151987	1.0	0.0	0.0	0.0	0.0	725,706	0.27145726297228706	1.2952886859464401E11	2448710.7346361433	0.0	0.7112901474802038	0.28870985251979614	216,213	87,760	0.545054102	0.065298214	0.212121382	0.140937512	0.004661350	0.003261073	0.026524767	0.002141600	291,157	34,881	113,311	75,286	2,490	1,742	14,169	1,144
California	3	687,403	1,0,	D+9	38141	104377	1.0	0.0	0.0	0.0	0.0	687,403	0.22572097700216515	4.382175853938937E10	1561938.2920661585	0.0	0.5913543757454983	0.40864562425450174	123,447	85,306	0.332459080	0.063575515	0.490901994	0.091730842	0.001985490	0.002728306	0.014635273	0.001983499	166,942	31,924	246,503	46,062	997	1,370	7,349	996
California	4	707,030	1,0,	D+5	28669	137717	0.0	1.0	0.0	0.0	0.0	707,030	0.2217235795150772	1.4966601002084662E11	2893925.1890643532	24718.556940525345	0.552043509673859	0.44795649032614104	152,051	123,382	0.653480963	0.043410569	0.171963322	0.093710765	0.003918175	0.005341957	0.026317785	0.001856464	353,411	23,477	93,000	50,680	2,119	2,889	14,233	1,004
California	5	693,871	1,0,	D+4	20676	146125	0.0	0.0	1.0	0.0	0.0	693,871	0.3724225385627848	5.698380569309858E12	9048057.389554866	6424412.3348175995	0.5353738237810094	0.4646261762189906	156,463	135,787	0.777739101	0.010583500	0.136296812	0.018310047	0.001505316	0.028530641	0.025203394	0.001831190	420,046	5,716	73,612	9,889	813	15,409	13,612	989
California	6	621,128	1,0,	D+20	81023	103516	1.0	0.0	0.0	0.0	0.0	621,128	0.18717063430644337	3.4409521078410596E11	4806460.636891682	0.0	0.6956784249701735	0.30432157502982643	144,027	63,004	0.486166624	0.041965582	0.310720386	0.135754548	0.001251174	0.002480998	0.019252285	0.002408404	227,701	19,655	145,529	63,582	586	1,162	9,017	1,128
California	7	703,730	1,0,	D+5	28544	137203	0.0	1.0	0.0	0.0	0.0	703,730	0.49308302904227685	3.45024548760862E10	774465.981143731	217662.59329931164	0.5520105245512125	0.4479894754487876	151,475	122,931	0.201951128	0.086775385	0.531256862	0.149432228	0.006548198	0.002819254	0.019646554	0.001570391	103,008	44,261	270,975	76,220	3,340	1,438	10,021	801
California	8	725,267	1,0,	D+21	98938	120047	1.0	0.0	0.0	0.0	0.0	725,267	0.342305718792418	3.3551450030885548E10	1109822.4399798263	0.0	0.7060401342807401	0.29395986571925997	169,516	70,578	0.425494178	0.045122997	0.300455222	0.203832618	0.000698591	0.001610785	0.020798389	0.001987219	243,021	25,772	171,605	116,419	399	920	11,879	1,135
California	9	691,924	1,0,	D+29	165004	139849	1.0	0.0	0.0	0.0	0.0	691,924	0.1270862683793801	5.259721696675394E10	2280536.359630367	0.0	0.7949681442126866	0.20503185578731345	222,351	57,347	0.368397546	0.182006371	0.206869648	0.204553078	0.005448571	0.003167214	0.027001933	0.002555639	198,784	98,209	111,625	110,375	2,940	1,709	14,570	1,379
California	10	697,571	1,0,	D+21	106568	127612	1.0	0.0	0.0	0.0	0.0	697,571	0.22867264296682097	1.9865872981597137E10	1044844.4821387774	0.0	0.7087734695796634	0.29122653042033664	180,896	74,328	0.383079979	0.030612700	0.257274259	0.298280883	0.003957465	0.002501311	0.022368602	0.001924801	205,989	16,461	138,341	160,391	2,128	1,345	12,028	1,035
California	11	710,386	0,1,	R+3	20416	153200	0.0	0.0	1.0	0.0	0.0	710,386	0.3848584397721458	4.881800781959435E12	9239016.322241586	4515151.277753937	0.4666840731070496	0.5333159268929504	142,992	163,408	0.765649447	0.016787482	0.133563878	0.042779184	0.001944426	0.013476506	0.023887361	0.001911716	421,330	9,238	73,499	23,541	1,070	7,416	13,145	1,052
California	12	725,218	1,0,	D+21	98931	120041	1.0	0.0	0.0	0.0	0.0	725,218	0.23627906549613667	1.5697166276256489E10	913698.5571173123	0.0	0.7060367126094943	0.2939632873905057	169,506	70,575	0.067826197	0.006937808	0.630354957	0.286193875	0.000448983	0.001591001	0.005730584	0.000916595	36,407	3,724	338,355	153,620	241	854	3,076	492
California	13	707,425	0,1,	R+4	14005	93153	0.0	0.0	1.0	0.0	0.0	707,425	0.28498350394185606	2.6483577418823696E12	9401717.769593064	1872987.8336562514	0.46241378384906473	0.5375862161509353	86,150	100,155	0.501067902	0.014486667	0.403928839	0.052011215	0.001089900	0.010637021	0.015270595	0.001507861	250,557	7,244	201,983	26,008	545	5,319	7,636	754
