State	District	Population	Winner	PVI	Vote gap	Wasted votes	FV Safe D	FV Lean D	FV Tossup	FV Lean R	FV Safe R	Pop per seats	Compactness	Area	Paired edge length	Unpaired edge length	PRES08_DEM vote %	PRES08_REP vote %	PRES08_DEM votes	PRES08_REP votes	VAP_WHITE %	VAP_BLACK %	VAP_HISPAN %	VAP_ASIAN %	VAP_HAWAII %	VAP_INDIAN %	VAP_MULTI %	VAP_OTHER %	VAP_WHITE pop	VAP_BLACK pop	VAP_HISPAN pop	VAP_ASIAN pop	VAP_HAWAII pop	VAP_INDIAN pop	VAP_MULTI pop	VAP_OTHER pop
Alabama	1	1,593,769	1,2,	R+8	119152	118408	1.0	0.0	0.0	0.0	2.0	531,256	0.43492118531072255	3.9566049612952266E12	6581862.575744193	5480250.395785623	0.41614351669387983	0.5838564833061202	295,645	414,795	0.654644644	0.286608265	0.031218293	0.013920020	0.000303812	0.005192041	0.007480535	0.000632390	792,956	347,162	37,814	16,861	368	6,289	9,061	766
Alabama	2	1,592,828	1,2,	R+12	158380	110962	1.0	0.0	0.0	0.0	2.0	530,943	0.3955527323119817	4.1568212241036587E12	7101842.208587805	5853113.069089993	0.3810555913537578	0.6189444086462421	253,695	412,074	0.677361778	0.272810641	0.025472388	0.010711790	0.000438840	0.004286685	0.008465095	0.000452784	825,788	332,590	31,054	13,059	535	5,226	10,320	552
Alabama	3	1,593,139	1,2,	R+12	158214	109599	1.0	0.0	0.0	0.0	2.0	531,046	0.5906042036336719	2.901225482881492E12	4296368.150390356	4747283.685168187	0.3797023695471674	0.6202976304528326	249,690	407,904	0.749474063	0.182866619	0.040651636	0.008471693	0.000419928	0.006602974	0.011084942	0.000428146	912,017	222,526	49,468	10,309	511	8,035	13,489	521
Alaska	1	667,047	0,1,	R+1	2872	138486	0.0	0.0	1.0	0.0	0.0	667,047	0.2264219287995333	1.5083765280721478E14	0.0	1.2199423518190756E8	0.4948153603974409	0.5051846396025591	137,050	139,922	0.682767432	0.030848059	0.046737802	0.053328565	0.008598975	0.132700778	0.043645155	0.001373235	356,987	16,129	24,437	27,883	4,496	69,383	22,820	718
Arizona	1	2,455,782	2,3,	R+6	109018	86435	2.0	0.0	0.0	1.0	2.0	491,156	0.5257780680538517	1.1023691921356676E13	8106961.865939301	1.0833144906955346E7	0.43693634803856346	0.5630636519614365	377,662	486,679	0.660660208	0.031160645	0.245281155	0.024193013	0.001333387	0.023985597	0.012308861	0.001077135	1,204,005	56,788	447,007	44,090	2,430	43,712	22,432	1,963
Arizona	2	2,458,655	2,3,	R+2	36584	89673	2.0	0.0	1.0	0.0	2.0	491,731	0.29745767693211755	2.9027973642234116E12	9193506.87987694	2507194.3520977665	0.4796017936459612	0.5203982063540388	430,069	466,652	0.583067633	0.047006901	0.295351341	0.036715211	0.001805818	0.021102056	0.013584268	0.001366771	1,069,065	86,188	541,532	67,318	3,311	38,691	24,907	2,506
Arizona	3	1,477,580	1,2,	R+5	49812	83589	1.0	0.0	0.0	1.0	1.0	492,527	0.39473134269232424	1.0004362483580352E13	1.1661357990158897E7	8246624.7548162155	0.4503415575663076	0.5496584424336923	225,858	275,668	0.672796728	0.026442156	0.183065386	0.018886996	0.002221203	0.083829393	0.011772644	0.000985495	744,825	29,273	202,664	20,909	2,459	92,804	13,033	1,091
Arkansas	1	2,915,918	2,3,	R+10	207284	105753	1.0	1.0	0.0	0.0	3.0	583,184	0.33550710818491253	5.793552034463347E12	7651719.064127145	9438783.26255198	0.39800382969669745	0.6019961703033025	420,899	636,626	0.775210337	0.142388349	0.050395497	0.012152730	0.001438459	0.006748190	0.011198294	0.000468145	1,708,907	313,887	111,094	26,790	3,171	14,876	24,686	1,032
California	1	2,544,236	3,2,	D+14	116086	93316	3.0	0.0	1.0	0.0	1.0	508,847	0.32156379547021463	1.2764596036547227E12	4712287.719652635	3133972.7511554905	0.6377994440312663	0.36220055596873374	595,160	337,986	0.577768296	0.031573130	0.275556999	0.087903814	0.001803008	0.002973939	0.020448263	0.001972552	1,127,973	61,640	537,968	171,614	3,520	5,806	39,921	3,851
California	2	2,652,932	4,1,	D+30	216116	112119	4.0	0.0	1.0	0.0	0.0	530,586	0.22740326701405497	2.374649614634322E11	3566910.530540386	74096.56854245778	0.7963781048733434	0.20362189512665663	892,884	228,297	0.412915312	0.101835649	0.186541318	0.258501513	0.006527823	0.002601011	0.028304255	0.002773119	873,294	215,377	394,525	546,717	13,806	5,501	59,862	5,865
