State	District	Population	Winner	PVI	Vote gap	Wasted votes	FV Safe D	FV Lean D	FV Tossup	FV Lean R	FV Safe R	Pop per seats	Compactness	Area	Paired edge length	Unpaired edge length	PRES12_DEM vote %	PRES12_REP vote %	PRES12_DEM votes	PRES12_REP votes	VAP_WHITE %	VAP_BLACK %	VAP_HISPAN %	VAP_ASIAN %	VAP_HAWAII %	VAP_INDIAN %	VAP_MULTI %	VAP_OTHER %	VAP_WHITE pop	VAP_BLACK pop	VAP_HISPAN pop	VAP_ASIAN pop	VAP_HAWAII pop	VAP_INDIAN pop	VAP_MULTI pop	VAP_OTHER pop
Alabama	1	531,538	0,1,	R+16	77591	117665	0.0	0.0	0.0	0.0	1.0	531,538	0.2099223176895637	5.315531392013391E11	5640907.3851381065	0.0	0.3351435649664937	0.6648564350335063	78,869	156,460	0.719370293	0.201931262	0.047105728	0.020543380	0.000272114	0.002541398	0.007471909	0.000763917	288,156	80,887	18,869	8,229	109	1,018	2,993	306
Alabama	2	531,316	0,1,	R+16	69506	110790	0.0	0.0	0.0	0.0	1.0	531,316	0.2934372316614574	6.663586692965264E11	4976090.596697215	487837.6463399358	0.34315822727683004	0.65684177272317	76,037	145,543	0.744717109	0.212076587	0.024054670	0.007405036	0.000371852	0.003102875	0.007863079	0.000408791	302,411	86,119	9,768	3,007	151	1,260	3,193	166
Alabama	3	531,122	0,1,	R+11	50240	115719	0.0	0.0	0.0	0.0	1.0	531,122	0.655857844826794	5.126866188589835E11	1232093.6275920714	2536135.654137024	0.39146121207407597	0.608538787925924	90,599	140,839	0.679238004	0.261760585	0.028164177	0.015958704	0.000425599	0.004706474	0.008935083	0.000811375	272,909	105,172	11,316	6,412	171	1,891	3,590	326
Alabama	4	530,552	0,1,	R+7	30713	112454	0.0	0.0	0.0	1.0	0.0	530,552	0.48771072183296016	2.0416067085114836E12	5221154.215370563	2708952.802533633	0.4317206667644849	0.5682793332355152	97,097	127,810	0.606339286	0.338514385	0.028244048	0.012304067	0.000468750	0.004727183	0.008958333	0.000443948	244,476	136,489	11,388	4,961	189	1,906	3,612	179
Alabama	5	530,856	0,1,	R+9	39323	113897	0.0	0.0	0.0	0.0	1.0	530,856	0.4483685165894201	1.4561520937077378E12	4620566.800370071	2357084.368557747	0.41368698774764806	0.5863130122523519	94,235	133,558	0.737286668	0.221728306	0.021921429	0.003072414	0.000187759	0.006544729	0.009019729	0.000238966	302,362	90,931	8,990	1,260	77	2,684	3,699	98
Alabama	6	530,443	0,1,	R+14	64671	116934	0.0	0.0	0.0	0.0	1.0	530,443	0.5277064562765338	4.032762758345068E11	2631787.0432335804	622841.0903995866	0.3617355163404841	0.6382644836595158	84,598	149,269	0.724676495	0.190031484	0.045357564	0.018246983	0.000665822	0.006752275	0.013546627	0.000722751	292,778	76,775	18,325	7,372	269	2,728	5,473	292
Alabama	7	530,640	0,1,	R+6	29758	115813	0.0	0.0	0.0	1.0	0.0	530,640	0.3625518960049441	3.140628997155877E12	7648562.632777161	3713190.223827502	0.43576282455337484	0.5642371754466252	100,934	130,692	0.628647826	0.329863707	0.017815434	0.006112490	0.000230383	0.010528973	0.006453162	0.000348025	256,499	134,590	7,269	2,494	94	4,296	2,633	142
Alabama	8	531,029	0,1,	R+5	22428	102030	0.0	0.0	0.0	1.0	0.0	531,029	0.47068874597425403	1.2304960589406118E12	4316194.529015274	1887247.138037518	0.4450455748309321	0.5549544251690679	90,816	113,244	0.638727363	0.309649685	0.027145393	0.012260787	0.000501289	0.002868349	0.008362962	0.000484172	261,205	126,630	11,101	5,014	205	1,173	3,420	198
Alabama	9	532,240	0,1,	R+15	58678	96613	0.0	0.0	0.0	0.0	1.0	532,240	0.2804534382325263	1.0318931067733151E12	5474215.010143627	1767358.226210854	0.34816225559707287	0.6518377444029272	67,274	125,952	0.766155344	0.159885014	0.052672948	0.003658187	0.000368290	0.006411714	0.010522231	0.000326271	309,965	64,685	21,310	1,480	149	2,594	4,257	132
Alaska	1	667,047	0,1,	R+12	72662	146980	0.0	0.0	0.0	0.0	1.0	667,047	0.2264219287995333	1.5083765280721478E14	0.0	1.2199423518190756E8	0.3764083548782147	0.6235916451217853	110,649	183,311	0.682767432	0.030848059	0.046737802	0.053328565	0.008598975	0.132700778	0.043645155	0.001373235	356,987	16,129	24,437	27,883	4,496	69,383	22,820	718
