State	District	Population	Winner	PVI	Vote gap	Wasted votes	FV Safe D	FV Lean D	FV Tossup	FV Lean R	FV Safe R	Pop per seats	Compactness	Area	Paired edge length	Unpaired edge length	PRES04_DEM vote %	PRES04_REP vote %	PRES04_DEM votes	PRES04_REP votes	VAP_WHITE %	VAP_BLACK %	VAP_HISPAN %	VAP_ASIAN %	VAP_HAWAII %	VAP_INDIAN %	VAP_MULTI %	VAP_OTHER %	VAP_WHITE pop	VAP_BLACK pop	VAP_HISPAN pop	VAP_ASIAN pop	VAP_HAWAII pop	VAP_INDIAN pop	VAP_MULTI pop	VAP_OTHER pop
Alabama	1	2,731,271	1,3,	R+13	532	126807	1.0	0.0	1.0	0.0	2.0	682,818	0.4288466241244236	4.60820938818796E12	6331731.753341739	7051520.511836707	0.37474012525248146	0.6252598747475185	380,148	634,283	0.691658789	0.244496713	0.036752463	0.011677609	0.000472432	0.004642391	0.009791713	0.000507889	1,443,541	510,282	76,705	24,372	986	9,689	20,436	1,060
Alabama	2	2,048,465	1,2,	R+13	212846	135379	1.0	0.0	0.0	0.0	2.0	682,822	0.4688641953955113	6.406442280092417E12	6331731.753341743	9029126.638207098	0.36898115260981385	0.6310188473901862	299,709	512,552	0.696843878	0.251246310	0.026683015	0.010163401	0.000274323	0.006320319	0.007969460	0.000499293	1,087,220	391,996	41,631	15,857	428	9,861	12,434	779
Alaska	1	667,047	0,1,	R+12	72662	146980	0.0	0.0	0.0	0.0	1.0	667,047	0.2264219287995333	1.5083765280721478E14	0.0	1.2199423518190756E8	0.3764083548782147	0.6235916451217853	110,649	183,311	0.682767432	0.030848059	0.046737802	0.053328565	0.008598975	0.132700778	0.043645155	0.001373235	356,987	16,129	24,437	27,883	4,496	69,383	22,820	718
Arizona	1	2,130,789	1,2,	R+8	102148	105306	1.0	0.0	0.0	0.0	2.0	710,263	0.34861214393569495	6.108000927260013E12	8082308.909085352	9007946.024934188	0.4191660362188324	0.5808339637811676	264,840	366,986	0.525649673	0.055024472	0.359713468	0.026604326	0.001587301	0.017507698	0.012679578	0.001233485	809,685	84,757	554,085	40,980	2,445	26,968	19,531	1,900
Arizona	2	2,130,489	1,2,	R+6	83888	115987	1.0	0.0	0.0	1.0	1.0	710,163	0.6930620462411883	1.1900141678570889E13	9844749.18363109	6459123.2530172095	0.43972887766157703	0.560271122338423	306,017	389,905	0.735751299	0.020772974	0.136463787	0.023914545	0.001497790	0.068269155	0.012288350	0.001042100	1,204,483	34,007	223,402	39,150	2,452	111,762	20,117	1,706
Arizona	3	2,130,739	1,2,	R+2	24716	111305	1.0	0.0	1.0	0.0	1.0	710,246	0.5553351932888341	5.922709163329532E12	6986852.46565238	6119894.735917936	0.4814959008722345	0.5185040991277655	321,555	346,270	0.633037394	0.033732285	0.260925230	0.032913653	0.002083159	0.023005563	0.013070354	0.001232362	1,003,727	53,485	413,716	52,187	3,303	36,477	20,724	1,954
Arkansas	1	2,915,918	2,2,	R+5	157014	130011	1.0	1.0	0.0	0.0	2.0	728,980	0.6539099518575601	1.1261157163174865E13	0.0	1.9614453169639323E7	0.4504812605941268	0.5495187394058731	468,537	571,544	0.775210337	0.142388349	0.050395497	0.012152730	0.001438459	0.006748190	0.011198294	0.000468145	1,708,907	313,887	111,094	26,790	3,171	14,876	24,686	1,032
California	1	3,514,921	2,3,	R+9	181460	101998	1.0	1.0	0.0	0.0	3.0	702,984	0.20584175859457757	5.329694838464404E12	1.3561467406145072E7	5968764.359359252	0.4110466860530098	0.5889533139469901	419,252	600,710	0.462758094	0.033918910	0.379228047	0.098807192	0.002273035	0.004899688	0.016526672	0.001588362	1,189,553	87,191	974,833	253,991	5,843	12,595	42,483	4,083
California	2	3,502,280	3,2,	D+1	17088	134333	2.0	0.0	1.0	0.0	2.0	700,456	0.39715899577175956	1.1230742446140889E13	1.0646004807897463E7	1.0939563612571532E7	0.5063599839502249	0.49364001604977514	680,204	663,117	0.611567525	0.054321828	0.193412880	0.095159595	0.004498202	0.011446579	0.027418094	0.002175298	1,624,157	144,264	513,652	252,718	11,946	30,399	72,815	5,777
California	3	3,527,052	3,2,	D+10	223834	112422	3.0	0.0	0.0	1.0	1.0	705,410	0.1329604082615813	8.820541753556432E11	5313714.880469338	5088958.001779152	0.600447081825937	0.399552918174063	675,010	449,169	0.448065861	0.108982744	0.306612355	0.108091672	0.001877914	0.002195452	0.021315436	0.002858566	1,230,448	299,281	841,998	296,834	5,157	6,029	58,535	7,850
