State	District	Population	Winner	PVI	Vote gap	Wasted votes	FV Safe D	FV Lean D	FV Tossup	FV Lean R	FV Safe R	Pop per seats	Compactness	Area	Paired edge length	Unpaired edge length	PRES08_DEM vote %	PRES08_REP vote %	PRES08_DEM votes	PRES08_REP votes	VAP_WHITE %	VAP_BLACK %	VAP_HISPAN %	VAP_ASIAN %	VAP_HAWAII %	VAP_INDIAN %	VAP_MULTI %	VAP_OTHER %	VAP_WHITE pop	VAP_BLACK pop	VAP_HISPAN pop	VAP_ASIAN pop	VAP_HAWAII pop	VAP_INDIAN pop	VAP_MULTI pop	VAP_OTHER pop
Alabama	1	682,862	0,1,	R+12	69113	147646	0.0	0.0	0.0	0.0	1.0	682,862	0.23724475632030084	9.089827941158779E11	6938801.316508277	0.0	0.3829747604904992	0.6170252395095008	113,089	182,202	0.681790838	0.248526730	0.043556310	0.015006667	0.000306532	0.002636177	0.007548355	0.000628391	355,873	129,723	22,735	7,833	160	1,376	3,940	328
Alabama	2	682,579	0,1,	R+14	78607	143202	0.0	0.0	0.0	0.0	1.0	682,579	0.39486968975602477	1.210634830162542E12	5130235.819205268	1435740.2583311044	0.36276854641885736	0.6372314535811426	103,898	182,505	0.726496399	0.229653886	0.026204260	0.005399398	0.000330144	0.003508745	0.007996407	0.000410761	378,493	119,646	13,652	2,813	172	1,828	4,166	214
Alabama	3	683,112	0,1,	R+11	65729	149627	0.0	0.0	0.0	0.0	1.0	683,112	0.31150923687494203	1.458055682548942E12	4447564.069554625	4295666.651490937	0.39017821041058903	0.6098217895894109	116,762	182,491	0.682552158	0.258582405	0.025072065	0.013015172	0.000377504	0.010694007	0.009005887	0.000700802	352,573	133,571	12,951	6,723	195	5,524	4,652	362
Alabama	4	682,602	0,1,	R+9	47387	137464	0.0	0.0	0.0	0.0	1.0	682,602	0.4806762279827912	1.770693832247125E12	3958455.529300696	3793767.731763532	0.41381894102798195	0.586181058972018	113,770	161,157	0.628065168	0.311209838	0.030270420	0.015676164	0.000625358	0.004114705	0.009505065	0.000533281	327,411	162,234	15,780	8,172	326	2,145	4,955	278
Alabama	5	682,803	0,1,	R+9	56734	151004	0.0	0.0	0.0	0.0	1.0	682,803	0.3163709653832143	1.3464217921885127E12	5996804.857413939	1754963.1123505912	0.40607202458213026	0.5939279754178697	122,637	179,371	0.738788437	0.211910220	0.029249628	0.004043499	0.000242000	0.006370131	0.009176952	0.000219134	387,711	111,209	15,350	2,122	127	3,343	4,816	115
Alabama	6	683,050	0,1,	R+14	71633	132304	0.0	0.0	0.0	0.0	1.0	683,050	0.6029361096470774	9.23655661731868E11	2965095.500838635	1896636.3673958818	0.36464265873540763	0.6353573412645924	96,487	168,120	0.761112621	0.146677151	0.054613402	0.014653645	0.000655299	0.007736385	0.013915470	0.000636026	394,901	76,103	28,336	7,603	340	4,014	7,220	330
Alabama	7	682,728	0,1,	R+7	46540	155657	0.0	0.0	0.0	1.0	0.0	682,728	0.21669104544438683	3.39620707528551E12	1.1856097121556424E7	2903873.0287117544	0.42525231759573934	0.5747476824042607	132,387	178,927	0.638442868	0.324753793	0.018231443	0.009492515	0.000179790	0.002524707	0.005969401	0.000405483	333,799	169,792	9,532	4,963	94	1,320	3,121	212
Alaska	1	667,047	0,1,	R+1	2872	138486	0.0	0.0	1.0	0.0	0.0	667,047	0.2264219287995333	1.5083765280721478E14	0.0	1.2199423518190756E8	0.4948153603974409	0.5051846396025591	137,050	139,922	0.682767432	0.030848059	0.046737802	0.053328565	0.008598975	0.132700778	0.043645155	0.001373235	356,987	16,129	24,437	27,883	4,496	69,383	22,820	718
Arizona	1	709,751	0,1,	R+5	25207	124028	0.0	0.0	0.0	1.0	0.0	709,751	0.4933937479156327	7.612363837597616E12	9434688.909362026	5985913.349887762	0.4491907036745883	0.5508092963254118	111,424	136,631	0.699684025	0.013826465	0.108343042	0.020369663	0.000933944	0.145242201	0.010758060	0.000842600	375,335	7,417	58,119	10,927	501	77,913	5,771	452
Arizona	2	709,938	0,1,	R+9	40874	109271	0.0	0.0	0.0	0.0	1.0	709,938	0.3014562723129281	5.057785498335626E12	7764253.0139119355	9007946.024934188	0.40648479468477455	0.5935152053152255	88,834	129,708	0.552865924	0.031864365	0.369730919	0.016989737	0.001455982	0.014274527	0.011850514	0.000968031	280,993	16,195	187,915	8,635	740	7,255	6,023	492
Arizona	3	709,518	0,1,	R+5	26823	125201	0.0	0.0	0.0	1.0	0.0	709,518	0.3908875522954683	4.056893918187331E10	1142025.5953307278	0.0	0.4464399103837445	0.5535600896162556	111,789	138,612	0.755810757	0.030169639	0.154696712	0.031916664	0.001280428	0.012088111	0.012809708	0.001227981	417,918	16,682	85,538	17,648	708	6,684	7,083	679
Arizona	4	710,086	0,1,	R+6	27128	121083	0.0	0.0	0.0	1.0	0.0	710,086	0.45698205390489094	1.1519019226324424E12	5628116.919324677	0.0	0.4439888341055309	0.5560111658944691	107,519	134,647	0.552680815	0.067223796	0.289131222	0.045294988	0.001700690	0.029082003	0.013421397	0.001465088	279,153	33,954	146,037	22,878	859	14,689	6,779	740
Arizona	5	711,170	1,0,	D+0	229	124947	0.0	0.0	1.0	0.0	0.0	711,170	0.3832592646538159	2.32026260877426E12	7417516.312133031	1739608.5335853882	0.5004581961079342	0.4995418038920658	125,061	124,832	0.595975725	0.026643180	0.311530340	0.017362151	0.002729274	0.033910013	0.010640050	0.001209267	318,375	14,233	166,422	9,275	1,458	18,115	5,684	646
Arizona	6	709,413	0,1,	R+5	26822	125226	0.0	0.0	0.0	1.0	0.0	709,413	0.28467132147939384	3.27323349712099E10	1202047.3262687726	0.0	0.44645281331352915	0.5535471866864708	111,815	138,637	0.413532275	0.071803908	0.446245842	0.030323264	0.001748279	0.020679083	0.014227241	0.001440108	209,335	36,348	225,895	15,350	885	10,468	7,202	729
Arizona	7	710,279	0,1,	R+5	28994	140113	0.0	0.0	0.0	1.0	0.0	710,279	0.5293301093957286	5.876389913956672E12	1.0442380025962489E7	1825198.8820211615	0.448266756118276	0.5517332438817241	125,616	154,610	0.797376120	0.015396562	0.104449581	0.019080468	0.001081696	0.049687590	0.011981725	0.000946258	441,555	8,526	57,840	10,566	599	27,515	6,635	524
Arizona	8	710,012	0,1,	R+5	26834	125323	0.0	0.0	0.0	1.0	0.0	710,012	0.5258417847981023	4.583193838133919E10	1046553.6531731728	0.0	0.4464703206913336	0.5535296793086664	111,906	138,740	0.684364422	0.035808949	0.208159901	0.041127651	0.002834167	0.013350470	0.013286013	0.001068428	350,372	18,333	106,571	21,056	1,451	6,835	6,802	547
Arizona	9	711,850	1,0,	D+1	7043	136104	0.0	0.0	1.0	0.0	0.0	711,850	0.6507790283287058	1.7930147753293875E12	3612877.715120141	3028297.2234408334	0.5129368458562785	0.48706315414372153	139,625	132,582	0.622327409	0.037104074	0.283078045	0.028840879	0.001802781	0.010345686	0.015145883	0.001355243	344,859	20,561	156,866	15,982	999	5,733	8,393	751
Arkansas	1	728,896	0,1,	R+16	75065	120607	0.0	0.0	0.0	0.0	1.0	728,896	0.35807386410948006	2.0562901686454548E12	5410685.375631008	4112352.6522067063	0.3444010065792474	0.6555989934207526	83,074	158,139	0.812201616	0.030535583	0.097948770	0.024291904	0.004909592	0.013671154	0.015842062	0.000599319	437,732	16,457	52,789	13,092	2,646	7,368	8,538	323
Arkansas	2	728,985	0,1,	R+9	48080	141384	0.0	0.0	0.0	0.0	1.0	728,985	0.4940374840588305	3.444311658986517E12	5323081.79109827	5382567.769286195	0.4149833078707633	0.5850166921292367	117,344	165,424	0.689307764	0.255437119	0.036531610	0.005814340	0.000235595	0.003884620	0.008402288	0.000386664	383,282	142,033	20,313	3,233	131	2,160	4,672	215
Arkansas	3	729,051	0,1,	R+6	36523	142406	0.0	0.0	0.0	1.0	0.0	729,051	0.3835979457765083	1.9273618075497383E12	6861746.160301625	1445668.3535938668	0.43588204107285183	0.5641179589271482	124,144	160,667	0.789601989	0.133292644	0.045127733	0.013474064	0.000456414	0.005466232	0.011984901	0.000596023	441,153	74,471	25,213	7,528	255	3,054	6,696	333
Arkansas	4	728,986	0,1,	R+11	56059	124367	0.0	0.0	0.0	0.0	1.0	728,986	0.408188087647769	3.8331935279931685E12	4357735.834787832	8673864.394552566	0.3873108915986218	0.6126891084013781	96,337	152,396	0.811139597	0.146936211	0.023202652	0.005332670	0.000252380	0.004165184	0.008678979	0.000292325	446,740	80,926	12,779	2,937	139	2,294	4,780	161
California	1	649,625	1,0,	D+3	11509	94608	0.0	0.0	1.0	0.0	0.0	649,625	0.3951286545611171	1.640923072258023E12	5607846.280448715	2154916.928054226	0.5304124937240705	0.4695875062759295	100,362	88,853	0.195151944	0.106559135	0.635818580	0.040787552	0.002769666	0.005003194	0.012207976	0.001701953	85,539	46,707	278,692	17,878	1,214	2,193	5,351	746
California	2	768,865	1,0,	D+28	172436	156707	1.0	0.0	0.0	0.0	0.0	768,865	0.15641352802391273	5.531704150034354E10	2108129.3197982055	0.0	0.7750930079702885	0.2249069920297115	242,925	70,489	0.448569958	0.141854068	0.145799955	0.223417946	0.003242930	0.002911559	0.030926873	0.003276711	278,858	88,185	90,638	138,890	2,016	1,810	19,226	2,037
California	3	680,972	1,0,	D+21	92890	112694	1.0	0.0	0.0	0.0	0.0	680,972	0.3757855087829077	1.7709433729223946E10	769550.7308716152	0.0	0.7060668713507374	0.29393312864926263	159,139	66,249	0.225405710	0.029308790	0.324541698	0.404545455	0.000648009	0.001421863	0.012746056	0.001382419	120,006	15,604	172,786	215,380	345	757	6,786	736
California	4	724,027	1,0,	D+5	29358	141123	0.0	1.0	0.0	0.0	0.0	724,027	0.5529711347816743	7.612598417015416E10	1057290.5439452098	343993.79553946963	0.5520078229629473	0.4479921770370528	155,802	126,444	0.240372749	0.085001956	0.496671616	0.146743196	0.006520063	0.002853714	0.020230424	0.001606282	126,600	44,769	261,588	77,287	3,434	1,503	10,655	846
California	5	813,217	1,0,	D+21	156258	184367	1.0	0.0	0.0	0.0	0.0	813,217	0.2717887377393381	2.4522435013623066E12	8168697.776128368	3305832.9765044143	0.7118844478675684	0.2881155521324315	262,496	106,238	0.608255807	0.037113100	0.119527822	0.187206717	0.001892809	0.015214148	0.028005968	0.002783629	415,828	25,372	81,714	127,982	1,294	10,401	19,146	1,903
California	6	668,291	1,0,	D+11	49320	116872	1.0	0.0	0.0	0.0	0.0	668,291	0.2762657120705475	1.6577991390636667E10	868375.1629349637	0.0	0.6055000342254775	0.39449996577452257	141,532	92,212	0.281570515	0.048940379	0.405416109	0.239477165	0.004661850	0.002679709	0.015434965	0.001819308	140,065	24,345	201,671	119,126	2,319	1,333	7,678	905
California	7	647,092	1,0,	D+7	35683	129719	0.0	1.0	0.0	0.0	0.0	647,092	0.4048078858795488	1.3735601957775648E11	1622832.2142749452	589457.1496619311	0.5687700674923006	0.43122993250769937	147,560	111,877	0.528080047	0.019109035	0.356614626	0.072989193	0.002030309	0.002931051	0.016845740	0.001399998	253,856	9,186	171,430	35,087	976	1,409	8,098	673
California	8	669,407	1,0,	D+21	91313	110810	1.0	0.0	0.0	0.0	0.0	669,407	0.23168854726649787	8.837587639360563E9	692340.146405034	0.0	0.7060134735740167	0.29398652642598333	156,466	65,153	0.110934201	0.132618137	0.616383690	0.124392493	0.000649500	0.001734715	0.010697408	0.002589856	54,485	65,135	302,735	61,095	319	852	5,254	1,272
California	9	782,367	1,0,	D+27	204497	187026	1.0	0.0	0.0	0.0	0.0	782,367	0.1994791154444003	4.446350479099626E11	4117821.7418091604	1566192.0958481173	0.7733544356250885	0.22664556437491143	289,274	84,777	0.620419766	0.065267341	0.171995003	0.110798804	0.003005156	0.003070486	0.022435101	0.003008343	389,368	40,961	107,942	69,536	1,886	1,927	14,080	1,888
California	10	758,561	1,0,	D+11	52331	114211	1.0	0.0	0.0	0.0	0.0	758,561	0.30843961948214044	1.9285944945491233E12	7935855.14156007	1237814.0361782098	0.6145494503570162	0.3854505496429838	140,376	88,045	0.395135471	0.032798017	0.488694888	0.057539540	0.003325196	0.004380696	0.016399009	0.001727183	214,133	17,774	264,835	31,182	1,802	2,374	8,887	936
California	11	799,966	1,0,	D+3	21575	165742	0.0	0.0	1.0	0.0	0.0	799,966	0.1506921474807812	2.903714315978489E11	4920809.629777963	0.0	0.5325431470090473	0.4674568529909528	176,529	154,954	0.563728215	0.060480966	0.205526454	0.127130614	0.006682599	0.006276168	0.028075650	0.002099334	335,659	36,012	122,376	75,697	3,979	3,737	16,717	1,250
California	12	674,652	1,0,	D+21	92036	111702	1.0	0.0	0.0	0.0	0.0	674,652	0.3435186148456572	1.8184004080270668E10	815594.9989953643	0.0	0.7059855687454119	0.2940144312545881	157,720	65,684	0.357340002	0.092538954	0.326412468	0.193083163	0.005060054	0.002272736	0.020460473	0.002832149	183,329	47,476	167,462	99,059	2,596	1,166	10,497	1,453
California	13	709,609	1,0,	D+1	4350	101868	0.0	0.0	1.0	0.0	0.0	709,609	0.31779220340937864	6.571782748300197E11	5097707.492084903	0.0	0.5106755801625633	0.4893244198374367	104,043	99,693	0.425091027	0.057500851	0.381529414	0.107966388	0.001437322	0.007538974	0.017116477	0.001819546	213,533	28,884	191,651	54,234	722	3,787	8,598	914
California	14	780,990	1,0,	D+19	127434	163725	1.0	0.0	0.0	0.0	0.0	780,990	0.20325991548547068	5.259078050350508E11	5702087.400499225	0.0	0.6945854328905177	0.30541456710948234	227,442	100,008	0.572609514	0.062304784	0.237153056	0.089756665	0.004654994	0.006246918	0.024517978	0.002756092	341,352	37,142	141,375	53,507	2,775	3,724	14,616	1,643
California	15	676,515	1,0,	D+17	81197	116774	1.0	0.0	0.0	0.0	0.0	676,515	0.30520224514023536	6.441358422363011E10	1628545.1474027922	0.0	0.673834388795403	0.3261656112045969	157,372	76,175	0.549755164	0.034466825	0.270776534	0.115868506	0.001169537	0.002089828	0.023709004	0.002164602	286,738	17,977	141,230	60,434	610	1,090	12,366	1,129
California	16	659,931	1,0,	D+15	64299	107913	1.0	0.0	0.0	0.0	0.0	659,931	0.3265436910143062	8.745927028744635E11	5801458.742419013	0.0	0.6489609637437739	0.3510390362562261	140,062	75,763	0.502337760	0.069198533	0.315855546	0.086005133	0.001394163	0.003913185	0.018714512	0.002581169	242,492	33,404	152,472	41,517	673	1,889	9,034	1,246
California	17	670,919	1,0,	D+2	7063	97230	0.0	0.0	1.0	0.0	0.0	670,919	0.2527430948593803	3.361461597980121E11	4088173.8836268624	0.0	0.5181606405463363	0.48183935945366374	100,761	93,698	0.584646074	0.043809271	0.308851701	0.037064816	0.001749442	0.007247123	0.015384798	0.001246774	295,424	22,137	156,064	18,729	884	3,662	7,774	630
California	18	717,863	1,0,	D+5	29122	139938	0.0	1.0	0.0	0.0	0.0	717,863	0.1682237609909919	9.391898443399976E10	1895907.3006048666	1003765.7647178669	0.5520266117852192	0.44797338821478083	154,499	125,377	0.671297080	0.027726053	0.180232170	0.090149428	0.002905123	0.003153058	0.021994463	0.002542624	392,594	16,215	105,405	52,722	1,699	1,844	12,863	1,487
California	19	631,185	1,0,	D+11	45509	102111	1.0	0.0	0.0	0.0	0.0	631,185	0.2438389066740403	3.467566268304738E10	1336798.0876746194	0.0	0.6114209606259885	0.3885790393740115	124,865	79,356	0.307143274	0.080165402	0.424279826	0.162172444	0.004571678	0.003620596	0.016205140	0.001841641	142,094	37,087	196,285	75,026	2,115	1,675	7,497	852
California	20	798,795	1,0,	D+1	3705	125184	0.0	0.0	1.0	0.0	0.0	798,795	0.22934150949363516	2.2988229489456772E12	9818900.598533144	1872387.4342683046	0.5073991380653201	0.4926008619346799	127,036	123,331	0.474383584	0.054615758	0.340789130	0.094288247	0.003934076	0.008246529	0.021332472	0.002410205	274,568	31,611	197,245	54,573	2,277	4,773	12,347	1,395
California	21	683,001	1,0,	D+2	9256	125582	0.0	0.0	1.0	0.0	0.0	683,001	0.2964238400000145	2.9861365477652878E10	1125131.2805403653	0.0	0.5184262075775191	0.48157379242248094	130,210	120,954	0.359877207	0.017758051	0.393123204	0.209109751	0.002209491	0.002186027	0.014287390	0.001448879	184,052	9,082	201,055	106,945	1,130	1,118	7,307	741
California	22	706,593	1,0,	D+21	111715	131011	1.0	0.0	0.0	0.0	0.0	706,593	0.3293921924233776	3.63185315553827E10	1177097.458187333	0.0	0.7131794779807725	0.2868205220192275	186,868	75,153	0.450002207	0.029269154	0.160143403	0.327460618	0.006469307	0.001712518	0.022858709	0.002084084	244,641	15,912	87,061	178,022	3,517	931	12,427	1,133
California	23	765,373	1,0,	D+20	122135	154824	1.0	0.0	0.0	0.0	0.0	765,373	0.14017326464535124	1.3729453507766316E11	3508318.0937769893	0.0	0.6972165078298838	0.3027834921701163	215,891	93,756	0.496392568	0.106245841	0.251553714	0.109089181	0.005098645	0.003433135	0.026181615	0.002005303	281,948	60,347	142,881	61,962	2,896	1,950	14,871	1,139
California	24	624,187	1,0,	D+21	85153	103356	1.0	0.0	0.0	0.0	0.0	624,187	0.39315619916297423	1.3376008194584528E10	653861.2963232459	0.0	0.7059711384493327	0.2940288615506674	145,932	60,779	0.203687445	0.036858971	0.663171769	0.079903490	0.000973057	0.002054478	0.011126026	0.002224763	92,104	16,667	299,875	36,131	440	929	5,031	1,006
California	25	633,021	0,1,	R+8	29062	86465	0.0	0.0	0.0	0.0	1.0	633,021	0.3563242866408884	4.970948552366688E11	4186989.328688871	0.0	0.4159717804892153	0.5840282195107848	71,934	100,996	0.395146775	0.061071549	0.476953742	0.042872531	0.000906844	0.007270861	0.013998536	0.001779163	171,681	26,534	207,224	18,627	394	3,159	6,082	773
California	26	678,334	0,1,	R+1	6649	127089	0.0	0.0	1.0	0.0	0.0	678,334	0.4214742456545266	1.4408406431670256E10	655431.6155232872	0.0	0.48692053175543026	0.5130794682445697	123,764	130,413	0.216734136	0.012653124	0.496371218	0.256026696	0.003726036	0.001953180	0.011263205	0.001272404	106,970	6,245	244,986	126,363	1,839	964	5,559	628
California	27	679,740	1,0,	D+21	92728	112524	1.0	0.0	0.0	0.0	0.0	679,740	0.38573464868293084	1.1979853925512762E10	624721.3778890983	0.0	0.7060182716576019	0.29398172834239805	158,888	66,160	0.030213770	0.152830495	0.797707224	0.009647319	0.001759450	0.001460717	0.004555679	0.001825347	13,755	69,577	363,161	4,392	801	665	2,074	831
California	28	768,078	1,0,	D+26	152129	147226	1.0	0.0	0.0	0.0	0.0	768,078	0.23445883427634812	3.05894999941799E11	4049093.639898973	0.0	0.7583265127304712	0.24167348726952873	223,290	71,161	0.283402630	0.063376007	0.288560939	0.318436800	0.011826153	0.003146761	0.029492793	0.001757918	162,021	36,232	164,970	182,050	6,761	1,799	16,861	1,005
California	29	708,413	1,0,	D+5	28733	138084	0.0	1.0	0.0	0.0	0.0	708,413	0.32732154244846257	3.4097526204391697E10	1144139.7477813358	0.0	0.5520210597211108	0.44797894027888924	152,450	123,717	0.564073579	0.059950571	0.217409696	0.119404328	0.004474917	0.004033906	0.028440745	0.002212258	313,366	33,305	120,780	66,334	2,486	2,241	15,800	1,229
California	30	686,793	1,0,	D+2	10425	116175	0.0	0.0	1.0	0.0	0.0	686,793	0.2587119727572133	2.412554140060146E11	2676635.1670346013	995450.5578508265	0.5224339248285984	0.47756607517140165	121,387	110,962	0.601668516	0.036894986	0.253442954	0.074691819	0.004951074	0.004823969	0.021967114	0.001559568	298,217	18,287	125,619	37,021	2,454	2,391	10,888	773
California	31	673,570	1,0,	D+21	91889	111445	1.0	0.0	0.0	0.0	0.0	673,570	0.31109009446654196	3.107845660241163E10	1120447.6295055186	0.0	0.7061317516790869	0.29386824832091313	157,389	65,500	0.245565801	0.026627350	0.563740478	0.148071833	0.001289070	0.002225660	0.011033633	0.001446175	121,919	13,220	279,887	73,515	640	1,105	5,478	718
California	32	723,362	1,0,	D+24	140687	143762	1.0	0.0	0.0	0.0	0.0	723,362	0.2420341783207089	2.6454759945246683E11	3451413.883221736	339596.984873956	0.7446534712005648	0.2553465287994352	214,105	73,418	0.574897522	0.014861604	0.267001508	0.113930450	0.002137166	0.003493198	0.021884502	0.001794051	314,999	8,143	146,296	62,425	1,171	1,914	11,991	983
California	33	671,309	1,0,	D+21	91574	111139	1.0	0.0	0.0	0.0	0.0	671,309	0.43171506691765316	2.2166752386484137E11	624986.0787845671	2553536.305048804	0.7059897965610632	0.2940102034389368	156,926	65,352	0.201046023	0.203156951	0.387236252	0.181162143	0.001181968	0.001706868	0.020165211	0.004344583	106,479	107,597	205,090	95,948	626	904	10,680	2,301
California	34	662,411	1,0,	D+8	46899	141708	1.0	0.0	0.0	0.0	0.0	662,411	0.3698486292914959	1.2515356163247847E12	4459997.798380577	2748009.576552056	0.582739092849708	0.41726090715029196	165,157	118,258	0.615539553	0.019642231	0.293025179	0.044708621	0.001522134	0.004798073	0.018411122	0.002353085	321,492	10,259	153,045	23,351	795	2,506	9,616	1,229
California	35	787,802	1,0,	D+3	18608	166403	0.0	0.0	1.0	0.0	0.0	787,802	0.21947367863148504	1.4039746624201038E12	8400023.28547266	754487.2808689532	0.5279562267507196	0.4720437732492804	175,707	157,099	0.587748849	0.073272035	0.153869748	0.138893031	0.007705265	0.006863057	0.029797531	0.001850484	346,840	43,239	90,801	81,963	4,547	4,050	17,584	1,092
California	36	667,250	1,0,	D+2	5528	88848	0.0	0.0	1.0	0.0	0.0	667,250	0.2190665865117492	7.510597269717661E12	1.6355654150614874E7	5867792.883024183	0.515554655141365	0.484445344858635	91,612	86,084	0.415113686	0.031446554	0.504059771	0.020313444	0.001788133	0.013408916	0.012398141	0.001471354	199,184	15,089	241,863	9,747	858	6,434	5,949	706
