,State,cycle,AreaNumber,alpha,beta
0,AL,1970,1,13.677852396667681,28.213986442698992
1,AL,1970,2,34.111716926464418,49.884274071498908
2,AL,1970,3,83.815860012528958,22.832061901358902
3,AL,1970,4,59.325979238588992,19.41935254946792
4,AL,1970,5,88.936471637671289,29.280566242456917
5,AL,1970,6,43.502748204979405,61.703443548665334
6,AL,1970,7,19.195286054672106,3.8562710433444587
7,AL,1980,1,55.742878449986037,74.831208642268308
8,AL,1980,2,29.171826574283365,39.298188371797806
9,AL,1980,3,106.51393566016236,31.489700431424694
10,AL,1980,4,142.66548267545451,41.429366466842033
11,AL,1980,5,37.12841028788494,13.717424596524031
12,AL,1980,6,36.993174535646716,21.407452845910708
13,AL,1980,7,80.085452408169246,40.883081678087144
14,AL,1990,1,74.296825324446957,137.30233232002766
15,AL,1990,2,14.332120475351836,27.289217139703155
16,AL,1990,3,23.991518094390401,20.554004258116493
17,AL,1990,4,13.344966017252515,13.168083786660473
18,AL,1990,5,33.655421888801897,21.338633960003332
19,AL,1990,6,11.173460686483567,24.886299770418749
20,AL,1990,7,106.74702124962614,33.008197385769463
21,AL,2000,1,73.43715838834963,131.73116615845171
22,AL,2000,2,11.471155334693856,19.002603609797067
23,AL,2000,3,54.251740504952231,72.861344684736963
24,AL,2000,4,52.489643892204185,145.21071334430644
25,AL,2000,5,11.861409827611679,7.8055937731104397
26,AL,2000,6,78.137730032640633,186.13027838580788
27,AL,2000,7,170.92527847438063,60.495774600481397
28,AL,2010,1,168.30191994065896,361.71072971545823
29,AL,2010,2,43.904292087028296,71.310057750198169
30,AL,2010,3,155.83328980983404,299.63034318569538
31,AL,2010,4,121.80782882469718,347.8668449195377
32,AL,2010,5,174.65771952575065,337.78031795417564
33,AL,2010,6,76.779881126456601,219.01540802762244
34,AL,2010,7,339.44144571229077,107.7871114061887
35,AK,1970,1,8.8868264324633124,13.12967829239069
36,AK,1980,1,24.331805474516919,36.653342524653461
37,AK,1990,1,11.634036201316357,21.208145447119133
38,AK,2000,1,7.9485879609492827,16.562581481073757
39,AK,2010,1,39.155378784377824,61.072626821510205
40,AZ,1970,1,11.658078380648597,20.519964036358814
41,AZ,1970,2,60.503434155075347,41.10760874905781
42,AZ,1970,3,14.716639747927749,13.542058372921831
43,AZ,1970,4,26.962941859701118,36.098263907771013
44,AZ,1980,1,33.131731996264072,87.605719090194199
45,AZ,1980,2,85.218970462480101,33.463209333027137
46,AZ,1980,3,23.069083478511335,44.637286456143116
47,AZ,1980,4,62.345499196777432,113.4731864565365
48,AZ,1980,5,18.847689476753111,27.814360906627329
49,AZ,1990,1,30.201363930949597,40.392133093036932
50,AZ,1990,2,122.00251617661293,54.914220524390096
51,AZ,1990,3,63.705720697296236,130.21124417016117
52,AZ,1990,4,63.246562730252364,124.87045816514363
53,AZ,1990,5,18.028654730161065,34.462989656362318
54,AZ,1990,6,29.812183680480256,34.810278628334331
55,AZ,2000,1,31.008625387484663,34.297643651963909
56,AZ,2000,2,67.826169377090906,112.55852361170582
57,AZ,2000,3,40.357572656788584,61.34786935052896
58,AZ,2000,4,116.6420233063897,42.150238678497793
59,AZ,2000,5,26.951108135345869,31.969934808897438
60,AZ,2000,6,74.345777135872751,151.05614989890546
61,AZ,2000,7,65.388209832765341,40.543193442421241
62,AZ,2000,8,17.008018098101005,19.129176251714554
63,AZ,2010,1,295.64172595989106,264.17470066842515
64,AZ,2010,2,113.22913403217679,123.61114278957449
65,AZ,2010,3,208.09034813816683,146.87908157285435
66,AZ,2010,4,118.84390413041658,299.22467212387409
67,AZ,2010,5,105.40044833520743,213.55636648645302
68,AZ,2010,6,166.36502849205195,294.82374825556423
69,AZ,2010,7,342.64459266386382,112.678487150149
70,AZ,2010,8,199.84456303592853,361.11192652978281
71,AZ,2010,9,122.96495627778755,94.321118824051538
72,AR,1970,1,26.172402635199003,7.1716488689712588
73,AR,1970,2,3.6190111215016745,3.1554454473898361
74,AR,1970,3,8.040483093301571,18.09122695208373
75,AR,1970,4,78.799864782193566,80.136926484650019
76,AR,1980,1,155.60584468419771,85.807980232040563
77,AR,1980,2,9.63076626290988,5.4674371842509712
78,AR,1980,3,22.324328484372117,59.511163055677287
79,AR,1980,4,41.647135965291007,15.812546564972966
80,AR,1990,1,43.544922574608577,29.603862057008147
81,AR,1990,2,29.951784717457446,20.067480856513473
82,AR,1990,3,36.125153546957748,50.963547720423449
83,AR,1990,4,40.978526110797006,49.760387916423134
84,AR,2000,1,24.356822633711477,14.796416593692218
85,AR,2000,2,29.70500295130558,26.262821199275287
86,AR,2000,3,41.610714649587152,77.426145998493169
87,AR,2000,4,50.487143556089954,27.618743066895028
88,AR,2010,1,98.365296325781458,163.35779360247619
89,AR,2010,2,117.41568897521269,161.99991925949953
90,AR,2010,3,212.94840117313689,358.78115302103544
91,AR,2010,4,131.30922454889188,188.56672231491035
92,CA,1970,1,8.865183436614636,7.9444336921010361
93,CA,1970,2,12.791175430487518,13.044607122648586
94,CA,1970,3,26.474036868507923,12.321722334182072
95,CA,1970,4,28.274912656721995,18.404068458759035
96,CA,1970,5,18.067459263891472,9.7441921160190805
97,CA,1970,6,16.195227569723613,7.6625245642662456
98,CA,1970,7,28.842103707309825,15.751470087335479
99,CA,1970,8,57.042742427771472,40.673634918366858
100,CA,1970,9,36.299137930681162,16.673565367430189
101,CA,1970,10,7.8915537632233397,4.320820370091849
102,CA,1970,11,22.104108154020778,12.631382371101218
103,CA,1970,12,9.4650434810603539,21.966176435356306
104,CA,1970,13,7.5878731897069489,6.3980221487999156
105,CA,1970,14,6.1858477486310433,3.9066995466471175
