,State,STATEFP,year,demVotes,repVotes,demVoteFrac,repVoteFrac,demSeats,demSeatFrac,specAsym (seats),specAsym (fraction)
94,CA,06,1976,4129696.5,3260279.75,0.5588240557606663,0.4411759442393337,29.0,0.6744186046511628,-5.0,-0.11627906976744186
95,CA,06,1978,3418424.25,3142137.5,0.5210566381758391,0.47894336182416086,26.0,0.6046511627906976,-3.5,-0.08139534883720931
96,CA,06,1980,3665518.0,4178626.0,0.4672935631982279,0.5327064368017721,22.0,0.5116279069767442,-3.5,-0.08139534883720931
97,CA,06,1982,3769217.333333,3689854.0,0.5053199205227025,0.49468007947729753,28.0,0.6222222222222222,-5.5,-0.12222222222222222
98,CA,06,1984,4464400.083333001,4404950.5,0.5033514056510923,0.49664859434890773,27.0,0.6,-4.5,-0.1
99,CA,06,1986,3731992.0,3367265.25,0.52568766965023,0.47431233034977005,27.0,0.6,-4.5,-0.1
100,CA,06,1988,4806746.5,4309141.25,0.5272932962563082,0.47270670374369184,27.0,0.6,-4.5,-0.1
101,CA,06,1990,3683220.0,3421215.0,0.5184395381194986,0.4815604618805014,26.0,0.5777777777777777,-3.0,-0.06666666666666667
106,CA,06,2000,5467758.0833333,4416316.1666667,0.5531886897079208,0.4468113102920792,32.0,0.6153846153846154,-2.5,-0.04807692307692308
107,CA,06,2002,3835828.25,3341493.0,0.5344373083481528,0.46556269165184716,33.0,0.6226415094339622,-6.0,-0.11320754716981132
108,CA,06,2004,6216464.0000003,4964081.8333334,0.5560072014969539,0.44399279850304607,33.0,0.6226415094339622,-5.0,-0.09433962264150944
109,CA,06,2006,4878792.2500004005,3525877.5,0.580485895950899,0.41951410404910106,34.0,0.6415094339622641,-4.5,-0.08490566037735849
110,CA,06,2008,7108726.1666667,4603816.25,0.6069328002220196,0.39306719977798044,34.0,0.6415094339622641,-3.5,-0.0660377358490566
111,CA,06,2010,5243921.25,4129678.75,0.5594351423145857,0.4405648576854143,34.0,0.6415094339622641,-4.0,-0.07547169811320754
112,CA,06,2012,7373710.666666,4741277.6666666,0.6086436456879059,0.39135635431209415,39.0,0.7358490566037735,-2.5,-0.04716981132075472
188,FL,12,1980,1864604.0,1417597.25,0.5680955730548211,0.43190442694517894,11.0,0.7333333333333333,-2.5,-0.16666666666666666
190,FL,12,1984,1746575.1666667,1803616.5,0.4919664431263149,0.5080335568736851,12.0,0.631578947368421,-2.5,-0.13157894736842105
196,FL,12,1996,2216199.0,2748698.5,0.4463735656174171,0.553626434382583,8.0,0.34782608695652173,3.0,0.13043478260869565
197,FL,12,1998,2134133.833333,2548074.0,0.455796476640771,0.5442035233592291,8.0,0.34782608695652173,2.5,0.10869565217391304
198,FL,12,2000,2397085.333333,2708118.5,0.46953763485052286,0.5304623651494771,8.0,0.34782608695652173,2.5,0.10869565217391304
199,FL,12,2002,2382524.85,2966931.766667,0.4453769832578699,0.5546230167421301,7.0,0.28,3.0,0.12
200,FL,12,2004,2846305.3499999996,3754339.4333333,0.43121625893078686,0.5687837410692131,7.0,0.28,2.5,0.1
201,FL,12,2006,2441672.933334,2608129.3500003,0.48351852138690155,0.5164814786130985,9.0,0.36,3.0,0.12
228,GA,13,2014,1462233.0,1728565.0,0.45826561255209514,0.5417343874479048,4.0,0.2857142857142857,2.5,0.17857142857142858
229,GA,13,2016,1696921.0,2010753.0,0.4576780482857986,0.5423219517142014,4.0,0.2857142857142857,3.0,0.21428571428571427
714,NY,36,1974,2789113.0,2020974.3,0.5798466485213273,0.4201533514786727,27.0,0.6923076923076923,-3.0,-0.07692307692307693
715,NY,36,1976,3369790.0,2432916.3,0.5807273064983489,0.4192726935016511,28.0,0.717948717948718,-4.5,-0.11538461538461539
716,NY,36,1978,2460836.0,2079932.3,0.5419426487803838,0.4580573512196162,26.0,0.6666666666666666,-3.0,-0.07692307692307693
717,NY,36,1980,2730550.0,2754361.8,0.49782933610710023,0.5021706638928998,22.0,0.5641025641025641,-2.5,-0.0641025641025641
721,NY,36,1988,2905578.0666667,2593423.9166663,0.5283828002741691,0.47161719972583094,21.0,0.6176470588235294,-3.0,-0.08823529411764706
722,NY,36,1990,2003665.2333334,1755078.333333,0.5330678184866,0.4669321815134,21.0,0.6176470588235294,-3.5,-0.10294117647058823
728,NY,36,2002,2283166.4166667,1920205.8333334,0.5431749273851835,0.45682507261481653,19.0,0.6551724137931034,-3.5,-0.1206896551724138
729,NY,36,2004,3707157.25,2401371.0,0.6068822305929419,0.3931177694070581,20.0,0.6896551724137931,-2.5,-0.08620689655172414
730,NY,36,2006,2858135.6666667,1512661.8333334,0.6539162856816483,0.3460837143183517,23.0,0.7931034482758621,-2.5,-0.08620689655172414
731,NY,36,2008,4198015.6666667,2086702.6666667,0.6679719669218783,0.3320280330781217,26.0,0.896551724137931,-3.0,-0.10344827586206896
