,State,cycle,AreaNumber,Mean,Stdv
0,AL,1970,1,0.3268806755,0.092478254987772956
1,AL,1970,2,0.40611125040000007,0.047898575239948692
2,AL,1970,4,0.75134949299999998,0.074210928810419838
3,AL,1970,6,0.41349988499999996,0.036011358736069567
4,AL,1970,7,0.85781383050000004,0.16836649239910437
5,AL,1980,1,0.42488956133333328,0.057331058923917218
6,AL,1980,2,0.42645462649999999,0.078648052718443537
7,AL,1980,3,0.77148003900000006,0.048351705724881344
8,AL,1980,5,0.73170109724999999,0.082724573934344306
9,AL,1980,6,0.63284584050000003,0.084367280296427677
10,AL,1980,7,0.66176935400000003,0.056672433056177536
11,AL,1990,1,0.35020205300000001,0.026663373114133939
12,AL,1990,2,0.34434550379999995,0.089235231627947512
13,AL,1990,3,0.5391812265,0.10486601277225158
14,AL,1990,4,0.50273775750000005,0.14038714526244428
15,AL,1990,5,0.61091892825000005,0.08985797289347891
16,AL,1990,6,0.30778141125000003,0.10827762731463923
17,AL,1990,7,0.76395828450000003,0.031304107242219048
18,AL,2000,1,0.35707793700000007,0.034408888344686812
19,AL,2000,2,0.37642731740000002,0.10959563473075645
20,AL,2000,3,0.42679902260000002,0.044990277349109938
21,AL,2000,4,0.26683070566666672,0.026463009079023977
22,AL,2000,5,0.6042555584999999,0.16094795205287599
23,AL,2000,7,0.73760301100000003,0.018039696887922695
24,AL,2010,2,0.38106617900000006,0.065754579317488696
25,AL,2010,3,0.34214211299999997,0.015054651721611656
26,AL,2010,5,0.34092025549999999,0.012534725639495266
27,AL,2010,6,0.25957100733333333,0.025269623956551898
28,AK,1970,1,0.40364383659999997,0.12653727630774347
29,AK,1980,1,0.39897919860000003,0.072577318579486946
30,AK,1990,1,0.35424066300000001,0.1029322449206122
31,AK,2000,1,0.3242843218,0.11852296588344176
32,AK,2010,1,0.39066305433333337,0.071990197283725535
33,AZ,1970,1,0.36229918000000005,0.098595438216878092
34,AZ,1970,2,0.59544152319999999,0.037580436521047193
35,AZ,1970,3,0.51749554875000003,0.1290272967328068
36,AZ,1970,4,0.42756781340000005,0.063747196945104709
37,AZ,1980,1,0.27528113724999997,0.040730877473164603
38,AZ,1980,2,0.71818546875,0.042408076537035939
39,AZ,1980,3,0.34091582549999999,0.074733321696212815
40,AZ,1980,4,0.35229174366666666,0.035320896613110955
41,AZ,1980,5,0.40391901600000002,0.086004944526716337
42,AZ,1990,1,0.42782076520000001,0.067694575125328921
43,AZ,1990,2,0.68960415200000003,0.024364323319597599
44,AZ,1990,3,0.32852061580000003,0.021568063046615498
45,AZ,1990,4,0.33620861340000002,0.023498725263591435
46,AZ,1990,5,0.34345761020000004,0.077562679619003386
47,AZ,1990,6,0.46132850120000002,0.072418515775402037
48,AZ,2000,1,0.4748185104,0.0731871824284335
49,AZ,2000,2,0.37600845319999998,0.03025291094414426
50,AZ,2000,3,0.39515154899999999,0.060750872670605353
51,AZ,2000,4,0.73455735080000006,0.027987458433978527
52,AZ,2000,5,0.45741057499999993,0.077732131482837349
53,AZ,2000,6,0.32827349066666667,0.026065822832324208
54,AZ,2000,7,0.6172693629999999,0.050633014939158873
55,AZ,2000,8,0.4706513168,0.10325876497385779
56,AZ,2010,1,0.52810477133333344,0.0098338315458669917
57,AZ,2010,2,0.4780822569999999,0.04134407341534968
58,AZ,2010,3,0.58431135550000002,0.037892288990693912
59,AZ,2010,4,0.28426892366666667,0.014366569604830738
60,AZ,2010,5,0.33045366466666665,0.027490898507668025
61,AZ,2010,6,0.36073086966666668,0.015563468755383563
62,AZ,2010,9,0.56591273133333342,0.043734874182424659
63,AR,1970,1,0.79726135750000005,0.15372302938122076
64,AR,1970,2,0.53759145949999998,0.27016140640455005
65,AR,1970,3,0.30813800033333333,0.15045540561943413
66,AR,1980,1,0.64447530866666669,0.0032118941190846574
