,STATEFP,Contrib,Contrib_U50,Contrib_Retired
0,01,1845126.51,156168.10000000001,571243.13000000012
1,02,397229.62,16855.43,109467.09
2,04,3025818.4500000002,262576.32999999996,1187239.3700000001
3,05,811650.05999999994,88088.880000000005,274210.06
4,06,13159043.060000001,919278.55000000005,4253346.7800000003
5,08,2456085.7999999998,175697.19,862213.41999999993
6,09,1048964.24,94800.380000000005,316018.78000000003
7,11,244493.11000000002,3651.3499999999999,42503.199999999997
8,10,281785.0,30266.450000000001,92519.880000000005
9,12,12050799.99,922068.71999999997,4692928.3100000005
10,13,4708200.9699999997,353596.89000000001,1348437.0900000001
11,15,317312.09999999998,17475.950000000001,120844.64
12,16,541221.92000000004,46526.239999999998,201226.23999999999
13,17,3319398.2699999996,268382.98999999999,895353.18999999994
14,18,2029951.1799999999,187418.41999999998,547435.18999999994
15,19,965633.72999999998,81927.850000000006,235423.05000000002
16,20,979733.32999999984,80080.180000000008,281364.81000000006
17,21,1327313.73,104640.44,361099.38
18,22,1932068.9899999998,118730.08,475195.88999999996
19,23,244742.02000000002,27494.919999999998,84352.360000000015
20,24,1665895.26,154829.76000000001,435219.51000000001
21,25,1790137.77,144890.56,451940.82000000001
22,26,2748437.3300000001,249981.48999999999,857974.91999999993
23,27,1319960.78,120528.81,361007.55000000005
24,28,1285723.6099999999,72372.720000000001,317017.67000000004
25,29,1710136.3899999999,157044.19,560964.41999999993
26,30,462885.15000000002,30466.27,123030.38
27,31,619501.35999999999,61217.519999999997,141196.62
28,32,1717263.1499999999,100341.75,712206.96999999997
29,33,457978.03000000003,39863.159999999996,146455.90000000002
30,34,2744186.1899999999,242968.48000000001,776868.32000000007
31,35,764114.80999999994,53410.709999999992,275799.56000000006
32,36,5358427.3200000003,400219.23999999999,1236731.53
33,37,3249901.0600000001,243415.69999999998,975361.20999999996
34,38,284623.80999999994,16194.5,71458.889999999999
35,39,3768923.5700000003,344990.22999999998,1011409.42
36,40,1839729.3900000001,137498.01000000001,498787.89000000001
37,41,1056052.7,111234.95,422892.64000000001
38,42,3923702.6699999999,389760.17999999999,1036259.5900000001
39,44,204747.23999999999,20087.080000000002,55414.870000000003
40,45,1716048.1799999999,145946.58000000002,641118.08000000007
41,46,308394.97999999998,23094.34,95527.040000000008
42,47,2640979.6000000001,220477.70000000001,770995.95000000007
43,48,14973764.5,820099.51000000001,4231577.9100000001
44,49,689909.14000000001,48095.279999999999,245956.89000000001
45,50,95518.029999999999,10530.059999999999,39776.760000000002
46,51,3499809.73,282812.89000000001,1036863.77
47,53,2417484.9500000002,174682.12,892881.90000000002
48,54,503435.81,37992.760000000002,120777.21000000001
49,55,1379421.4400000002,116625.16999999998,441550.32999999996
50,56,416781.51000000001,25423.970000000001,131303.54000000001
