,MedianHHIncome,Gini,totalWorkers,CTVWorkers,CD,Incumbent,Party_x,Clinton 2016,Trump 2016,Obama 2012,Romney 2012,Obama 2008,McCain 2008,logitTrump,Year,ABBcode,YrStatAbbCD,Any Congregation,No Congregation,Evangel. Prot Congregation,Roman Catholic,Mainline Prot,"Other, inc LDS",CD_initnum,abbr,state_initnum,District,cdid,Party_y,"DCCC Target, Jan","DCCC Target, May","DCCC Target, 2018",All DCCC Targets (As of 12/2017),R Clinton District,Toss-up or Lean D,Lean R,Likey Republican,R16-R12,R16-R08,CTVpct
0,44302.0,0.4698,277939.0,262487.0,AK-AL,"Young, Don",(R),37.6,52.8,41.2,55.3,38.1,59.7,0.112117298121,2012,AK0,2012AK0,33.90910844,66.09089156,14.2150934,7.161895214,14.2150934,4.529512229,0,AK,0,AK-AL,200.0,Republican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-6.9,0.9444050672989397
1,43205.0,0.4546,285059.0,270461.0,AL-01,"Byrne, Bradley",(R),34.1,63.5,37.4,61.8,38.5,60.9,0.55372764531,2012,AL1,2012AL1,59.47555948,40.52444052,36.10764396,6.78613189,36.39855555,0.541098023,1,AL,1,AL-01,101.0,Republican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.6,0.9487895488302421
2,41037.0,0.4698,279703.0,263563.0,AL-02,"Roby, Martha",(R),33.0,64.9,36.4,62.9,35.0,64.5,0.614646493238,2012,AL2,2012AL2,62.58523879,37.41476121,41.72422102,1.970163534,40.49969264,0.965947133,2,AL,1,AL-02,102.0,Republican,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.4,0.9422959353314051
3,39316.0,0.4592,262581.0,251376.0,AL-03,"Rogers, Mike D.",(R),32.3,65.3,36.8,62.3,36.6,62.6,0.63225234933,2012,AL3,2012AL3,59.78441825,40.21558175,38.75460441,2.244027787,37.78780685,0.657860429,3,AL,1,AL-03,103.0,Republican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,0.9573274532429993
4,50264.0,0.4702,308201.0,292803.0,AL-04,"Aderholt, Rob",(R),17.4,80.4,24.0,74.8,25.5,73.3,1.41148460995,2012,AL4,2012AL4,68.26852354,31.73147646,54.70681561,5.247778042,50.27133695,0.588446629,4,AL,1,AL-04,104.0,Republican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,7.1,0.9500390978614606
5,58969.0,0.4591,315021.0,298943.0,AL-05,"Brooks, Mo",(R),31.3,64.7,34.9,63.9,36.3,62.6,0.605878237568,2012,AL5,2012AL5,55.21503007,44.78496993,39.34660792,3.651288481,38.62425496,0.950046778,5,AL,1,AL-05,105.0,Republican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.1,0.9489621326832179
6,32496.0,0.4896,254723.0,238282.0,AL-06,"Palmer, Gary",(R),26.1,70.8,24.7,74.3,25.0,74.1,0.885690291425,2012,AL6,2012AL6,65.74622778,34.25377222,42.36476854,4.729974875,44.60064512,0.687482937,6,AL,1,AL-06,106.0,Republican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-3.3,0.9354553770173876
7,71829.0,0.4146,353493.0,284016.0,AL-07,"Sewell, Terri",(D),69.8,28.6,72.4,27.1,71.5,28.1,-0.91489115152,2012,AL7,2012AL7,70.57707119,29.42292881,41.81620255,4.780107773,41.01742281,0.699430291,7,AL,1,AL-07,107.0,Democratic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.8034557968616068
8,47538.0,0.4508,261782.0,225993.0,AR-01,"Crawford, Rick",(R),30.2,65.0,36.3,61.0,39.2,58.0,0.619039208406,2012,AR1,2012AR1,54.51261753,45.48738247,42.67174063,1.582099015,41.61473303,0.719588196,8,AR,2,AR-01,501.0,Republican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.8632870098020491
9,47566.0,0.4666,305027.0,265801.0,AR-02,"Hill, French",(R),41.7,52.4,42.9,54.7,44.3,53.8,0.0960738300896,2012,AR2,2012AR2,52.89182394,47.10817606,35.19924086,4.805310783,35.19868567,0.878918035,9,AR,2,AR-02,502.0,Republican,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.3,-1.4,0.87140154805968
