District,cdid,Party,"DCCC Target, Jan","DCCC Target, May","DCCC Target, 2018",All DCCC Targets (As of 12/2017),R Clinton District,Toss-up or Lean D,Lean R,Likey Republican
AL-01,101,Republican,,,,0,,,,
AL-02,102,Republican,1,,,1,,,,
AL-03,103,Republican,,,,0,,,,
AL-04,104,Republican,,,,0,,,,
AL-05,105,Republican,,,,0,,,,
AL-06,106,Republican,,,,0,,,,
AL-07,107,Democratic,,,,0,,,,
AK-AL,200,Republican,,,,0,,,,
AZ-01,401,Democratic,,,,0,,,,
AZ-02,402,Republican,1,,,1,1,1,,
AZ-03,403,Democratic,,,,0,,,,
AZ-04,404,Republican,,,,0,,,,
AZ-05,405,Republican,,,,0,,,,
AZ-06,406,Republican,,1,,1,,,,
AZ-07,407,Democratic,,,,0,,,,
AZ-08,408,Republican,,,,0,,,,
AZ-09,409,Democratic,,,,0,,,,
AR-01,501,Republican,,,,0,,,,
AR-02,502,Republican,1,,,1,,,,
AR-03,503,Republican,,,,0,,,,
AR-04,504,Republican,,,,0,,,,
CA-01,601,Republican,,,,0,,,,
CA-02,602,Democratic,,,,0,,,,
CA-03,603,Democratic,,,,0,,,,
CA-04,604,Republican,,,1,1,,,,
CA-05,605,Democratic,,,,0,,,,
CA-06,606,Democratic,,,,0,,,,
CA-07,607,Democratic,,,,0,,,,
CA-08,608,Republican,,,,0,,,,
CA-09,609,Democratic,,,,0,,,,
CA-10,610,Republican,1,,,1,1,,1,
CA-11,611,Democratic,,,,0,,,,
CA-12,612,Democratic,,,,0,,,,
CA-13,613,Democratic,,,,0,,,,
CA-14,614,Democratic,,,,0,,,,
CA-15,615,Democratic,,,,0,,,,
CA-16,616,Democratic,,,,0,,,,
CA-17,617,Democratic,,,,0,,,,
CA-18,618,Democratic,,,,0,,,,
CA-19,619,Democratic,,,,0,,,,
CA-20,620,Democratic,,,,0,,,,
CA-21,621,Republican,1,,,1,1,,,1
CA-22,622,Republican,,1,,1,,,,
CA-23,623,Republican,,,,0,,,,
CA-24,624,Democratic,,,,0,,,,
CA-25,625,Republican,1,,,1,1,1,,
CA-26,626,Democratic,,,,0,,,,
CA-27,627,Democratic,,,,0,,,,
CA-28,628,Democratic,,,,0,,,,
CA-29,629,Democratic,,,,0,,,,
CA-30,630,Democratic,,,,0,,,,
CA-31,631,Democratic,,,,0,,,,
CA-32,632,Democratic,,,,0,,,,
CA-33,633,Democratic,,,,0,,,,
CA-34,634,Democratic,,,,0,,,,
CA-35,635,Democratic,,,,0,,,,
CA-36,636,Democratic,,,,0,,,,
CA-37,637,Democratic,,,,0,,,,
CA-38,638,Democratic,,,,0,,,,
CA-39,639,Republican,1,,,1,1,,1,
CA-40,640,Democratic,,,,0,,,,
CA-41,641,Democratic,,,,0,,,,
CA-42,642,Republican,,,,0,,,,
CA-43,643,Democratic,,,,0,,,,
CA-44,644,Democratic,,,,0,,,,
CA-45,645,Republican,1,,,1,1,,1,
CA-46,646,Democratic,,,,0,,,,
CA-47,647,Democratic,,,,0,,,,
CA-48,648,Republican,1,,,1,1,1,,
CA-49,649,Republican,1,,,1,1,1,,
CA-50,650,Republican,,1,,1,,,,1
CA-51,651,Democratic,,,,0,,,,
CA-52,652,Democratic,,,,0,,,,
CA-53,653,Democratic,,,,0,,,,
CO-01,801,Democratic,,,,0,,,,
CO-02,802,Democratic,,,,0,,,,
CO-03,803,Republican,1,,,1,,,,
CO-04,804,Republican,,,,0,,,,
CO-05,805,Republican,,,,0,,,,
CO-06,806,Republican,1,,,1,1,1,,
CO-07,807,Democratic,,,,0,,,,
CT-01,901,Democratic,,,,0,,,,
CT-02,902,Democratic,,,,0,,,,
CT-03,903,Democratic,,,,0,,,,
CT-04,904,Democratic,,,,0,,,,
CT-05,905,Democratic,,,,0,,,,
DE-AL,1000,Democratic,,,,0,,,,
FL-01,1201,Republican,,,,0,,,,
FL-02,1202,Republican,,,,0,,,,
FL-03,1203,Republican,,,,0,,,,
FL-04,1204,Republican,,,,0,,,,
FL-05,1205,Democratic,,,,0,,,,
FL-06,1206,Republican,,1,,1,,,,
FL-07,1207,Democratic,,,,0,,,,
FL-08,1208,Republican,,,,0,,,,
FL-09,1209,Democratic,,,,0,,,,
FL-10,1210,Democratic,,,,0,,,,
FL-11,1211,Republican,,,,0,,,,
FL-12,1212,Republican,,,,0,,,,
FL-13,1213,Democratic,,,,0,,,,
FL-14,1214,Democratic,,,,0,,,,
FL-15,1215,Republican,,,,0,,,,
FL-16,1216,Republican,,1,,1,,,,
FL-17,1217,Republican,,,,0,,,,
