,abbr,totalTaxPC,SALT_DeductionsPC,Pop2000,WhitePop2000,STATEFP,Pop2010,WhitePop2010,MedianHHIncome2010,Gini2010,MedianHHIncome,Gini,state_initnum,p_evang,p_mormon,kerry_04,p_relig,State,Clinton,Trump,logitTrump,region,MHIdiff,Ginidiff,PercentWhite2000,PercentWhite2010,PercentWhiteDiff
7,AK,4.9319546450199718,10.418139406487233,626932.0,434534.0,02,710231.0,473576.0,66521.0,0.412,71829.0,0.4146,1,12.4399995804,3.00312590599,35.5,15.4431257248,Alaska,41.6,58.4,0.339215722567,3,5308.0,0.0026000000000000467,0.6931118526411157,0.6667915086781625,-0.02632034396295324
4,AL,5.9187012741859366,6.8754457634215935,4447100.0,3162808.0,01,4779736.0,3275394.0,42081.0,0.47,43511.0,0.474,2,40.5499992371,0.458273202181,36.7999992371,41.0082740784,Alabama,35.6,64.4,0.592767995252,2,1430.0,0.0040000000000000036,0.7112068539047919,0.6852667176597201,-0.025940136245071743
13,AR,9.1160856537309076,6.8313302416402246,2673400.0,2138598.0,05,2915918.0,2245229.0,39267.0,0.459,41264.0,0.4661,3,43.0699996948,0.560113191605,44.5999984741,43.6301116943,Arkansas,35.7,64.3,0.588408942458,2,1997.0,0.007099999999999995,0.7999543652277998,0.7699904455475085,-0.02996391968029133
10,AZ,7.4036637852648424,8.0674786140897439,5130632.0,3873611.0,04,6392017.0,4667121.0,50448.0,0.453,49928.0,0.4614,4,9.40999984741,4.87873506546,44.4000015259,14.288734436,Arizona,48.1,51.9,0.0760366130601,3,-520.0,0.008399999999999963,0.7549968502905685,0.7301484022961766,-0.024848447994391898
16,CA,18.437921738005272,12.606842619140393,33871648.0,20170059.0,06,37253956.0,21453934.0,60883.0,0.469,61489.0,0.4823,5,7.15999984741,1.55762696266,54.2999992371,8.71762657166,California,66.1,33.9,-0.667753732471,3,606.0,0.013300000000000034,0.5954850203922761,0.5758833773250819,-0.019601643067194252
19,CO,9.0173811315430559,10.939960645715923,4301261.0,3560005.0,08,5029196.0,4089202.0,56456.0,0.455,59448.0,0.4584,6,10.5799999237,2.13488888741,47.0,12.7148885727,Colorado,52.7,47.3,-0.108105160049,3,2992.0,0.0033999999999999586,0.8276654218379215,0.8130925897499321,-0.014572832087989318
22,CT,19.664791620788371,17.411663429979672,3405565.0,2780355.0,09,3574097.0,2772410.0,67740.0,0.482,69899.0,0.4919,7,2.40000009537,0.281518399715,54.2999992371,2.68151855469,Connecticut,57.1,42.9,-0.285932290728,0,2159.0,0.00990000000000002,0.8164151910182305,0.7756952315507946,-0.040719959467435896
28,DC,16.442868601429197,17.268536783476446,572059.0,176101.0,11,601723.0,231471.0,58526.0,0.535,69235.0,0.5295,8,9.85000038147,0.104895099998,89.1999969482,9.95489501953,Washington DC,95.7,4.3,-3.10260327576,4,10709.0,-0.00550000000000006,0.3078371286877752,0.38468032632955695,0.07684319764178177
25,DE,9.1947680916457113,8.5888633652869188,783600.0,584773.0,10,897934.0,618617.0,57599.0,0.436,60231.0,0.4433,9,5.13999986649,0.356128096581,53.4000015259,5.49612808228,Delaware,56.0,44.0,-0.241162056817,2,2632.0,0.007300000000000029,0.7462646758550281,0.688933707822624,-0.05733096803240412
31,FL,7.3731686592872743,10.301892746445517,15982378.0,12465029.0,12,18801310.0,14109162.0,47661.0,0.471,47212.0,0.4812,10,13.9799995422,0.470901012421,47.0999984741,14.4509010315,Florida,49.4,50.6,0.0240011520995,2,-449.0,0.010200000000000042,0.7799233005251158,0.7504350494726165,-0.029488251052499304
