,District,County Name,Municipality Name,Dem,Rep,Ind,Total
0,district1,Burlington,Maple Shade Twp,4025,2752,226,7003
1,district1,Burlington,Palmyra Boro,1975,1257,67,3299
2,district1,Camden,Audubon Boro,2409,1797,173,4379
3,district1,Camden,Audubon Park Boro,288,204,14,506
4,district1,Camden,Barrington Boro,1733,1343,109,3185
5,district1,Camden,Bellmawr Boro,2649,1831,132,4612
6,district1,Camden,Berlin Boro,1591,1774,125,3490
7,district1,Camden,Berlin Twp.,1293,941,61,2295
8,district1,Camden,Brooklawn Boro,455,265,23,743
9,district1,Camden,Camden City,16424,1016,635,18075
10,district1,Camden,Cherry Hill Twp.,20655,13318,911,34884
11,district1,Camden,Chesilhurst Boro,476,163,15,654
12,district1,Camden,Clementon Boro,1126,640,59,1825
13,district1,Camden,Collingswood Boro,4581,1994,338,6913
14,district1,Camden,Gibbsboro Boro,592,515,47,1154
15,district1,Camden,Gloucester City,2259,1369,113,3741
16,district1,Camden,Gloucester Twp.,15554,11003,705,27262
17,district1,Camden,Haddon Heights Boro,2251,1918,122,4291
18,district1,Camden,Haddon Twp.,4408,3133,310,7851
19,district1,Camden,Haddonfield Boro,3557,3093,169,6819
20,district1,Camden,Hi-Nella Boro,204,136,18,358
21,district1,Camden,Laurel Springs Boro,488,394,30,912
22,district1,Camden,Lawnside Boro,1329,60,27,1416
23,district1,Camden,Lindenwold Boro,4163,1277,146,5586
24,district1,Camden,Magnolia Boro,1172,643,59,1874
25,district1,Camden,Merchantville Boro,1052,583,69,1704
26,district1,Camden,Mt. Ephraim Boro,1173,802,58,2033
27,district1,Camden,Oaklyn Boro,1076,703,112,1891
28,district1,Camden,Pennsauken Twp,10181,3103,446,13730
29,district1,Camden,Pine Hill Boro,2513,1207,140,3860
30,district1,Camden,Pine Valley Boro,1,9,1,11
31,district1,Camden,Runnemede Boro,1914,1369,126,3409
32,district1,Camden,Somerdale Boro,1533,686,65,2284
33,district1,Camden,Stratford Boro,1669,1292,87,3048
34,district1,Camden,Tavistok Boro,2,4,1,7
35,district1,Camden,Voorhees Twp.,7914,5530,289,13733
36,district1,Camden,Winslow Twp.,10743,5256,393,16392
37,district1,Camden,Woodlynne Boro,665,118,37,820
38,district1,Gloucester,Deptford,7378,4782,534,12694
39,district1,Gloucester,East Greenwich,1877,2250,132,4259
40,district1,Gloucester,Glassboro,3851,2498,290,6639
41,district1,Gloucester,Greenwich,1260,1060,98,2418
42,district1,Gloucester,Logan,1504,1151,118,2773
43,district1,Gloucester,Monroe,8049,6838,546,15433
44,district1,Gloucester,National Park,631,463,54,1148
45,district1,Gloucester,Paulsboro,1473,425,78,1976
46,district1,Gloucester,Washington,10833,11750,758,23341
47,district1,Gloucester,Wenoah,636,582,66,1284
48,district1,Gloucester,West Deptford,5440,4334,392,10166
49,district1,Gloucester,Westville,798,688,104,1590
50,district1,Gloucester,Woodbury,2484,1350,153,3987
51,district1,Gloucester,Woodbury Heights,827,704,62,1593
52,district2,Atlantic,Absecon,2410,1565,125,4100
53,district2,Atlantic,Atlantic City,2437,7477,276,10190
54,district2,Atlantic,Brigantine,2977,1425,118,4520
55,district2,Atlantic,Buena Boro,1066,560,38,1664
56,district2,Atlantic,Buena Vista,1967,1181,102,3250
57,district2,Atlantic,Corbin City,170,60,16,246
58,district2,Atlantic,Egg Harbor City,832,730,71,1633
59,district2,Atlantic,Egg Harbor Twp,10700,7502,782,18984
60,district2,Atlantic,Estelle Manor,709,166,45,920
61,district2,Atlantic,Folsom,573,213,46,832
62,district2,Atlantic,Galloway Twp.,9056,6242,526,15824
63,district2,Atlantic,Hamilton Twp.,6142,4493,422,11057
64,district2,Atlantic,Hammonton,4090,1636,261,5987
65,district2,Atlantic,Linwood,2487,1115,152,3754
66,district2,Atlantic,Longport,339,127,18,484
67,district2,Atlantic,Margate,1983,1146,94,3223
68,district2,Atlantic,Mullica,1808,868,95,2771
69,district2,Atlantic,Northfield,2572,1381,204,4157
70,district2,Atlantic,Pleasantville,1126,4042,140,5308
71,district2,Atlantic,Port Republic,473,177,20,670
72,district2,Atlantic,Somerspoint,2697,1749,164,4610
73,district2,Atlantic,Ventnor,2314,1623,163,4100
74,district2,Atlantic,Weymouth,930,420,40,1390
75,district2,Burlington,Bass River,479,144,20,643
76,district2,Burlington,Washington Twp,241,89,7,337
77,district2,Camden,Waterford Twp,2990,1723,124,4837
78,district2,Cape May,Avalon,617,194,16,827
79,district2,Cape May,Cape May,793,463,32,1288
80,district2,Cape May,Cape May Point,81,60,2,143
81,district2,Cape May,Dennis Twp,2235,855,96,3186
82,district2,Cape May,Lower Twp,6667,2804,277,9748
83,district2,Cape May,Middle Twp,5406,2664,277,8347
84,district2,Cape May,North Wildwood,1288,495,58,1841
85,district2,Cape May,Ocean City,3930,1791,246,5967
86,district2,Cape May,Sea Isle City,971,301,25,1297
87,district2,Cape May,Stone Harbor,359,103,13,475
88,district2,Cape May,Upper Township,4695,1649,214,6558
89,district2,Cape May,West Cape May,294,256,8,558
90,district2,Cape May,West Wildwood,166,79,5,250
91,district2,Cape May,Wildwood,802,562,43,1407
92,district2,Cape May,Wildwood Crest,1117,392,46,1555
93,district2,Cape May,Woodbine,365,239,24,628
94,district2,Cumberland,Bridgeton,1246,2479,190,3915
95,district2,Cumberland,Commercial,1030,499,66,1595
96,district2,Cumberland,Deerfield,804,422,33,1259
97,district2,Cumberland,Downe,512,118,21,651
98,district2,Cumberland,Fairfield,749,1088,72,1909
99,district2,Cumberland,Greenwich ,255,142,13,410
100,district2,Cumberland,Hopewell,1380,505,66,1951
101,district2,Cumberland,Lawrence,791,312,34,1137
102,district2,Cumberland,Maurice River,987,307,69,1363
103,district2,Cumberland,Millville,5451,3651,395,9497
104,district2,Cumberland,Shiloh,186,39,8,233
105,district2,Cumberland,Stow Creek,526,142,11,679
106,district2,Cumberland,Upper Deerfield,2192,1013,146,3351
107,district2,Cumberland,Vineland,10728,8765,811,20304
108,district2,Gloucester,Clayton,1734,1668,96,3498
109,district2,Gloucester,East Greenwich,574,312,17,903
110,district2,Gloucester,Elk,1253,729,59,2041
111,district2,Gloucester,Franklin,4786,2414,218,7418
112,district2,Gloucester,Harrison,4164,2104,150,6418
113,district2,Gloucester,Mantua,4193,3089,198,7480
114,district2,Gloucester,Newfield,528,197,19,744
115,district2,Gloucester,Pitman,2544,1785,121,4450
116,district2,Gloucester,South Harrison,1097,477,66,1640
117,district2,Gloucester,Swedesboro,485,452,35,972
118,district2,Gloucester,Woolwich,2958,2195,134,5287
119,district2,Ocean,Barnegat Light,264,157,15,436
120,district2,Ocean,Beach Haven,421,167,29,617
121,district2,Ocean,Eagleswood Twp,516,198,36,750
122,district2,Ocean,Harvey Cedars Boro,159,114,6,279
123,district2,Ocean,Little Egg Harbor Twp,6107,2765,384,9256
124,district2,Ocean,Long Beach Twp,1347,574,47,1968
125,district2,Ocean,Ship Bottom Boro,415,229,25,669
126,district2,Ocean,Stafford Twp,2629,1060,147,3836
127,district2,Ocean,Surf City Boro,514,206,16,736
128,district2,Ocean,Tuckerton Boro,896,412,79,1387
129,district2,Salem,Alloway,1189,438,80,1707
130,district2,Salem,Carneys Point,1817,1352,123,3292
131,district2,Salem,Elmer,462,121,28,611
132,district2,Salem,Elsinboro,460,138,34,632
133,district2,Salem,Lower Alloways Creek,774,169,41,984
134,district2,Salem,Mannington,495,172,30,697
135,district2,Salem,Oldmans,654,280,51,985
136,district2,Salem,Penns Grove,402,797,79,1278
137,district2,Salem,Pennsville,4288,1494,316,6098
138,district2,Salem,Pilesgrove,1545,604,109,2258
139,district2,Salem,Pittsgrove,2788,1301,183,4272
140,district2,Salem,Quinton,811,328,67,1206
141,district2,Salem,Salem Eastward,233,596,34,863
142,district2,Salem,Salem Westward,248,479,24,751
143,district2,Salem,Upper Pittsgrove,1367,310,67,1744
144,district2,Salem,Woodstown,1018,651,65,1734
145,district3,Burlington,Beverly City,414,487,13,914
146,district3,Burlington,Bordentown City,783,1011,46,1840
147,district3,Burlington,Bordentown Twp,2658,2352,64,5074
148,district3,Burlington,Burlington City,1421,2141,85,3647
149,district3,Burlington,Burlington Twp,4187,5833,103,10123
150,district3,Burlington,Chesterfield Twp,1396,987,43,2426
151,district3,Burlington,Cinnaminson Twp,4999,3263,98,8360
152,district3,Burlington,Delanco Twp,1237,947,30,2214
153,district3,Burlington,Delran Twp,4238,3121,70,7429
154,district3,Burlington,Easthampton Twp,1413,1155,38,2606
155,district3,Burlington,Edgewater Park Twp.,1340,1866,54,3260
156,district3,Burlington,Evesham Twp,12638,8976,246,21860
157,district3,Burlington,Fieldsboro Boro,107,122,7,236
158,district3,Burlington,Florence Twp,3075,2357,82,5514
159,district3,Burlington,Hainespirt Twp,1984,1125,31,3140
160,district3,Burlington,Lumberton Twp,3023,2619,78,5720
161,district3,Burlington,Mansfield Twp,3000,1770,45,4815
162,district3,Burlington,Medford Lakes Boro,1406,785,32,2223
163,district3,Burlington,Medford Twp,8304,4138,143,12585
164,district3,Burlington,Moorestown Twp,6391,4520,72,10983
165,district3,Burlington,Mount Holly Twp,1501,1875,67,3443
166,district3,Burlington,Mount Laurel Twp,11327,9416,198,20941
167,district3,Burlington,New Hanover Twp,290,122,9,421
168,district3,Burlington,North Hanover Twp,1505,653,43,2201
169,district3,Burlington,Pemberton Boro,334,230,9,573
170,district3,Burlington,Pemberton Twp,4247,4131,188,8566
171,district3,Burlington,Riverside,1332,1026,55,2413
172,district3,Burlington,Riverton Boro,776,621,17,1414
173,district3,Burlington,Shamong Twp,2326,839,38,3203
174,district3,Burlington,Southampton Twp,3800,1432,75,5307
175,district3,Burlington,Springfield Twp,1254,425,23,1702
176,district3,Burlington,Tabernacle Twp,2592,879,40,3511
177,district3,Burlington,Westampton Twp,1854,2286,48,4188
178,district3,Burlington,Willingboro Twp,1767,12019,185,13971
179,district3,Burlington,Woodland Twp,445,154,17,616
180,district3,Burlington,Wrightstown Boro,85,77,7,169
181,district3,Ocean,Barnegat Twp,6680,3313,310,10303
182,district3,Ocean,Beachwood Boro,2950,1270,140,4360
183,district3,Ocean,Berkeley Twp,13607,5889,456,19952
184,district3,Ocean,Brick Twp,22008,10052,867,32927
185,district3,Ocean,Island Heights Boro,531,352,14,897
186,district3,Ocean,Lacey Twp,9019,3076,351,12446
187,district3,Ocean,Lavallette Boro,840,274,11,1125
188,district3,Ocean,Mantoloking Boro,179,37,0,216
189,district3,Ocean,Ocean Twp,3469,1204,98,4771
190,district3,Ocean,Ocean Gate Boro,544,319,24,887
191,district3,Ocean,Pine Beach Boro,756,369,28,1153
192,district3,Ocean,Point Pleasant Boro,548,279,24,851
