,MuniGroup,(1),(62),(63),(64),(65),(66),(67),totalSALT,totalSALT2,SLFrac,REFrac
0,Bloomfield,25520.0,8430.0,47143.0,1320.0,1136.0,7950.0,79249.0,16.421323176,4.99717868339,0.330329153605,0.311520376176
1,Bloomingdale,3890.0,1620.0,10553.0,270.0,245.0,1770.0,18733.0,18.0052207575,7.59151670951,0.416452442159,0.45501285347
2,Boonton,7990.0,3530.0,42592.0,540.0,533.0,3760.0,43839.0,24.7120679273,10.8841051314,0.441802252816,0.470588235294
3,Butler+Kinnelon,9160.0,4300.0,61750.0,620.0,642.0,4670.0,57317.0,27.6693965247,13.0686681223,0.46943231441,0.509825327511
4,Byram,4380.0,2110.0,17807.0,290.0,304.0,2330.0,23374.0,19.5193720116,9.47146118721,0.481735159817,0.53196347032
5,Caldwells,12800.0,6370.0,98353.0,1010.0,924.0,6750.0,83319.0,28.6984384379,14.2653125,0.49765625,0.52734375
6,Cedar Grove,6120.0,2940.0,31532.0,580.0,504.0,3280.0,36475.0,22.7145624145,11.1946078431,0.480392156863,0.535947712418
7,Chathams+Green Village,9230.0,5370.0,186486.0,550.0,501.0,5510.0,80954.0,50.3304793998,29.0293607801,0.581798483207,0.596966413868
8,Denville,9060.0,4680.0,50219.0,750.0,690.0,5100.0,57759.0,22.9758496732,11.9942604857,0.516556291391,0.562913907285
9,East Hanover,5980.0,2780.0,37104.0,580.0,503.0,3100.0,28203.0,23.3117459047,11.0050167224,0.464882943144,0.518394648829
10,Essex Fells,1100.0,660.0,30353.0,50.0,35.0,680.0,14360.0,67.8070409982,40.68,0.6,0.618181818182
11,Fairfield,3950.0,1790.0,20584.0,360.0,335.0,2010.0,20255.0,22.5071113242,10.4237974684,0.453164556962,0.508860759494
12,Florham Park,5340.0,2640.0,62277.0,440.0,378.0,2640.0,28690.0,35.3162878788,17.1058052434,0.494382022472,0.494382022472
13,Hanover,6950.0,3320.0,30769.0,540.0,463.0,3550.0,28219.0,18.0741925763,8.55410071942,0.477697841727,0.510791366906
14,Harding,690.0,410.0,49486.0,20.0,24.0,390.0,8398.0,143.430894309,83.9246376812,0.594202898551,0.565217391304
15,Hopatcong,5930.0,2470.0,12658.0,400.0,409.0,2740.0,19756.0,13.3574153344,5.53507588533,0.41652613828,0.462057335582
16,Jefferson,6940.0,3260.0,22853.0,520.0,632.0,3620.0,34600.0,17.7835183645,8.36959654179,0.469740634006,0.521613832853
17,Lincoln Park,5560.0,2340.0,13818.0,440.0,371.0,2550.0,21659.0,15.2420355135,6.44748201439,0.420863309353,0.458633093525
18,Little Falls+Woodland Park,12710.0,4590.0,30936.0,1030.0,865.0,4990.0,50388.0,17.6774706975,6.46648308419,0.361132966168,0.392604248623
19,Livingston,14040.0,8030.0,205022.0,1110.0,991.0,8430.0,129551.0,41.7926506804,23.9005698006,0.571937321937,0.600427350427
20,Madison,7260.0,3480.0,96418.0,440.0,426.0,3490.0,46973.0,42.1338159782,19.8095041322,0.479338842975,0.480716253444
21,Mendham,4670.0,2650.0,107124.0,300.0,301.0,2760.0,47810.0,58.7499480448,33.2408993576,0.567451820128,0.591006423983
22,Montville+Towaco,8120.0,4250.0,79244.0,660.0,609.0,4620.0,61362.0,32.8501925134,17.3910098522,0.523399014778,0.568965517241
23,Morris Plains,10200.0,5310.0,71868.0,710.0,665.0,5440.0,52480.0,24.1181418187,12.2561764706,0.520588235294,0.533333333333
24,Morristown,21890.0,9490.0,208350.0,1120.0,1080.0,9120.0,104786.0,34.4086678432,14.3543170397,0.433531292828,0.416628597533
25,Mountain Lakes,1990.0,1230.0,47079.0,90.0,77.0,1250.0,24603.0,58.8135653117,36.059798995,0.618090452261,0.628140703518
26,North Haledon,11570.0,3530.0,21449.0,730.0,557.0,3800.0,37587.0,16.7305334541,5.15064822818,0.305099394987,0.328435609334
27,Nutley,14940.0,6370.0,45740.0,960.0,773.0,6560.0,68995.0,18.5032725731,7.73145917001,0.426372155288,0.439089692102
28,Ogdensburg,1210.0,500.0,2265.0,90.0,79.0,560.0,4186.0,12.8827777778,5.39669421488,0.413223140496,0.462809917355
29,Parsippany,14940.0,5310.0,42743.0,820.0,764.0,5170.0,49516.0,18.5587993699,6.22643908969,0.355421686747,0.346050870147
30,Pequannock,6010.0,2690.0,25236.0,840.0,726.0,3460.0,28997.0,18.6263341918,9.14459234609,0.447587354409,0.575707154742
31,Pompton Lakes,5690.0,2480.0,13541.0,440.0,357.0,2710.0,27178.0,16.3002265693,7.21898066784,0.435852372583,0.476274165202
32,Randolph,12230.0,5990.0,88235.0,630.0,630.0,6120.0,76315.0,28.2001552151,13.5061324612,0.489779231398,0.500408830744
33,Riverdale,2420.0,1050.0,7157.0,180.0,136.0,1090.0,6754.0,13.768076307,5.80454545455,0.433884297521,0.45041322314
34,Rockaway,11600.0,5440.0,40063.0,910.0,864.0,6070.0,57256.0,17.7465920481,8.46405172414,0.468965517241,0.523275862069
35,Roseland,3380.0,1720.0,25864.0,300.0,248.0,1790.0,20402.0,27.2616413321,13.7615384615,0.508875739645,0.529585798817
36,Sparta,9930.0,5230.0,60593.0,670.0,694.0,5640.0,67567.0,24.6014450904,12.9762336354,0.526686807654,0.567975830816
37,Stanhope,4590.0,2000.0,9657.0,310.0,265.0,2240.0,17690.0,13.5806601382,6.01568627451,0.435729847495,0.488017429194
38,Totowa,7700.0,1390.0,4058.0,240.0,213.0,1310.0,9542.0,11.0908939261,1.7938961039,0.180519480519,0.17012987013
39,Upper Montclair,5570.0,3450.0,96138.0,300.0,293.0,3470.0,70367.0,49.1214279748,29.9457809695,0.619389587074,0.622980251346
40,Verona,7020.0,3580.0,42437.0,670.0,551.0,3910.0,46154.0,24.4803907458,12.6982905983,0.509971509972,0.55698005698
41,Wanaque,3310.0,1470.0,9012.0,410.0,421.0,1820.0,18168.0,17.1398590956,8.33867069486,0.444108761329,0.549848942598
42,Wayne,25810.0,12250.0,139870.0,2140.0,1966.0,13310.0,172794.0,25.3189197432,12.1902363425,0.474622239442,0.515691592406
43,West Orange,23460.0,10240.0,119589.0,1540.0,1407.0,10230.0,131835.0,25.4793464191,10.7771099744,0.436487638534,0.436061381074
