,County Name,Municipality Name,Registered Voters,Ballots Cast
0,atlantic,Absecon City,6066,4343
1,atlantic,Atlantic City,20902,11797
2,atlantic,Brigantine City,7071,4787
3,atlantic,Buena Boro,2827,1821
4,atlantic,Buena Vista Twp.,5152,3492
5,atlantic,Corbin City,332,262
6,atlantic,Egg Harbor City ,2787,1796
7,atlantic,Egg Harbor Twp,29466,20569
8,atlantic,Estell Manor City,1310,976
9,atlantic,Folsom Boro,1237,915
10,atlantic,Galloway Twp.,23868,17059
11,atlantic,Hamilton Twp.,16899,11782
12,atlantic,Hammonton ,9125,6577
13,atlantic,Linwood City,5527,4037
14,atlantic,Longport Boro,679,507
15,atlantic,Margate City,4558,3476
16,atlantic,Mullica Twp.,3923,2973
17,atlantic,Northfield Twp.,6011,4451
18,atlantic,Pleasantville City,10805,6131
19,atlantic,Port Republic,929,704
20,atlantic,Somers Point City,7252,4972
21,atlantic,Ventnor City,6815,4511
22,atlantic,Weymouth Twp.,1951,1478
23,bergen,Allendale Boro,5162,3773
24,bergen,Alpine Boro,1480,921
25,bergen,Bergenfield Boro,16298,11653
26,bergen,Bogota Boro,5244,3890
27,bergen,Carlstadt  Boro,3860,2924
28,bergen,Cliffside Park Boro,12979,8953
29,bergen,ClosterBoro,5557,3952
30,bergen,Cresskill Boro,5467,3953
31,bergen,Demarest Boro,3491,2528
32,bergen,Dumont Boro,11712,8787
33,bergen,East Rutherford Boro,5380,3871
34,bergen,Edgewater Boro,6456,4221
35,bergen,Elmwood Park Boro,12582,8690
36,bergen,Emerson Boro,5155,4019
37,bergen,Englewood City,17699,12103
38,bergen,Englewood Cliffs Boro,3773,2729
39,bergen,Fair Lawn Boro,22745,16875
40,bergen,Fairview Boro,5748,3800
41,bergen,Fort Lee Boro,21308,14444
42,bergen,Franklin Lakes Boro,8367,6131
43,bergen,Garfield City,14816,9690
44,bergen,Glen Rock Boro,8855,6787
45,bergen,Hackensack City,22926,15913
46,bergen,Harrington Park Boro,3510,2673
47,bergen,Hasbrouck Heights Boro,8119,6195
48,bergen,Haworth Boro,2565,1963
49,bergen,Hillsdale Boro,7768,5935
50,bergen,Ho-Ho-Kus Boro,3234,2462
51,bergen,Leonia Boro,5370,3926
52,bergen,Little Ferry  Boro,5688,3859
53,bergen,Lodi Boro,13318,9003
54,bergen,Lyndhurst Twp.,13215,9501
55,bergen,Mahwah Twp.,17408,13108
56,bergen,MaywoodBoro,6309,4660
57,bergen,Midland Park Boro,5178,4100
58,bergen,Montvale Boro,5780,4402
59,bergen,Moonachie  Boro,1664,1161
60,bergen,New Milford Boro,10556,7812
61,bergen,North Arlington Boro,9594,7097
62,bergen,Northvale Boro,3060,2250
63,bergen,Norwood Boro,3824,2801
64,bergen,Oakland Boro,9233,7013
65,bergen,Old Tappan Boro,4318,3150
66,bergen,Oradell Boro,6130,4796
67,bergen,Palisades Park Boro,7735,4617
68,bergen,Paramus Boro,18526,13434
69,bergen,Park Ridge  Boro,6395,4977
70,bergen,Ramsey Boro,11000,8426
71,bergen,Ridgefield  Boro,6172,4333
72,bergen,Ridgefield Park Village ,7433,5453
73,bergen,Ridgewood Village ,17892,13308
74,bergen,River Edge Boro,7477,5690
75,bergen,River Vale Twp,7704,5781
76,bergen,Rochelle Park Twp,3842,2852
77,bergen,Rockleigh Boro,256,167
78,bergen,Rutherford Boro,11661,8978
79,bergen,Saddle Brook Twp,9360,6926
80,bergen,Saddle River Boro,2803,1965
81,bergen,South Hackensack Twp,1484,1094
82,bergen,Teaneck Twp,28631,20152
83,bergen,Tenafly Boro,9813,6759
84,bergen,Teterboro ,41,26
85,bergen,Upper Saddle River Boro,6330,4510
86,bergen,Waldwick Boro,6880,5357
87,bergen,Wallington Boro,5869,4039
88,bergen,Washington Twp,7010,5484
89,bergen,Westwood Boro,7517,5742
90,bergen,Woodcliff Lake Boro,4741,3503
91,bergen,Wood-Ridge Boro,5952,4632
92,bergen,Wyckoff Twp,12937,9888
93,burlington,Bass River Twp,1010,737
94,burlington,Beverly City,1612,1051
95,burlington,Bordentown City,2829,2074
96,burlington,Bordentown Twp,7695,5711
97,burlington,Burlington City ,6428,4205
98,burlington,Burlington Twp,15641,11331
99,burlington,Chesterfield Twp,3611,2763
100,burlington,Cinnnaminson Twp,12407,9351
101,burlington,Delanco Twp.,3435,2485
102,burlington,Delran Twp.,11403,8312
103,burlington,Eastampton Twp,4114,2913
104,burlington,Edgewater Park Twp.,5383,3697
105,burlington,Evesham Twp,34922,25055
106,burlington,Fieldsboro Boro,384,275
107,burlington,Florence Twp,8523,6265
108,burlington,Hainesport Twp,4574,3444
109,burlington,Lumberton Twp,8731,6346
110,burlington,Mansfield Twp,6928,5415
111,burlington,Maple Shade Twp.,12302,7907
112,burlington,Medford Lakes Boro,3325,2498
113,burlington,Medford Twp.,19136,14085
114,burlington,Moorestown Twp.,16030,11994
115,burlington,Mount Holly Twp.,5987,3901
116,burlington,Mount Laurel Twp.,32210,23383
117,burlington,New Hanover Twp.,827,474
118,burlington,North Hanover Twp.,3762,2469
119,burlington,Palmyra Boro,5167,3672
120,burlington,Pemberton Boro,949,657
121,burlington,Pemberton Township,15744,9676
122,burlington,RiversideTwp.,4385,2783
123,burlington,Riverton Boro,2069,1573
124,burlington,Shamong Twp.,4985,3607
125,burlington,Southampton Twp.,8181,5990
126,burlington,Springfield Twp.,2525,1952
127,burlington,Tabernacle Twp.,5442,3905
128,burlington,Washington Twp.,534,380
129,burlington,Westampton Twp.,6341,4634
130,burlington,Willingboro Twp.,23163,16709
131,burlington,Woodland Twp.,1018,727
132,burlington,Wrightstown Boro,339,208
133,camden,Audubon Boro,6532,4778
134,camden,Audubon Park Boro,773,552
135,camden,Barrington Boro,5279,3430
136,camden,Bellmawr Boro,7365,5160
137,camden,Berlin Boro,5324,3818
138,camden,Berlin Township,3718,2507
139,camden,Brooklawn Boro,1255,811
140,camden,Camden City,41855,21089
141,camden,Cherry Hill Twp.,54146,37930
142,camden,Chesilhurst Boro,1120,719
143,camden,Clementon Boro,3143,1989
144,camden,Collingswood Boro,10535,7519
145,camden,Gibbsboro Boro,1752,1271
146,camden,Gloucester City ,6627,4123
147,camden,Gloucester Twp.,44077,29982
148,camden,Haddon Heights Boro,5866,4518
149,camden,Haddon Twp.,11474,8600
150,camden,Haddonfield Boro,9778,7280
151,camden,Hi-Nella Boro,587,388
152,camden,Laurel Springs Boro,1379,986
153,camden,Lawnside Boro,2277,1540
154,camden,Lindenwood Boro,10211,6070
155,camden,Magnolia Boro,2958,2012
156,camden,Merchantville Boro,2706,1872
157,camden,Mount Ephriam Boro,3260,2240
158,camden,Oaklyn Boro,2955,2074
159,camden,Pennsauken  Twp.,23522,15304
160,camden,Pine Hill Boro,6604,4233
161,camden,Pine Valley Boro,12,11
162,camden,Runnemede Boro,5677,3782
163,camden,Somerdale Boro,3684,2504
164,camden,Stratford Boro,4697,3336
165,camden,Travistock Boro,9,8
166,camden,Voorhees Twp.,21393,14862
