committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q2,201707159066700716,23,SB23.728453,1171767,ORG,ORGANIZATION,,TRUMP RESTAURANTS LLC,NY,,,,RENT,,,2017-04-01 00:00:00,1000.00,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-24 13:22:51.663892,,,,0.00,F3P,4071520171418907305,NEW YORK,10022,ADMINISTRATIVE,,2018,SB,4071820171419815061,http://docquery.fec.gov/cgi-bin/fecimg/?201707159066700716,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q2,201707159066700717,23,SB23.728454,1171767,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,RENT,,,2017-04-01 00:00:00,39816.67,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-24 13:22:51.663892,,,,0.00,F3P,4071520171418907305,HICKSVILLE,11802,ADMINISTRATIVE,,2018,SB,4071820171419815065,http://docquery.fec.gov/cgi-bin/fecimg/?201707159066700717,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q2,201707159066700731,28A,SB28A.728546,1171767,ORG,ORGANIZATION,,"CLASSICS ONLY, LLC",FL,,,,CONTRIBUTION REFUND,,,2017-04-01 00:00:00,1500.00,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-24 13:22:51.663892,,,,0.00,F3P,4071520171418907305,PONTE VEDRA BEACH,32082,OTHER,,2018,SB,4071820171419815149,http://docquery.fec.gov/cgi-bin/fecimg/?201707159066700731,Refunds of Contributions to Individuals/Persons Other Than Political Committees
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q2,201707159066700708,23,SB23.728849,1171767,ORG,ORGANIZATION,,TIME WARNER,NY,,,,AMEX: BROADBAND SERVICES [SB23.728560],X,,2017-04-02 00:00:00,801.33,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-24 13:22:51.663892,,,,0.00,F3P,4071520171418907305,NEW YORK,10019,OTHER,,2018,SB,4071820171419815010,http://docquery.fec.gov/cgi-bin/fecimg/?201707159066700708,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q2,201707159066700605,23,SB23.728817,1171767,ORG,ORGANIZATION,,AMTRAK,DC,,,,AMEX: TRAVEL: RAIL [SB23.728560],X,,2017-04-03 00:00:00,678.00,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-24 13:22:51.663892,,,,0.00,F3P,4071520171418907305,WASHINGTON,20002,OTHER,,2018,SB,4071820171419814394,http://docquery.fec.gov/cgi-bin/fecimg/?201707159066700605,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q2,201707159066700610,23,SB23.728456,1171767,ORG,ORGANIZATION,,BANK OF AMERICA,MA,,,,BANK FEES,,,2017-04-03 00:00:00,13.20,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-24 13:22:51.663892,,,,0.00,F3P,4071520171418907305,BEVERLY,01915,OTHER,,2018,SB,4071820171419814424,http://docquery.fec.gov/cgi-bin/fecimg/?201707159066700610,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q2,201707159066700659,23,SB23.728919,1171767,ORG,ORGANIZATION,,MAILCHIMP,GA,,,,AMEX: SUBSCRIPTION SERVICES [SB23.728560],X,,2017-04-03 00:00:00,240.00,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-24 13:22:51.663892,,,,0.00,F3P,4071520171418907305,ATLANTA,30308,OTHER,,2018,SB,4071820171419814717,http://docquery.fec.gov/cgi-bin/fecimg/?201707159066700659,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q2,201707159066700682,23,SB23.728460,1171767,ORG,ORGANIZATION,,STRIPE,CA,,,,MERCHANT FEES,,,2017-04-03 00:00:00,15.00,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-24 13:22:51.663892,,,,0.00,F3P,4071520171418907305,SAN FRANCISCO,94110,OTHER,,2018,SB,4071820171419814858,http://docquery.fec.gov/cgi-bin/fecimg/?201707159066700682,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q2,201707159066700683,23,SB23.728461,1171767,ORG,ORGANIZATION,,STRIPE,CA,,,,MERCHANT FEES,,,2017-04-03 00:00:00,30.00,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-24 13:22:51.663892,,,,0.00,F3P,4071520171418907305,SAN FRANCISCO,94110,OTHER,,2018,SB,4071820171419814860,http://docquery.fec.gov/cgi-bin/fecimg/?201707159066700683,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q2,201707159066700683,23,SB23.728462,1171767,ORG,ORGANIZATION,,STRIPE,CA,,,,MERCHANT FEES,,,2017-04-03 00:00:00,90.00,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-24 13:22:51.663892,,,,0.00,F3P,4071520171418907305,SAN FRANCISCO,94110,OTHER,,2018,SB,4071820171419814862,http://docquery.fec.gov/cgi-bin/fecimg/?201707159066700683,Operating Expenditures
