,disb_amt,disb_desc,disb_dt,recipient_nm
448,5756.41,LEGAL CONSULTING,2017-03-13 00:00:00,JONES DAY
479,8434.08,LEGAL CONSULTING,2017-02-10 00:00:00,"BELKIN BURDEN WENIG & GOLDMAN, LLP"
550,50603.75,LEGAL CONSULTING,2017-02-15 00:00:00,"VAN HOY, REUTLINGER, ADAMS & DUNN, PLLC"
564,184550.17,LEGAL CONSULTING,2017-03-31 00:00:00,JONES DAY
137,89882.39,LEGAL CONSULTING,2017-05-03 00:00:00,JONES DAY
157,127050.27,LEGAL CONSULTING,2017-05-11 00:00:00,JONES DAY
170,14641.61,LEGAL CONSULTING,2017-05-15 00:00:00,JONES DAY
217,193101.44,LEGAL CONSULTING,2017-06-02 00:00:00,JONES DAY
259,113590.28,LEGAL CONSULTING,2017-06-23 00:00:00,JONES DAY
273,50000.0,LEGAL CONSULTING,2017-06-27 00:00:00,THE LAW OFFICES OF ALAN S. FUTERFAS
292,89561.0,LEGAL CONSULTING,2017-06-30 00:00:00,THE TRUMP CORPORATION
885,5000.0,LEGAL CONSULTING,29-SEP-16,"BELL, MCANDREWS, & HILTACHK, LLP"
2141,600.0,LEGAL CONSULTING,22-JUN-15,"JENSEN & ASSOCIATES, APC"
2844,126999.22,LEGAL CONSULTING,24-OCT-16,JONES DAY
2845,5500.0,LEGAL CONSULTING,16-NOV-16,JONES DAY
3038,5250.0,LEGAL CONSULTING,06-OCT-16,JONES DAY
3039,150471.0,LEGAL CONSULTING,11-OCT-16,JONES DAY
3083,100363.33,LEGAL CONSULTING,07-SEP-16,JONES DAY
3084,122839.97,LEGAL CONSULTING,12-SEP-16,JONES DAY
3085,99355.56,LEGAL CONSULTING,27-SEP-16,JONES DAY
3115,224245.12,LEGAL CONSULTING,29-AUG-16,JONES DAY
3150,104793.88,LEGAL CONSULTING,13-JUL-16,JONES DAY
3151,106880.77,LEGAL CONSULTING,25-JUL-16,JONES DAY
3152,110706.17,LEGAL CONSULTING,31-JUL-16,JONES DAY
3153,341896.49,LEGAL CONSULTING,31-JUL-16,JONES DAY
3174,26155.0,LEGAL CONSULTING,24-FEB-16,JONES DAY
